Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-279.52917	11.385779	-266.05002	-299.05002	100.0	12.0	0.0	1.5972182e-07	4.5271425	-0.0052584736	-3.3734035	3.4870284	0.014170816	0.0617	49.0	17.77353262901306
1	-280.47916	8.839477	-265.55002	-295.5	100.0	24.0	0.0	-3.5390258e-08	1.3131297	-0.0038976371	-0.09659365	3.4688995	0.013453481	0.039725	49.0	37.555970668792725
2	-274.82498	8.6974535	-263.5	-289.7	100.0	36.0	0.0	-1.1175871e-08	1.2797952	-0.0039423294	-0.027931765	3.4530258	0.013905735	0.04225	49.0	62.710092544555664
3	-272.46072	9.896395	-255.1	-290.9	100.0	50.0	0.0	-1.1175871e-08	1.2097352	-0.004010426	-0.05168269	3.4423723	0.013789497	0.03245	49.0	94.461354970932
4	-275.535	8.79469	-255.75	-286.65	100.0	60.0	0.0	-9.313226e-09	1.1925007	-0.0034345465	-0.063283496	3.4271665	0.0127811795	0.032224998	49.0	127.7517421245575
5	-282.41873	6.194958	-274.65	-295.85	100.0	68.0	0.0	-2.7939677e-08	1.1147393	-0.0038231062	-0.04380776	3.4093547	0.013496053	0.047849998	49.0	161.72143363952637
6	-268.8667	5.1279736	-258.75	-275.15	100.0	77.0	0.0	-5.5879354e-09	1.134412	-0.0034209336	-0.040849388	3.3779712	0.014562821	0.038374998	49.0	195.7850911617279
7	-270.98636	6.481866	-257.80002	-283.45	100.0	88.0	0.0	-1.8626451e-09	0.91464055	-0.004045016	-0.111054845	3.3340554	0.014683046	0.052924998	49.0	229.37373733520508
8	-268.23502	6.491267	-258.95	-276.80002	100.0	98.0	0.0	0.0	0.71538895	-0.0043275794	-0.06724174	3.315929	0.013712839	0.085575	49.0	262.6136999130249
9	-262.50003	7.0070453	-248.6	-274.5	100.0	113.0	0.0	0.0	0.47215205	-0.004619808	-0.07655917	3.2507675	0.01333569	0.029712502	49.0	296.10066866874695
10	-264.00458	5.9595804	-255.7	-277.35	100.0	124.0	0.0	8.381903e-09	0.36413485	-0.0044737943	-0.041981693	3.2189822	0.015033803	0.0918	41.0	328.8857660293579
11	-259.49643	4.803403	-249.2	-268.65	100.0	138.0	0.0	-9.313226e-09	0.30234385	-0.0036696559	-0.01838048	3.1379395	0.015567251	0.0939375	38.0	361.2327826023102
12	-261.69232	3.8062134	-251.95	-266.45	100.0	151.0	0.0	-5.5879354e-09	0.39882374	-0.0035860906	-0.08012966	3.0473454	0.01312192	0.068875	49.0	394.6111550331116
13	-258.28333	5.849227	-250.55	-272.4	100.0	163.0	0.0	9.313226e-09	0.38747764	-0.0030505564	-0.022487678	2.9726963	0.013563694	0.032025002	49.0	428.01424074172974
14	-261.725	5.1427746	-253.35	-270.85	100.0	175.0	0.0	9.313226e-09	0.37940955	-0.002622393	-0.0055015273	2.9834244	0.0101117	0.037475	49.0	461.46078538894653
15	-262.68335	4.842106	-255.7	-271.95	100.0	187.0	0.0	-1.1175871e-08	0.35112786	-0.0030315197	-0.013197627	2.9434896	0.015018832	0.071962506	35.0	493.9562015533447
16	-263.3556	2.2995706	-260.05002	-267.05002	100.0	196.0	0.0	1.21071935e-08	0.373666	-0.00235391	-0.026741184	2.9094005	0.011100743	0.0305125	49.0	521.4188191890717
17	-263.6278	4.2438912	-257.95	-271.15	100.0	205.0	0.0	4.656613e-09	0.40675575	-0.0027403124	-0.0074290372	2.8924851	0.0133163	0.058775	49.0	549.3159358501434
18	-268.15002	1.753033	-265.15	-271.15	100.0	213.0	0.0	5.5879354e-09	0.38535058	-0.0023432584	-0.01147192	2.81849	0.008411373	0.0454375	49.0	577.882027387619
19	-268.70624	2.9756765	-263.65	-272.05002	100.0	221.0	0.0	-4.656613e-09	0.33673334	-0.0021269117	-0.00688342	2.8085186	0.0113044195	0.0296375	49.0	605.2493999004364
