Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-163.81874	7.478745	-146.95	-179.85	100.0	24.0	80000	-8.288771e-08	5.547561	-0.013240458	-4.3992877	3.4826727	0.008275955	0.0737375	49.0	44.25812816619873
1	-160.33333	7.40814	-143.65001	-172.5	100.0	48.0	160000	-1.8626451e-09	1.1386607	-0.012121314	-0.08727111	3.4671915	0.007792103	0.0603375	49.0	81.85847115516663
2	-157.61876	6.6967654	-146.1	-168.40001	100.0	72.0	240000	-2.7939677e-09	1.043814	-0.01309749	-0.039001174	3.4511495	0.0068698684	0.0682	49.0	118.1164288520813
3	-155.73334	4.8483605	-145.45	-165.25	100.0	96.0	320000	-1.7113052e-08	0.92061806	-0.014529801	-0.024237663	3.433889	0.0074749235	0.0799125	49.0	154.5833294391632
4	-151.18333	3.5222995	-145.15001	-158.90001	100.0	120.0	400000	2.3283064e-09	0.8543553	-0.015318346	-0.02655258	3.4148812	0.0070493864	0.0820625	49.0	191.3618791103363
5	-149.64792	3.811208	-142.85	-157.3	100.0	144.0	480000	0.0	0.80891824	-0.01684909	-0.03894212	3.3942976	0.0067181615	0.0889	49.0	226.23605155944824
6	-145.70833	5.61376	-132.1	-154.15001	100.0	168.0	560000	-6.519258e-09	0.72875834	-0.018145133	-0.039529882	3.3636441	0.00817027	0.102825	49.0	261.9194424152374
7	-141.54584	9.7494755	-110.450005	-155.45	100.0	192.0	640000	-8.381903e-09	0.84650326	-0.019610316	-0.044577718	3.3310874	0.009422851	0.10925	49.0	297.7741777896881
8	-136.15001	10.926364	-102.450005	-148.05	100.0	216.0	720000	-8.381903e-09	0.9387765	-0.020136595	-0.040708236	3.2976923	0.008387074	0.1055	49.0	333.5635070800781
9	-125.99792	21.984457	-55.45	-146.05	100.0	240.0	800000	-3.7252903e-09	1.4161232	-0.0210123	-0.08735178	3.264506	0.008209021	0.108375	49.0	368.27095890045166
10	-119.22292	23.126574	-49.850002	-145.15001	100.0	264.0	880000	0.0	1.6713245	-0.021505166	-0.09855764	3.2374911	0.009159594	0.11395	49.0	409.2428479194641
11	-113.16874	29.021494	-40.25	-139.7	100.0	288.0	960000	-3.7252903e-09	2.2283518	-0.021113984	-0.08334156	3.198811	0.009145269	0.107812494	49.0	452.06156373023987
12	-102.33126	31.04483	-34.850002	-142.3	100.0	312.0	1040000	-4.656613e-10	2.4291782	-0.019968119	-0.08650108	3.162478	0.008749361	0.1037	49.0	494.70647978782654
13	-96.23751	38.7084	1.3499991	-143.1	100.0	336.0	1120000	2.0954758e-09	2.7014477	-0.020695824	-0.12776741	3.1194792	0.008321599	0.107875004	49.0	538.0313818454742
14	-84.06042	45.42301	32.3	-142.8	100.0	360.0	1200000	-4.1909516e-09	4.042901	-0.020100055	-0.30705887	3.082459	0.008941507	0.0955625	49.0	581.5509729385376
15	-74.53	42.049244	16.999998	-135.3	100.0	385.0	1280000	-3.4924597e-09	4.0265527	-0.01994469	-0.25803578	3.0489724	0.008686136	0.102937505	49.0	624.2313506603241
16	-71.86297	37.484455	10.799999	-133.0	100.0	412.0	1360000	-3.7252903e-09	5.414997	-0.01961784	-0.3190553	3.0212145	0.00826257	0.09397499	49.0	666.6557033061981
17	-67.6577	45.172794	39.899998	-119.85	100.0	438.0	1440000	5.5879354e-09	4.5186234	-0.01941868	-0.335657	2.981655	0.008738577	0.0952625	49.0	707.2125492095947
18	-53.540386	47.015293	41.1	-129.45	100.0	464.0	1520000	-1.8626451e-09	4.427241	-0.019699335	-0.25297382	2.9537764	0.007715772	0.1022875	49.0	753.6594059467316
19	-50.229034	43.732906	35.85	-116.35	100.0	495.0	1600000	1.1641532e-09	4.919085	-0.018838413	-0.43363503	2.907638	0.00885159	0.098375	49.0	798.054119348526
20	-48.365627	50.726746	40.85	-129.55	100.0	527.0	1680000	-3.7252903e-09	4.793125	-0.019057233	-0.3799042	2.8844118	0.009352882	0.097674996	49.0	839.9690563678741
21	-49.460003	51.246582	75.45	-131.65001	100.0	557.0	1760000	4.1909516e-09	4.361397	-0.018502027	-0.36685973	2.8521008	0.008230229	0.09676249	49.0	880.9698369503021
22	-50.58448	48.57391	56.05	-116.75	100.0	586.0	1840000	-2.0954758e-09	5.305824	-0.019254878	-0.4457468	2.826754	0.009122744	0.10535	49.0	922.1130254268646
23	-45.596775	47.828316	55.85	-113.1	100.0	617.0	1920000	-9.313226e-10	5.648862	-0.018084554	-0.36232263	2.7875762	0.00851678	0.099175006	49.0	965.2922027111053
24	-30.032814	57.490593	91.549995	-133.55	100.0	649.0	2000000	-9.313226e-10	5.3963957	-0.018433021	-0.4880965	2.754203	0.008347142	0.1021375	49.0	1010.0535826683044
25	-37.63	46.23642	62.75	-106.4	100.0	679.0	2080000	-3.7252903e-09	5.3054028	-0.018598111	-0.55705273	2.732668	0.0081509	0.1034625	49.0	1056.3239681720734
26	-39.737503	49.09821	77.5	-127.700005	100.0	711.0	2160000	-1.071021e-08	5.113722	-0.017871698	-0.41713506	2.7087512	0.009071308	0.106175005	49.0	1101.4111688137054
27	-30.043552	48.526203	60.7	-125.25	100.0	742.0	2240000	2.7939677e-09	6.0438766	-0.017579935	-0.721537	2.672796	0.009069191	0.0985375	49.0	1142.936555147171
28	-28.496876	51.62252	76.35	-119.6	100.0	774.0	2320000	3.7252903e-09	5.7571898	-0.017623805	-0.58690125	2.6468372	0.009094451	0.1028875	49.0	1185.8202862739563
29	-24.350002	43.455063	79.65	-99.6	100.0	806.0	2400000	-9.313226e-10	6.0505524	-0.017366128	-0.5119709	2.5906768	0.008856138	0.09965	49.0	1229.0343749523163
30	-26.639063	49.87278	104.1	-102.15	100.0	838.0	2480000	5.5879354e-09	5.985106	-0.01672665	-0.45480248	2.5653262	0.0071733235	0.090187505	49.0	1275.5240778923035
31	-24.395	48.24475	83.0	-98.3	100.0	868.0	2560000	-1.5133992e-09	5.815489	-0.01723416	-0.42088354	2.559337	0.0093721645	0.1016875	49.0	1316.8657312393188
32	-11.704689	53.91974	98.95	-97.65	100.0	900.0	2640000	2.7939677e-09	6.520734	-0.01731762	-0.53585553	2.5164592	0.008668248	0.095375	49.0	1359.4381687641144
33	-17.389065	53.916058	109.6	-110.6	100.0	932.0	2720000	-1.8626451e-09	5.0932755	-0.017612727	-0.6008247	2.5104165	0.009340312	0.102925	49.0	1406.9219963550568
34	-22.101564	42.76511	77.45	-93.35	100.0	964.0	2800000	1.9790605e-09	6.006301	-0.01671357	-0.57020545	2.4683688	0.008629492	0.093375	49.0	1453.8386795520782
35	-20.167189	47.259983	88.5	-96.9	100.0	996.0	2880000	-9.313226e-09	5.7366443	-0.016706172	-0.60393333	2.4233522	0.008842446	0.0977625	49.0	1497.37553358078
36	-10.454689	45.807377	74.2	-102.4	100.0	1028.0	2960000	1.8626451e-09	6.8433	-0.016427394	-0.7313649	2.398427	0.008809616	0.1011	49.0	1542.7157008647919
37	-5.9859385	53.290226	114.4	-98.9	100.0	1060.0	3040000	6.0535967e-09	6.5939436	-0.016438905	-0.6396936	2.3469875	0.008854641	0.096750006	49.0	1584.745031118393
38	-4.940626	55.243443	117.549995	-99.55	100.0	1092.0	3120000	-4.656613e-09	7.014841	-0.016677367	-0.72488135	2.3343177	0.008621389	0.0983875	49.0	1629.4813876152039
39	-8.754689	62.432446	109.15	-116.950005	100.0	1124.0	3200000	-6.519258e-09	6.607105	-0.016630478	-0.8135932	2.3003294	0.0095711555	0.0994625	49.0	1677.080180644989
40	0.8921859	50.801113	108.15	-103.200005	100.0	1156.0	3280000	-2.7939677e-09	7.327019	-0.016321795	-0.6805724	2.2770495	0.008784166	0.0968875	49.0	1719.1936399936676
41	-3.4812515	45.179157	79.549995	-101.3	100.0	1188.0	3360000	-9.313226e-10	6.1125336	-0.016292956	-0.69664484	2.230497	0.00833818	0.09783749	49.0	1762.6651628017426
42	8.498436	47.52465	105.5	-95.65	100.0	1220.0	3440000	-6.4028427e-10	6.886022	-0.01623844	-0.72843057	2.214356	0.007993977	0.0973375	49.0	1807.9358413219452
43	2.7281237	48.364098	99.5	-89.05	100.0	1252.0	3520000	-1.8626451e-09	7.5707874	-0.016074955	-0.8606859	2.177855	0.009037523	0.099525005	49.0	1856.2288782596588
44	1.7999988	56.146973	113.25	-88.950005	100.0	1284.0	3600000	9.313226e-10	6.306594	-0.0155916605	-0.59584624	2.1566987	0.007503176	0.0875625	49.0	1901.0770609378815
45	-0.08750081	54.81418	128.05	-70.3	100.0	1316.0	3680000	2.7939677e-09	6.5655966	-0.015366189	-0.6943834	2.1105886	0.007911831	0.08805	49.0	1948.5976150035858
46	4.9156237	43.69205	97.15	-75.6	100.0	1348.0	3760000	6.519258e-09	6.7567387	-0.015694808	-0.97650933	2.1060057	0.009192879	0.096774995	49.0	1992.561219215393
47	9.014061	47.57463	91.15	-74.65	100.0	1380.0	3840000	2.3283064e-10	7.2684207	-0.01629595	-0.6778411	2.096581	0.0096315015	0.0990375	49.0	2035.9038825035095
48	7.559373	50.7826	102.5	-83.65	100.0	1412.0	3920000	6.0535967e-09	7.5064545	-0.015225041	-0.7408585	2.0414767	0.007724818	0.091837496	49.0	2082.272834777832
49	-2.1734395	49.726955	111.299995	-91.35	100.0	1444.0	4000000	3.7252903e-09	6.792368	-0.015267301	-0.62832344	2.0447252	0.008195389	0.09205	49.0	2129.3126213550568
50	3.8374984	53.189793	105.35	-106.65	100.0	1476.0	4080000	6.0535967e-09	6.332817	-0.015723232	-0.599518	2.0414233	0.007603757	0.090937495	49.0	2175.1846470832825
51	13.321873	50.331036	107.85	-81.15	100.0	1508.0	4160000	3.259629e-09	7.2591653	-0.015429774	-0.7975891	2.0079656	0.008617554	0.095162496	49.0	2221.0181727409363
52	0.8531232	51.271908	106.7	-77.65	100.0	1540.0	4240000	3.7252903e-09	6.553446	-0.015270399	-0.839646	1.9808992	0.007958919	0.0944625	49.0	2267.181829929352
53	7.204686	40.383457	115.65	-84.35	100.0	1572.0	4320000	-6.9849193e-09	8.257364	-0.015320656	-1.0132296	1.956334	0.008666811	0.0948375	49.0	2315.898558616638
54	11.120311	48.706097	125.299995	-60.100002	100.0	1604.0	4400000	-5.5879354e-09	7.2325463	-0.015114177	-0.96390486	1.9465783	0.007585522	0.094775	49.0	2358.804242372513
55	17.879684	51.267086	123.7	-69.5	100.0	1636.0	4480000	-7.450581e-09	7.9380693	-0.014929762	-0.80624896	1.9409864	0.007851962	0.0879625	49.0	2406.5038442611694
56	18.295311	47.23236	133.09999	-60.15	100.0	1668.0	4560000	0.0	6.7398057	-0.015653253	-0.7975445	1.8857149	0.008318156	0.09837499	49.0	2449.5625331401825
57	21.873436	41.757374	109.25	-64.35	100.0	1700.0	4640000	2.0954758e-09	7.0502377	-0.015330771	-0.7268442	1.871145	0.008865251	0.0929625	49.0	2492.9554748535156
58	23.206247	51.380512	123.5	-57.050003	100.0	1732.0	4720000	-4.656613e-09	8.166632	-0.014991336	-0.80138594	1.8754097	0.008567812	0.092337504	49.0	2535.99298453331
59	21.285936	45.19692	130.65	-51.25	100.0	1764.0	4800000	2.0954758e-09	6.274577	-0.01488262	-0.69459414	1.8677804	0.008390547	0.09227499	49.0	2578.785654783249
