Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen
20	-28.999996	2.3125744	-25.050001	-33.45	40.0
40	-28.780003	2.4036121	-22.550001	-32.75	40.0
60	-29.560001	2.947991	-22.65	-36.2	40.0
80	-28.2975	3.0742674	-21.25	-31.95	40.0
100	-26.744999	3.3458524	-17.65	-32.350002	40.0
120	-24.542501	3.0962186	-18.050001	-30.7	40.0
140	-24.2825	4.984834	-12.8	-33.0	40.0
160	-22.772503	3.7123938	-17.6	-29.85	40.0
180	-23.1975	3.854915	-13.0	-28.65	40.0
200	-24.585	4.3141365	-13.150001	-32.600002	40.0
220	-25.1125	3.9445174	-17.2	-32.15	40.0
240	-21.45	7.046471	1.5999995	-30.0	40.0
260	-23.5225	5.5208583	-7.0	-29.6	40.0
280	-21.942501	6.4552746	-3.3000002	-30.6	40.0
300	-17.157501	6.4080863	-3.8000002	-31.400002	40.0
320	-20.567501	6.689194	0.6999998	-29.900002	40.0
340	-20.779999	6.2614975	-8.35	-29.6	40.0
360	-17.6825	6.6176143	-6.3	-29.45	40.0
380	-19.8425	4.8034434	-9.75	-27.0	40.0
400	-17.392502	9.081469	1.5499996	-29.45	40.0
420	-17.7275	8.39024	6.7	-31.5	40.0
440	-18.252499	7.324044	-4.3	-27.550001	40.0
460	-14.412501	10.063087	10.799999	-29.1	40.0
480	-11.705	7.87799	4.2499995	-27.2	40.0
500	-14.1625	7.6737847	5.05	-25.300001	40.0
520	-12.522501	10.339965	6.65	-26.550001	40.0
540	-12.840001	11.73178	28.1	-29.35	40.0
560	-11.627499	9.205563	1.3999999	-28.95	40.0
580	-11.190001	9.159798	10.9	-25.4	40.0
600	-11.450001	10.398966	16.05	-29.15	40.0
620	-12.485	8.71199	4.3999996	-26.65	40.0
640	-11.725	9.057104	5.75	-26.95	40.0
660	-9.084999	12.285969	20.4	-25.4	40.0
680	-9.78	13.092903	20.0	-25.75	40.0
700	-5.9575	11.641674	9.45	-26.25	40.0
720	-9.117501	13.329763	20.9	-31.550001	40.0
740	-7.8300004	11.880998	15.3	-25.15	40.0
760	-1.7700001	14.712974	31.75	-28.9	40.0
780	-8.29	11.096865	19.55	-21.5	40.0
800	3.0674999	11.054369	26.3	-19.65	40.0
820	-3.2475002	15.596848	23.8	-32.55	40.0
840	-2.2725	12.690819	20.45	-21.95	40.0
860	-3.97	11.233369	21.75	-28.2	40.0
880	-2.6300004	16.836845	30.85	-23.6	40.0
900	-3.3550007	15.966402	46.4	-23.9	40.0
920	-2.9274998	16.366089	27.35	-28.65	40.0
940	-1.1750007	15.684718	29.15	-23.35	40.0
960	1.8449997	15.39629	37.25	-26.35	40.0
980	1.7349999	16.313179	34.55	-23.85	40.0
1000	-0.002500391	12.791487	21.55	-25.300001	40.0
1020	2.7949994	16.88038	34.25	-21.300001	40.0
1040	8.285	15.0855	30.449999	-14.5	40.0
1060	-2.19	12.980607	22.85	-21.550001	40.0
1080	0.59999967	14.152932	27.65	-17.800001	40.0
1100	6.655	15.74403	48.15	-19.7	40.0
1120	0.69999963	17.863222	45.95	-23.75	40.0
1140	-0.26500028	23.335157	82.95	-25.9	40.0
1160	1.6099999	18.02122	49.75	-20.25	40.0
1180	6.0399995	16.4559	42.7	-21.45	40.0
1200	3.3599994	16.493116	40.85	-21.0	40.0
1220	14.0725	19.468998	54.3	-13.3	40.0
1240	4.6249995	17.318953	41.1	-20.35	40.0
1260	5.4125	19.119537	61.95	-21.550001	40.0
1280	12.142499	25.755486	79.45	-24.1	40.0
1300	12.9375	16.587397	47.55	-16.6	40.0
1320	9.9575	17.933727	58.05	-20.95	40.0
1340	10.12	16.975021	47.85	-20.9	40.0
1360	18.15	17.128448	43.9	-19.4	40.0
1380	11.109999	17.550303	47.25	-19.7	40.0
1400	12.192499	21.961508	56.2	-26.6	40.0
1420	14.159999	20.493008	47.399998	-26.9	40.0
1440	25.955002	23.262259	79.4	-3.1500003	40.0
1460	16.84	21.537098	73.55	-15.8	40.0
1480	16.855	22.918541	55.75	-28.050001	40.0
1500	9.079999	17.089136	54.6	-9.150001	40.0
1520	13.5725	25.600662	74.75	-20.800001	40.0
1540	18.057499	20.698154	53.649998	-21.35	40.0
1560	25.654999	19.269735	55.25	-19.95	40.0
1580	25.525	27.781168	82.5	-12.25	40.0
1600	22.6825	22.922256	59.45	-15.55	40.0
1620	22.925	20.446495	51.5	-19.45	40.0
1640	15.415001	28.985123	95.4	-29.45	40.0
1660	13.389999	22.052929	53.7	-23.050001	40.0
1680	17.932499	22.385515	64.25	-14.35	40.0
1700	21.320002	21.38668	78.75	-4.75	40.0
1720	17.15	22.320658	77.55	-11.85	40.0
1740	26.125	21.39692	82.0	-10.35	40.0
1760	21.109997	17.655874	49.05	-8.700001	40.0
1780	9.3125	17.143415	50.1	-20.050001	40.0
1800	23.169998	26.764036	79.6	-23.35	40.0
1820	22.2925	20.556223	59.399998	-6.8	40.0
1840	23.752499	24.650291	77.15	-15.55	40.0
1860	25.9475	19.387602	66.95	-8.250001	40.0
1880	22.135	15.74981	51.5	-3.300001	40.0
1900	19.892498	18.003757	53.3	-19.85	40.0
1920	28.2625	22.091915	76.75	-7.1500006	40.0
1940	23.559998	21.423857	72.5	-9.950001	40.0
1960	28.6975	23.646387	86.15	0.34999895	40.0
1980	30.532501	22.377758	67.2	-11.750001	40.0
2000	27.732502	20.255821	63.0	-7.8500004	40.0
2020	32.852497	20.454435	77.0	-18.500002	40.0
2040	36.405	21.30463	65.049995	-0.55000174	40.0
2060	30.277502	28.406855	103.95	-18.150002	40.0
2080	25.1475	26.783413	70.85	-5.700001	40.0
2100	26.207499	27.774189	67.35	-26.900002	40.0
2120	23.012499	26.675505	91.7	-16.85	40.0
2140	29.0425	21.918697	77.6	-11.750001	40.0
2160	16.9075	24.889597	75.2	-18.1	40.0
2180	33.465	27.164064	74.75	-16.95	40.0
2200	44.3525	29.937187	81.05	-28.250002	40.0
2220	38.8275	25.509844	90.1	-6.050002	40.0
2240	30.375	33.12676	104.85	-20.900002	40.0
2260	19.9125	31.879616	88.05	-36.550003	40.0
2280	3.3699994	24.44741	57.1	-43.350002	40.0
2300	52.5925	29.799242	96.75	-15.750001	40.0
2320	32.465004	28.784605	74.6	-21.900002	40.0
2340	25.602499	24.957155	77.9	-11.550001	40.0
2360	34.207497	39.614075	120.799995	-37.850002	40.0
2380	26.397497	22.347649	76.25	-9.05	40.0
2400	29.185001	26.168007	91.4	-9.400001	40.0
2420	40.557503	30.116892	84.15	-12.750001	40.0
2440	56.242493	20.17918	88.35	-1.4000003	40.0
2460	50.9175	28.86586	105.05	-25.300003	40.0
2480	45.935	36.9975	113.4	-19.750002	40.0
2500	43.35	27.026371	82.9	-4.5000005	40.0
2520	49.214996	26.184505	84.7	-1.850001	40.0
2540	49.824997	16.21552	75.049995	7.8499994	40.0
2560	48.402504	29.346075	99.4	-13.85	40.0
2580	35.652496	32.595707	96.85	-17.150002	40.0
2600	42.840004	27.97801	90.65	-6.000001	40.0
2620	49.854996	23.763512	88.45	-7.2500014	40.0
2640	41.927498	24.382198	75.4	-14.700002	40.0
2660	49.75	28.329096	86.8	-2.300001	40.0
2680	61.875	16.556973	92.5	32.55	40.0
2700	55.245003	24.734753	96.9	-5.0000014	40.0
2720	55.554993	15.428438	82.6	19.4	40.0
2740	59.597504	19.74211	107.1	6.35	40.0
2760	55.1	26.104557	84.25	-10.500001	40.0
2780	55.2925	16.859316	89.6	23.35	40.0
2800	65.277504	15.302292	89.25	26.6	40.0
2820	68.225	16.667307	117.0	44.95	40.0
2840	60.405006	19.872015	97.6	19.3	40.0
2860	56.6675	25.08858	96.5	-8.400001	40.0
2880	57.1875	18.714071	83.549995	-2.5000007	40.0
2900	63.5325	19.981712	92.049995	4.299999	40.0
2920	65.5475	23.676931	99.45	-13.000001	40.0
2940	74.572495	18.016592	103.15	28.349998	40.0
2960	65.2525	22.160728	102.35	20.55	40.0
2980	69.994995	19.558277	99.0	12.849999	40.0
3000	73.152504	22.337578	112.65	37.75	40.0
3020	60.885002	21.52297	95.549995	12.849999	40.0
3040	66.2025	27.035406	97.4	8.249999	40.0
3060	71.479996	18.858953	102.2	37.3	40.0
3080	70.1175	22.405542	112.85	23.1	40.0
3100	59.065002	19.960442	94.049995	27.4	40.0
3120	49.344997	22.877985	91.25	7.0999994	40.0
3140	62.8425	16.072098	90.9	21.75	40.0
3160	57.245003	22.296225	104.6	13.0	40.0
3180	52.390003	23.629957	96.15	0.5499994	40.0
3200	60.117504	26.392282	97.15	12.099999	40.0
3220	67.1875	26.119198	114.049995	7.3500004	40.0
3240	74.51	16.924564	106.5	39.8	40.0
3260	65.365005	21.601488	109.4	26.05	40.0
3280	63.935005	30.81786	115.75	-2.6999998	40.0
3300	57.565002	28.65045	99.15	-8.55	40.0
3320	76.705	21.067883	122.05	40.0	40.0
3340	60.767498	19.914104	105.75	29.05	40.0
3360	67.95	33.745007	129.2	0.44999856	40.0
3380	72.56	33.12634	124.0	-0.5000005	40.0
3400	67.64	23.424301	97.5	-8.1	40.0
3420	74.6875	26.876408	109.9	14.449999	40.0
3440	55.092506	28.82185	93.45	-7.4000006	40.0
3460	63.7425	25.086956	93.8	6.6999984	40.0
3480	65.345	26.231142	110.85	12.599999	40.0
3500	70.31	32.5092	121.1	6.6	40.0
3520	73.41249	26.201435	112.85	27.55	40.0
3540	69.3875	32.806103	130.45	7.8000007	40.0
3560	73.615	29.760138	120.0	12.05	40.0
3580	63.345	31.214869	119.3	18.199999	40.0
3600	70.347496	28.362236	129.75	11.149999	40.0
3620	56.067497	40.828903	120.4	-14.05	40.0
3640	72.69499	35.081264	127.55	-19.550001	40.0
3660	50.697502	28.268818	104.4	2.7999997	40.0
3680	51.45	38.638027	110.5	-20.45	40.0
3700	60.252495	32.5417	120.1	13.949999	40.0
3720	44.739998	34.33662	102.85	-10.250001	40.0
3740	78.685	30.910206	121.8	18.0	40.0
3760	55.325	36.458134	118.4	-18.550001	40.0
3780	67.12	28.539907	111.05	-2.6	40.0
3800	62.672504	35.141384	143.55	11.749999	40.0
3820	64.4725	37.02233	131.15	10.549999	40.0
3840	73.39	28.030895	126.75	10.65	40.0
3860	69.91	28.701685	113.0	11.9	40.0
3880	65.2325	37.0499	131.0	-13.55	40.0
3900	67.27249	33.921936	127.7	-8.400001	40.0
3920	66.064995	29.296314	121.6	2.35	40.0
3940	62.024994	22.304464	101.1	24.8	40.0
3960	72.707504	21.352724	113.85	40.0	40.0
3980	80.485	20.711342	121.7	46.9	40.0
4000	77.277504	34.637573	125.55	-4.6000004	40.0
4020	77.705	29.617376	126.35	29.15	40.0
4040	84.61	22.951975	118.55	24.15	40.0
4060	65.1	32.31372	121.15	8.549999	40.0
4080	83.025	27.219429	126.05	33.2	40.0
4100	85.49251	30.10991	143.1	48.7	40.0
4120	83.1775	23.066515	115.3	36.149998	40.0
4140	98.31999	20.280844	139.2	55.3	40.0
4160	91.06251	25.700155	146.25	35.6	40.0
4180	79.5775	30.605011	129.1	20.199999	40.0
4200	103.21	17.91663	138.65	75.15	40.0
4220	76.990005	21.490822	112.75	45.1	40.0
4240	78.56999	26.380772	119.75	30.35	40.0
4260	83.28999	27.932127	143.3	12.199999	40.0
4280	91.22499	20.602564	138.35	38.8	40.0
4300	89.71	25.499483	134.4	46.8	40.0
4320	83.1075	26.048182	117.7	35.7	40.0
4340	97.0925	32.383133	167.6	34.65	40.0
4360	92.5575	23.828194	127.9	23.2	40.0
4380	92.2025	36.080814	133.9	14.4	40.0
4400	79.91	22.324816	116.75	25.85	40.0
4420	85.78	26.530315	130.85	37.2	40.0
4440	97.1975	19.173206	130.85	60.35	40.0
4460	99.38249	27.895369	142.7	12.6	40.0
4480	94.9	27.673872	136.45	36.1	40.0
4500	84.3975	26.765423	128.75	35.85	40.0
4520	86.0475	31.859657	125.6	23.75	40.0
4540	85.07001	29.479897	130.9	15.3	40.0
4560	84.384995	24.400095	131.85	33.85	40.0
4580	95.715	31.037588	147.25	30.55	40.0
4600	101.3825	15.87858	129.8	66.65	40.0
4620	103.740005	29.609596	146.35	16.4	40.0
4640	90.91	24.196898	125.4	43.55	40.0
4660	94.255	32.895847	144.65	5.3999996	40.0
4680	87.69499	28.868504	126.1	22.9	40.0
4700	88.840004	27.15782	129.85	31.1	40.0
4720	84.63249	29.132612	143.6	37.15	40.0
4740	94.97749	26.2171	127.45	17.4	40.0
4760	107.425	22.764437	145.2	65.25	40.0
4780	107.81749	17.97664	149.6	75.4	40.0
4800	101.72	27.540012	156.5	47.65	40.0
4820	92.3625	26.486637	138.75	33.3	40.0
4840	101.34	24.591673	136.25	23.0	40.0
4860	105.28249	25.034143	149.55	46.649998	40.0
4880	101.95	35.72756	145.65	-5.4500012	40.0
4900	117.46751	20.122818	143.9	59.55	40.0
4920	113.29	14.765623	135.25	63.6	40.0
4940	101.564995	33.9535	151.5	20.699999	40.0
4960	116.567505	22.728441	161.7	57.85	40.0
4980	106.34251	30.239138	140.25	34.25	40.0
5000	112.50751	33.469425	160.3	-11.200001	40.0
5020	99.8175	34.62941	144.6	8.5	40.0
5040	105.3	31.44159	141.7	24.1	40.0
5060	107.58751	26.068798	146.8	57.15	40.0
5080	117.7025	27.368547	166.2	42.65	40.0
5100	111.5875	30.007875	148.4	13.0	40.0
5120	95.024994	34.011494	141.1	14.85	40.0
5140	109.240005	23.600666	144.45	52.95	40.0
5160	112.0775	13.054622	139.35	79.95	40.0
5180	111.57749	20.680399	144.75	52.75	40.0
5200	116.8	24.965376	149.55	56.5	40.0
5220	115.58751	23.85392	148.15	56.9	40.0
5240	111.822495	23.74878	147.2	62.3	40.0
5260	107.4125	28.421413	139.8	23.1	40.0
5280	102.545	25.231205	138.15	29.35	40.0
5300	104.89751	31.476942	149.0	36.0	40.0
5320	119.935	19.02829	152.1	81.1	40.0
5340	117.11251	29.149265	156.0	49.1	40.0
5360	105.05751	21.018736	148.7	62.35	40.0
5380	114.817505	21.275732	146.4	63.55	40.0
5400	101.265	33.79054	154.05	12.95	40.0
5420	95.82499	32.167976	152.0	33.05	40.0
5440	122.917496	13.778582	143.75	99.45	40.0
5460	122.9375	23.943703	142.0	46.35	40.0
5480	110.93001	29.690119	160.9	45.9	40.0
5500	126.81	18.84259	167.6	96.95	40.0
5520	112.12001	33.21407	154.2	12.150001	40.0
5540	115.73501	24.815199	152.3	58.25	40.0
5560	108.98501	31.301289	148.7	35.95	40.0
5580	102.72001	34.268696	160.2	30.95	40.0
5600	117.55	23.980648	150.35	48.6	40.0
5620	103.9225	40.820023	155.7	0.64999986	40.0
5640	113.19499	23.554539	146.15	42.0	40.0
5660	118.207504	27.99387	164.25	33.8	40.0
5680	109.33999	30.84037	152.2	32.1	40.0
5700	126.50252	22.11285	173.0	81.95	40.0
5720	120.4	27.084204	171.15	45.1	40.0
5740	107.994995	34.848427	150.95	23.5	40.0
5760	117.19751	41.092785	181.8	-0.14999986	40.0
5780	100.0125	36.23811	152.55	34.4	40.0
5800	113.75749	23.404318	154.95	43.95	40.0
5820	111.23749	23.456423	141.55	68.5	40.0
5840	119.2625	26.084242	151.5	35.75	40.0
5860	116.732506	23.093632	147.9	53.95	40.0
5880	123.71751	24.236963	169.45	65.55	40.0
5900	128.875	24.7857	157.55	70.5	40.0
5920	109.94	24.012438	141.85	54.8	40.0
5940	121.49251	36.416874	173.1	47.55	40.0
