Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
100	-40.7135	3.25166	-31.85	-47.15	60.0	50 sec
200	-37.8275	4.7811317	-24.9	-49.600002	60.0	1 min 48 sec
300	-28.148998	8.373037	0.7	-44.65	60.0	2 min 44 sec
400	-21.0115	10.591753	9.05	-41.2	60.0	3 min 40 sec
500	-14.3555	12.641194	35.3	-41.75	60.0	4 min 36 sec
600	-5.4265	17.953249	43.15	-34.850002	60.0	5 min 31 sec
700	-1.1995001	18.788422	60.15	-31.6	60.0	6 min 25 sec
800	1.8884999	22.189354	95.5	-34.350002	60.0	7 min 21 sec
900	2.8975	19.999208	52.6	-33.3	60.0	8 min 18 sec
1000	4.6995	24.563923	61.55	-47.3	60.0	9 min 16 sec
1100	17.083	24.759546	74.8	-35.8	60.0	10 min 15 sec
1200	19.6465	27.651419	85.0	-37.350002	60.0	11 min 12 sec
1300	26.799002	23.9801	77.65	-26.15	60.0	12 min 10 sec
1400	27.4255	26.928938	91.8	-27.1	60.0	13 min 7 sec
1500	31.666496	28.327255	96.85	-22.35	60.0	14 min 4 sec
1600	34.837498	29.165798	126.549995	-30.400002	60.0	15 min 0 sec
1700	41.4615	27.125298	109.25	-30.550001	60.0	15 min 58 sec
1800	42.419502	29.943897	115.45	-21.800001	60.0	16 min 56 sec
1900	46.095	29.3255	108.65	-19.35	60.0	17 min 54 sec
2000	61.793003	27.793657	123.25	-9.8	60.0	18 min 51 sec
2100	65.891	28.288637	121.049995	-0.75000113	60.0	19 min 50 sec
2200	71.666	30.1934	142.84999	-6.7000017	60.0	20 min 48 sec
2300	58.1265	33.0675	121.9	-5.200001	60.0	21 min 47 sec
2400	57.0775	34.698517	123.1	-4.600001	60.0	22 min 43 sec
2500	61.208996	35.964794	132.0	-29.300001	60.0	23 min 39 sec
2600	86.98751	37.22785	157.05	-8.900002	60.0	24 min 37 sec
2700	95.524994	32.45238	160.75	8.049998	60.0	25 min 35 sec
2800	102.31601	33.670273	156.15	7.3999987	60.0	26 min 34 sec
2900	113.8075	29.769249	168.95	30.249998	60.0	27 min 33 sec
3000	119.5845	28.983366	184.5	39.3	60.0	28 min 31 sec
3100	121.36851	32.04317	181.95	10.65	60.0	29 min 29 sec
3200	128.015	34.635456	185.1	9.9	60.0	30 min 29 sec
3300	125.18101	32.22752	200.3	6.1	60.0	31 min 28 sec
3400	129.276	25.911572	185.3	54.5	60.0	32 min 27 sec
3500	110.242004	41.362854	180.0	19.5	60.0	33 min 25 sec
3600	113.93001	37.814617	198.6	7.4499993	60.0	34 min 24 sec
3700	101.513	33.423317	187.2	19.199999	60.0	35 min 24 sec
3800	100.04749	35.72646	166.0	-12.500001	60.0	36 min 23 sec
3900	106.46501	32.40521	168.15	20.7	60.0	37 min 21 sec
4000	103.605995	30.03978	188.5	-1.3000005	60.0	38 min 19 sec
4100	110.651505	29.562088	168.05	27.85	60.0	39 min 17 sec
4200	105.86099	32.137672	172.55	33.25	60.0	40 min 14 sec
4300	100.947014	32.30478	166.1	17.949999	60.0	41 min 11 sec
4400	102.574005	37.095974	186.85	-9.100001	60.0	42 min 8 sec
4500	101.837006	38.9461	172.35	-6.5500007	60.0	43 min 5 sec
4600	112.18949	35.737576	174.9	0.049999416	60.0	44 min 5 sec
4700	119.149	37.498844	190.75	14.949999	60.0	45 min 4 sec
4800	112.95149	39.633602	182.65	2.0499995	60.0	46 min 3 sec
4900	129.49799	34.062542	234.9	49.199997	60.0	47 min 2 sec
5000	127.84198	37.409348	190.25	-8.350001	60.0	48 min 2 sec
5100	124.318504	44.6688	210.45	-13.650001	60.0	49 min 1 sec
5200	126.92051	40.38189	191.65	-6.2500014	60.0	50 min 0 sec
5300	128.90302	39.24487	202.55	11.7	60.0	50 min 59 sec
5400	126.69301	42.463608	206.85	-12.55	60.0	51 min 58 sec
5500	141.64001	34.31473	205.5	-3.9500003	60.0	52 min 57 sec
5600	137.7475	33.843285	210.75	43.0	60.0	53 min 55 sec
5700	147.2065	35.85784	216.59999	39.6	60.0	54 min 54 sec
5800	129.79051	42.529488	209.75	2.7499995	60.0	55 min 52 sec
5900	139.239	39.557903	224.0	33.0	60.0	56 min 50 sec
6000	143.8995	43.378494	226.35	27.1	60.0	57 min 47 sec
6100	139.95851	36.84045	209.9	2.9499993	60.0	58 min 44 sec
6200	135.572	35.576317	202.3	49.05	60.0	59 min 40 sec
6300	144.7775	33.235634	206.7	32.3	60.0	1 h 0 min 37 sec
6400	150.74	40.551884	216.15	18.4	60.0	1 h 1 min 35 sec
6500	149.9665	40.809013	212.1	24.199999	60.0	1 h 2 min 35 sec
6600	150.72699	43.5219	224.8	-20.150002	60.0	1 h 3 min 33 sec
6700	152.9695	40.355415	216.4	31.699999	60.0	1 h 4 min 32 sec
6800	155.06902	37.843643	219.45	8.650001	60.0	1 h 5 min 29 sec
6900	143.325	48.271614	244.65	-6.8500004	60.0	1 h 6 min 27 sec
7000	145.87099	48.47995	222.5	-0.5500004	60.0	1 h 7 min 25 sec
7100	150.02649	40.156345	217.05	54.9	60.0	1 h 8 min 24 sec
7200	149.41548	36.490925	225.0	48.6	60.0	1 h 9 min 24 sec
7300	155.8385	38.972775	223.75	56.6	60.0	1 h 10 min 23 sec
7400	150.252	37.79144	213.85	57.55	60.0	1 h 11 min 21 sec
7500	146.11151	42.33993	218.9	16.0	60.0	1 h 12 min 21 sec
7600	151.2645	37.186554	229.7	30.1	60.0	1 h 13 min 19 sec
7700	152.305	37.24182	225.7	36.649998	60.0	1 h 14 min 18 sec
7800	154.57451	41.607807	222.35	11.099999	60.0	1 h 15 min 14 sec
7900	157.95	41.262325	227.3	29.15	60.0	1 h 16 min 11 sec
8000	147.473	40.738037	230.25	13.099999	60.0	1 h 17 min 7 sec
8100	146.4105	48.414173	234.85	16.2	60.0	1 h 18 min 3 sec
8200	153.29599	39.416496	239.0	42.35	60.0	1 h 19 min 0 sec
8300	156.798	40.213234	216.0	9.5	60.0	1 h 19 min 59 sec
8400	149.7135	43.512478	221.1	19.099998	60.0	1 h 20 min 59 sec
8500	146.6125	47.447502	215.2	12.25	60.0	1 h 21 min 57 sec
8600	151.584	45.221775	224.1	10.75	60.0	1 h 22 min 56 sec
8700	157.052	35.221764	214.0	39.7	60.0	1 h 23 min 53 sec
8800	146.807	46.360825	221.95	-1.8500007	60.0	1 h 24 min 52 sec
8900	155.562	41.81609	223.15	8.65	60.0	1 h 25 min 51 sec
9000	144.43901	40.499737	214.7	33.5	60.0	1 h 26 min 50 sec
9100	150.49748	36.195305	213.05	26.4	60.0	1 h 27 min 46 sec
9200	144.6685	41.0938	229.7	12.45	60.0	1 h 28 min 45 sec
9300	150.79251	37.81468	218.95	36.7	60.0	1 h 29 min 44 sec
9400	153.1405	42.66886	224.9	53.1	60.0	1 h 30 min 43 sec
9500	160.26349	44.785976	232.95	47.5	60.0	1 h 31 min 42 sec
