Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-41.03839	3.0760741	-33.75	-45.7	80.0	40000	1.6298145e-08	4.4860563	-0.009789544	-3.4853191	3.493864	0.01468117	0.088475004	49.0	5.934760332107544
1	-40.393745	2.9176505	-33.8	-44.8	80.0	80000	-3.4924597e-09	0.88474715	-0.0053137224	-0.0123052	3.4793544	0.013131608	0.066475	49.0	11.790457725524902
2	-40.255455	2.202327	-32.65	-42.9	80.0	120000	1.3969839e-09	0.8416039	-0.0067714755	-0.012017079	3.4596548	0.015039312	0.053274997	46.0	17.548816442489624
3	-38.75893	2.2789233	-32.4	-41.7	80.0	160000	-2.7008355e-08	0.75932515	-0.0063709654	-0.020813465	3.4304285	0.014671271	0.065725	49.0	23.388368844985962
4	-38.457146	2.3290753	-31.4	-41.0	80.0	200000	6.2864274e-09	0.68887174	-0.0065032463	-0.047752	3.3956451	0.015154716	0.061049998	47.0	29.187897205352783
5	-37.725002	1.8612112	-29.85	-40.05	80.0	240000	-1.4202669e-08	0.59883416	-0.00767425	-0.022518434	3.37362	0.01529472	0.109400004	45.0	34.93029022216797
6	-37.50727	1.7829348	-31.75	-39.3	80.0	280000	-1.792796e-08	0.5207236	-0.009749038	-0.038178828	3.3227184	0.015096993	0.1803	27.0	40.18322229385376
7	-36.70982	1.5446745	-32.2	-39.600002	80.0	320000	4.8894435e-09	0.42176658	-0.01010019	-0.020617269	3.2622313	0.015238522	0.11685	44.0	45.905433654785156
8	-36.131252	1.1933808	-32.850002	-38.100002	80.0	360000	6.519258e-09	0.3829526	-0.008624519	-0.029236	3.1847904	0.014338925	0.14925	49.0	51.74711275100708
9	-34.998215	1.71021	-27.95	-37.95	80.0	400000	1.21071935e-08	0.3516075	-0.006399148	-0.024110604	3.0973973	0.0144219035	0.078250006	49.0	57.63935947418213
10	-35.09643	1.5782806	-31.550001	-37.7	80.0	440000	3.7252903e-09	0.33397555	-0.0063168923	-0.019253105	3.0396686	0.0156086655	0.145075	25.0	62.886407136917114
11	-34.891964	1.5995474	-30.75	-37.25	80.0	480000	3.259629e-09	0.3344394	-0.0060963337	-0.013603017	2.9262943	0.011793237	0.091900006	49.0	68.7389464378357
12	-34.63393	1.5039563	-31.1	-37.4	80.0	520000	-4.1909516e-09	0.34005415	-0.005337604	-0.009855591	2.8527284	0.015090002	0.094174996	35.0	74.20313310623169
13	-34.65625	1.5237719	-30.050001	-36.7	80.0	560000	2.0954758e-09	0.33873314	-0.0055008093	-0.0055405125	2.750939	0.013978109	0.110424995	49.0	80.0698025226593
14	-34.92143	1.4901421	-30.300001	-37.7	80.0	600000	-9.313226e-09	0.33561847	-0.0047019403	-0.007928543	2.6665897	0.012230268	0.069325	49.0	85.92562127113342
15	-35.213394	1.1622214	-32.25	-37.25	80.0	640000	-6.0535967e-09	0.33329096	-0.0044227294	-0.0049220845	2.5674381	0.015317262	0.097725004	44.0	91.62165713310242
16	-35.003574	1.295282	-31.65	-37.0	80.0	680000	-4.656613e-09	0.33470988	-0.0036992487	-0.003535591	2.4479294	0.012542539	0.059925	49.0	97.51905107498169
17	-35.13036	1.2519158	-31.6	-36.9	80.0	720000	-1.3737008e-08	0.35305083	-0.0037238281	-0.00295927	2.3196912	0.0122759305	0.101625	49.0	103.41577005386353
18	-34.804466	1.3104756	-31.300001	-36.55	80.0	760000	7.450581e-09	0.35669118	-0.002552866	-0.0034816414	2.2843018	0.0034622392	0.017375	49.0	109.25777745246887
19	-34.428574	1.4937927	-30.300001	-36.65	80.0	800000	1.618173e-08	0.36609164	-0.00326969	-0.0044697523	2.2240534	0.007542588	0.03785	49.0	115.16915607452393
20	-34.958035	1.3278198	-30.800001	-36.600002	80.0	840000	2.561137e-09	0.3566572	-0.0036267838	-0.0068645105	2.1885629	0.012758866	0.037249997	49.0	121.03828978538513
21	-35.27947	1.17958	-31.550001	-36.95	80.0	880000	8.731149e-09	0.35835326	-0.0030695773	-0.0046169423	2.1462498	0.00833765	0.027150001	49.0	126.8628396987915
22	-35.188393	1.2180558	-30.050001	-36.7	80.0	920000	-5.122274e-09	0.35904056	-0.0028600304	-0.00563509	2.052844	0.0062399036	0.009225	49.0	132.71798634529114
23	-35.338184	1.0645941	-31.550001	-36.7	80.0	960000	7.916242e-09	0.36557877	-0.0029193396	-0.007945601	2.1089	0.011534914	0.045025	49.0	138.5438108444214
24	-34.94911	1.5055106	-31.2	-36.8	80.0	1000000	-1.3969839e-08	0.35474464	-0.0029910791	-0.011192594	2.1225653	0.008970423	0.02095	49.0	144.40008282661438
25	-34.775	1.4300038	-31.15	-36.600002	80.0	1040000	-4.1909516e-09	0.34662104	-0.0033021662	-0.008064352	2.1919765	0.00943424	0.034225002	49.0	150.2609565258026
26	-35.300896	0.9936626	-33.15	-36.7	80.0	1080000	-1.8626451e-09	0.34929425	-0.0042431355	-0.005137652	2.1914272	0.011579222	0.055225	49.0	156.1106026172638
27	-35.379463	0.9949777	-32.05	-36.7	80.0	1120000	1.8626451e-09	0.35000265	-0.0037313623	-0.0054275617	2.1159892	0.013301305	0.039975002	49.0	161.93425750732422
28	-35.36	1.1229185	-31.85	-36.65	80.0	1160000	1.2572855e-08	0.36171198	-0.00394677	-0.0077006333	2.0555053	0.012396328	0.048	49.0	167.74696850776672
29	-35.603706	0.7174321	-33.3	-36.8	80.0	1200000	0.0	0.35744494	-0.0035118842	-0.007166818	2.1304362	0.010393297	0.028749999	49.0	173.55971479415894
30	-35.513393	1.0249778	-31.6	-36.600002	80.0	1240000	-3.7252903e-09	0.3563621	-0.0033173854	-0.0067588612	2.2180383	0.008023849	0.055725	49.0	179.38276314735413
31	-35.22273	1.1380932	-31.65	-36.55	80.0	1280000	6.7520887e-09	0.36371458	-0.0031002888	-0.014486715	2.1726432	0.009120332	0.042175002	49.0	185.2464189529419
32	-35.364548	1.153125	-32.25	-36.65	80.0	1320000	1.3969839e-08	0.34677628	-0.0036025906	-0.0033536404	2.1659634	0.0103806835	0.0172	49.0	191.05808568000793
33	-34.874107	1.3940883	-30.85	-36.600002	80.0	1360000	4.1909516e-09	0.34430313	-0.0014898885	-0.0045257434	2.1352077	0.016607217	0.34437498	10.0	195.85641312599182
34	-34.901787	1.3663353	-31.6	-36.850002	80.0	1400000	4.1909516e-09	0.36105943	-0.0026459033	-0.0035599396	2.0087996	0.008772172	0.031025	49.0	201.7071213722229
35	-34.91875	1.5679709	-30.5	-36.75	80.0	1440000	4.1909516e-09	0.35541505	-0.0029921916	-0.0061619766	1.9869517	0.009054245	0.041775	49.0	207.52560806274414
36	-34.831818	1.5316172	-29.300001	-36.4	80.0	1480000	1.8626451e-09	0.37626147	-0.003618295	-0.006053414	1.9287007	0.008087693	0.035425	49.0	213.3699767589569
37	-34.995537	1.4826462	-30.45	-36.95	80.0	1520000	-5.355105e-09	0.345883	-0.0037563648	-0.005236279	1.9653281	0.008682145	0.0272	49.0	219.26588821411133
38	-35.02593	1.5781124	-29.5	-36.45	80.0	1560000	9.313226e-10	0.37546122	-0.0030168518	-0.0045076646	1.9687773	0.006463718	0.020575	49.0	225.17257452011108
39	-34.889286	1.5460409	-29.85	-36.850002	80.0	1600000	0.0	0.3538533	-0.003342803	-0.0048309043	1.9631152	0.005539861	0.027025001	49.0	231.15778064727783
40	-34.619644	1.5321168	-30.45	-36.600002	80.0	1640000	1.7229468e-08	0.36227226	-0.0048192637	-0.0057406165	1.9590319	0.009652238	0.049875	49.0	237.17230224609375
41	-35.03393	1.3466264	-31.4	-36.55	80.0	1680000	2.0954758e-09	0.34193325	-0.0032457795	-0.0042715296	1.8767996	0.005317865	0.023025	49.0	243.02953791618347
42	-34.759823	1.4812045	-31.0	-36.8	80.0	1720000	0.0	0.3593956	-0.0039022814	-0.0052611753	1.9397945	0.007236492	0.0317	49.0	248.9007441997528
43	-35.069645	1.442025	-30.95	-36.75	80.0	1760000	1.3038516e-08	0.34191406	-0.0031216075	-0.0031365007	1.9752071	0.007948359	0.019575	49.0	254.90001392364502
44	-34.524105	2.092269	-26.7	-36.600002	80.0	1800000	1.1059456e-08	0.36366767	-0.0036770124	-0.0041688755	1.927039	0.0070247846	0.025775	49.0	260.9664115905762
45	-34.166073	1.9106636	-29.75	-36.7	80.0	1840000	-1.4901161e-08	0.38533843	-0.004159473	-0.0068451315	1.8943448	0.0073168064	0.039525002	49.0	267.03688883781433
46	-34.6	2.060737	-28.2	-36.7	80.0	1880000	5.5879354e-09	0.3838582	-0.0040700324	-0.013185713	1.9416108	0.0070882346	0.025575	49.0	272.9067325592041
47	-34.401787	2.4371746	-27.0	-36.7	80.0	1920000	-6.4028427e-10	0.37926596	-0.004027051	-0.0038547292	1.9802299	0.0070901923	0.0231	49.0	278.7614722251892
48	-33.649105	3.083199	-25.7	-36.55	80.0	1960000	-4.656613e-09	0.36998117	-0.0037962105	-0.005026914	2.030283	0.007675562	0.028125	49.0	284.61343479156494
49	-34.04375	3.8490033	-21.2	-36.75	80.0	2000000	-1.6763806e-08	0.38416576	-0.0040578353	-0.010861054	2.0470045	0.009132565	0.0305	49.0	290.4942367076874
50	-33.641964	4.8329024	-17.45	-36.75	80.0	2040000	3.7252903e-09	0.41825518	-0.0046424977	-0.009876452	2.1005	0.009669982	0.02225	49.0	296.4849474430084
51	-32.241817	5.733084	-17.300001	-36.55	80.0	2080000	-5.5879354e-09	0.592352	-0.005123427	-0.014788739	2.1214705	0.007846664	0.026	49.0	302.38078927993774
52	-31.883036	7.25636	-9.1	-36.75	80.0	2120000	9.313226e-09	0.64845693	-0.0046236482	-0.016172335	2.0850844	0.0067369835	0.021125	49.0	308.2599036693573
53	-30.670002	8.380609	-8.75	-36.8	80.0	2160000	6.519258e-09	0.735764	-0.005366368	-0.012062445	2.066053	0.007587338	0.0292	49.0	314.15481328964233
54	-28.705456	11.273983	-1.2500002	-36.75	80.0	2200000	-7.916242e-09	1.0611227	-0.006253561	-0.054933745	2.0611181	0.008128399	0.035800003	49.0	320.04009532928467
55	-28.313395	11.538812	-1.6000003	-36.9	80.0	2240000	7.450581e-09	1.0278821	-0.0070397467	-0.031091303	2.0812912	0.00820481	0.03645	49.0	325.9174630641937
56	-28.057144	13.886718	10.95	-37.25	80.0	2280000	9.313226e-10	1.2004805	-0.0063663907	-0.03861408	2.0664968	0.007320259	0.02475	49.0	331.82398200035095
57	-24.220537	17.15514	7.75	-36.75	80.0	2320000	6.519258e-09	1.4605043	-0.00662559	-0.04561322	2.0284946	0.007624619	0.030125	49.0	337.7075209617615
58	-25.444643	18.71883	23.85	-36.7	80.0	2360000	1.8626451e-09	1.4617145	-0.0064076483	-0.044411827	1.9837596	0.008434306	0.027224999	49.0	343.59041833877563
59	-27.562502	18.258137	27.7	-36.95	80.0	2400000	-2.7939677e-09	1.1699531	-0.005906745	-0.027158119	1.9744139	0.009022733	0.03655	49.0	349.4880180358887
60	-25.43125	19.202608	24.2	-37.0	80.0	2440000	-7.450581e-09	1.3104392	-0.00526922	-0.02889816	1.9705671	0.007451654	0.020800002	49.0	355.47593784332275
61	-20.23393	26.071604	35.95	-37.100002	80.0	2480000	5.122274e-09	1.9125193	-0.0065384055	-0.12605469	1.9482999	0.008151554	0.04255	49.0	361.5213692188263
62	-19.850002	28.67022	49.45	-37.100002	80.0	2520000	9.313226e-10	1.9435325	-0.0063879425	-0.05501482	1.9573727	0.003962039	0.02725	49.0	367.43214225769043
63	-13.934821	32.10723	56.35	-37.2	80.0	2560000	2.7939677e-09	2.5932193	-0.0063912375	-0.072340466	1.9382136	0.008052796	0.041750003	49.0	373.42858815193176
64	-13.364286	33.82311	58.1	-37.3	80.0	2600000	1.8626451e-09	2.4257708	-0.005892532	-0.036361687	1.9534304	0.0059551382	0.041874997	49.0	379.42568492889404
65	-14.676786	34.15323	65.5	-37.5	80.0	2640000	-3.7252903e-09	2.5032876	-0.005289956	-0.06413179	1.9756014	0.009405706	0.039925	49.0	385.3719627857208
66	-15.875	37.56051	76.6	-36.8	80.0	2680000	-1.8626451e-09	2.6420827	-0.004774026	-0.080841795	1.9566163	0.005708995	0.030249998	49.0	391.28625679016113
67	-14.567546	37.514515	77.6	-37.95	80.0	2720000	-1.0244548e-08	3.2164915	-0.0046482487	-0.05611758	1.9258413	0.00869176	0.0471	49.0	397.3216619491577
68	-10.8094845	40.68928	76.7	-37.7	80.0	2760000	9.313226e-10	4.190146	-0.0041361554	-0.12941003	1.9030657	0.0047089364	0.028199999	49.0	403.3695983886719
69	-10.299139	43.301956	101.8	-37.3	80.0	2800000	-1.8626451e-09	4.481035	-0.0035568718	-0.16061181	1.8939707	0.005378359	0.022225	49.0	409.35944390296936
70	-13.4591675	39.761436	88.9	-37.15	80.0	2840000	-1.8626451e-09	4.004613	-0.0024200268	-0.059958592	1.9011395	0.0074164625	0.011425	49.0	415.36488938331604
71	-4.7350006	43.77089	93.45	-37.65	80.0	2880000	1.8626451e-09	5.6850805	-0.003080998	-0.12201366	1.8503363	0.0053614704	0.0165	49.0	421.38635993003845
72	-4.06638	48.386658	114.55	-37.3	80.0	2920000	-6.519258e-09	5.4734225	-0.002680584	-0.1152176	1.8769782	0.0037777843	0.013275	49.0	427.3871877193451
73	-13.775834	45.591755	118.25	-37.05	80.0	2960000	6.519258e-09	4.1015224	-0.002922567	-0.12124043	1.8990972	0.0069726533	0.02055	49.0	433.40120458602905
74	-7.7368855	48.179302	109.1	-37.100002	80.0	3000000	-2.7939677e-09	5.8263755	-0.003285379	-0.09711927	1.8506012	0.006745672	0.026175	49.0	439.39248991012573
75	-3.8618646	54.305008	112.2	-37.850002	80.0	3040000	1.1175871e-08	6.621416	-0.002764712	-0.3182615	1.8359241	0.006381576	0.0163	49.0	445.3831570148468
76	-9.9175005	47.026516	123.45	-37.850002	80.0	3080000	4.656613e-10	5.347328	-0.0031616634	-0.18040925	1.8288352	0.0071385773	0.023125	49.0	451.49869751930237
77	-2.1467211	53.628963	123.3	-37.3	80.0	3120000	-6.519258e-09	6.949886	-0.002694432	-0.25227275	1.8125963	0.0058985953	0.02125	49.0	457.7784926891327
78	-4.6475005	54.10428	120.15	-37.8	80.0	3160000	9.313226e-10	5.513295	-0.0026826982	-0.07571891	1.8574495	0.0070825648	0.027549999	49.0	463.85932993888855
79	-13.153334	44.980343	112.85	-37.3	80.0	3200000	-5.5879354e-09	5.4387207	-0.0021630088	-0.13212922	1.8369755	0.003962004	0.01035	49.0	469.8929080963135
80	-9.664656	52.203873	125.55	-37.95	80.0	3240000	0.0	5.7668676	-0.0024760356	-0.1469707	1.8791654	0.006566881	0.0203	49.0	475.965119600296
81	3.4096491	60.148014	117.25	-37.4	80.0	3280000	7.450581e-09	7.81949	-0.0031508948	-0.31249195	1.8041196	0.0050345454	0.015225001	49.0	481.9921567440033
82	-3.0544648	58.134922	129.1	-37.4	80.0	3320000	2.7939677e-09	6.298838	-0.0025709784	-0.105853915	1.7964714	0.007914231	0.015775	49.0	487.9838299751282
83	-4.3931036	53.273174	113.35	-37.0	80.0	3360000	3.7252903e-09	5.604182	-0.002796929	-0.15525565	1.7385602	0.005946295	0.041575	49.0	494.0102467536926
84	-4.7655177	56.104237	117.0	-37.05	80.0	3400000	-1.8626451e-09	5.438837	-0.0032285925	-0.12716502	1.7351997	0.006978888	0.021125	49.0	500.10152792930603
85	0.7692971	59.72072	122.7	-37.15	80.0	3440000	2.7939677e-09	6.59035	-0.002819095	-0.09518863	1.7402215	0.006618978	0.016825	49.0	506.2466993331909
86	-7.221053	55.91487	128.95	-37.4	80.0	3480000	2.3283064e-09	5.49753	-0.0030461666	-0.066503495	1.7288227	0.0070559597	0.0195	49.0	512.4682266712189
87	-7.9605265	55.353294	126.05	-36.9	80.0	3520000	1.8626451e-09	6.1981163	-0.0031522752	-0.0742203	1.6663833	0.0061963396	0.02815	49.0	518.6323711872101
88	1.9315785	61.964134	128.6	-36.95	80.0	3560000	-7.450581e-09	8.236023	-0.0024458591	-0.17054474	1.5961406	0.004711611	0.0211	49.0	524.7118468284607
89	1.9571425	63.9706	150.7	-37.7	80.0	3600000	7.450581e-09	8.064113	-0.0026365365	-0.21465649	1.5729854	0.0052346694	0.015925	49.0	530.9375393390656
90	-5.054386	60.157623	147.9	-37.65	80.0	3640000	0.0	5.6311755	-0.0029707707	-0.13709125	1.6368513	0.0047709793	0.022975	49.0	537.0734894275665
91	3.8657885	66.13961	141.2	-37.15	80.0	3680000	9.313226e-09	7.8700857	-0.0029216446	-0.17012323	1.6173892	0.0034118996	0.019575	49.0	543.1099526882172
92	-2.4812512	64.430244	151.4	-37.25	80.0	3720000	2.7939677e-09	6.524352	-0.0026844274	-0.18495151	1.6366048	0.0059678378	0.021425001	49.0	549.3254601955414
93	0.1491373	62.935238	141.1	-37.0	80.0	3760000	-2.7939677e-09	7.254872	-0.002867999	-0.1121881	1.5864362	0.004934678	0.02055	49.0	555.4971981048584
94	-4.6438603	61.30958	139.0	-37.55	80.0	3800000	5.5879354e-09	6.223624	-0.0027345659	-0.11629985	1.5690122	0.0050387452	0.016125001	49.0	561.5700645446777
95	-12.183929	55.51614	139.9	-37.4	80.0	3840000	-6.0535967e-09	4.7232876	-0.0022523268	-0.083789006	1.6133151	0.0052170767	0.01955	49.0	567.7381434440613
96	6.141072	71.85974	153.15	-37.0	80.0	3880000	-5.5879354e-09	8.631035	-0.002763847	-0.34728348	1.6103435	0.0043760817	0.010050001	49.0	573.7189083099365
97	-2.1875002	67.94853	166.35	-37.25	80.0	3920000	-3.7252903e-09	7.743358	-0.0030002678	-0.09487222	1.6133401	0.0043172347	0.0159	49.0	579.6624732017517
98	-0.48928615	66.50884	146.3	-37.15	80.0	3960000	2.7939677e-09	7.5426626	-0.002618426	-0.107052684	1.638056	0.0069845775	0.020775	49.0	585.6204552650452
99	-15.520536	53.17892	151.25	-37.55	80.0	4000000	1.8626451e-09	5.5468597	-0.0024994395	-0.17735392	1.6446195	0.0050545502	0.022124998	49.0	591.5247259140015
100	10.10625	75.745834	159.35	-37.45	80.0	4040000	1.8626451e-09	8.05251	-0.0029214243	-0.3463202	1.59895	0.004529545	0.0202	49.0	597.4721691608429
101	12.138392	75.48534	154.8	-37.4	80.0	4080000	-1.8626451e-09	8.457043	-0.0028748303	-0.1453141	1.612402	0.0035488468	0.015550001	49.0	603.363080739975
102	8.074107	74.268814	150.55	-37.15	80.0	4120000	-1.8626451e-09	8.089651	-0.0030248866	-0.103533655	1.6134958	0.0050168503	0.020624999	49.0	609.2547204494476
103	7.9982142	75.67459	157.6	-37.350002	80.0	4160000	-1.8626451e-09	7.5216007	-0.0029354286	-0.07951456	1.5839908	0.005159635	0.015175	49.0	615.1306138038635
104	15.141072	79.862465	163.9	-37.25	80.0	4200000	7.450581e-09	9.188478	-0.0029627422	-0.19455244	1.6042912	0.006329271	0.0361	49.0	621.1014857292175
105	28.550909	85.10781	159.2	-37.25	80.0	4240000	-5.122274e-09	10.906843	-0.0031293898	-0.26464367	1.611568	0.0069466	0.029175	49.0	626.9694364070892
106	2.866963	74.25042	169.25	-37.4	80.0	4280000	-5.5879354e-09	8.298937	-0.0022385726	-0.65769905	1.6587197	0.0048770187	0.020100001	49.0	632.8368685245514
107	13.38909	79.74468	170.5	-37.3	80.0	4320000	-2.561137e-09	10.584759	-0.0028852606	-0.2488532	1.614897	0.005284597	0.01845	49.0	638.9456977844238
108	14.54732	82.67011	166.1	-37.3	80.0	4360000	-2.7939677e-09	9.213636	-0.002772019	-0.27321577	1.603231	0.0059016654	0.029199999	49.0	645.1150782108307
109	9.533635	81.570206	171.5	-36.95	80.0	4400000	-3.7252903e-09	8.214878	-0.0026071607	-0.11095372	1.5606	0.0036166555	0.020725	49.0	651.2481596469879
110	10.32453	81.347084	170.3	-37.100002	80.0	4440000	9.313226e-09	8.671816	-0.0027383436	-0.11018498	1.559519	0.005330463	0.017275	49.0	657.2995872497559
111	8.757272	80.71991	166.3	-37.7	80.0	4480000	-6.2864274e-09	8.303229	-0.0032485256	-0.09115696	1.5461843	0.005454015	0.03385	49.0	663.2486841678619
112	22.68679	85.96998	171.3	-37.3	80.0	4520000	-1.1175871e-08	10.273061	-0.0030237432	-0.20679301	1.4933995	0.0034029433	0.0145000005	49.0	669.1814131736755
113	8.913887	81.80311	178.9	-37.0	80.0	4560000	3.7252903e-09	9.549611	-0.0026558184	-0.10215974	1.5178359	0.005449934	0.018275	49.0	675.1225862503052
114	32.982693	95.62395	190.7	-37.350002	80.0	4600000	1.8626451e-09	11.845524	-0.0032707197	-0.4128612	1.5254486	0.0053017302	0.0209	49.0	681.0514121055603
115	5.6584888	81.74543	184.5	-38.0	80.0	4640000	3.7252903e-09	9.976322	-0.0031285805	-0.2199072	1.5367689	0.0050517307	0.023875002	49.0	687.1351044178009
116	17.890564	90.40535	191.8	-37.0	80.0	4680000	4.656613e-09	10.883767	-0.00265426	-0.19463658	1.5661663	0.0028954807	0.018975	49.0	693.1651363372803
117	1.3907397	79.24187	181.2	-37.5	80.0	4720000	7.450581e-09	8.959782	-0.0029516458	-0.21914026	1.5599586	0.0049029794	0.0208	49.0	699.1178953647614
118	22.67909	93.28601	191.7	-38.9	80.0	4760000	6.519258e-09	12.720469	-0.0030211518	-0.24727595	1.5113633	0.0037260703	0.01935	49.0	705.0945587158203
119	-2.3421571	78.54486	188.9	-37.9	80.0	4800000	-3.7252903e-09	8.516455	-0.0025979078	-0.22675359	1.5670569	0.0048435815	0.02245	49.0	711.0595343112946
120	0.86538285	81.15972	198.3	-37.7	80.0	4840000	1.8626451e-09	8.051998	-0.0023118407	-0.113894254	1.566105	0.0045972737	0.017625	49.0	717.0396635532379
121	28.381372	100.64067	202.7	-38.4	80.0	4880000	7.450581e-09	13.882591	-0.0020998784	-0.6114788	1.5055348	0.004099123	0.011175	49.0	723.0241215229034
