Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-41.783928	3.324867	-33.45	-46.2	80.0	40000	-1.322478e-07	4.681328	-0.014878703	-3.7622762	3.492134	0.011534438	0.096499994	49.0	19.51223373413086
1	-40.57679	2.3597624	-33.7	-43.8	80.0	80000	-1.6530976e-08	0.76910824	-0.012330867	-0.06683331	3.4785824	0.008786177	0.066975	49.0	39.08759069442749
2	-39.697323	2.6525495	-29.800001	-43.2	80.0	120000	-5.122274e-09	0.62044173	-0.0143881105	-0.041068733	3.4570806	0.008178969	0.075975	49.0	58.40626883506775
3	-39.02768	2.1676583	-35.100002	-42.7	80.0	160000	1.839362e-08	0.5110718	-0.016223436	-0.061795853	3.4318995	0.0076130833	0.078724995	49.0	77.50327587127686
4	-38.249107	2.024526	-32.75	-41.3	80.0	200000	-1.3038516e-08	0.42047948	-0.018123383	-0.044195715	3.410397	0.008494118	0.104625	49.0	97.1587085723877
5	-37.27946	1.9965546	-30.15	-40.65	80.0	240000	1.8277206e-08	0.38945282	-0.019003995	-0.05764357	3.3781931	0.010050032	0.117525004	49.0	116.63613057136536
6	-36.953575	2.354249	-29.85	-40.5	80.0	280000	-1.8626451e-09	0.3529961	-0.018319592	-0.03294946	3.3478217	0.008746744	0.101900004	49.0	136.24738383293152
7	-36.048214	2.4604185	-29.6	-39.65	80.0	320000	-9.313226e-10	0.35750434	-0.02098591	-0.029744297	3.315225	0.010624526	0.131325	49.0	155.33137369155884
8	-35.116966	3.1209157	-26.9	-39.100002	80.0	360000	4.1909516e-09	0.37489516	-0.021661725	-0.025036793	3.2811537	0.009702215	0.12715	49.0	174.82086825370789
9	-34.813393	3.8483474	-22.95	-39.0	80.0	400000	-1.8626451e-09	0.38667524	-0.02264151	-0.027512528	3.2461023	0.009285072	0.122175	49.0	194.378835439682
10	-31.391073	8.3896475	-8.1	-38.350002	80.0	440000	-1.8626451e-09	0.775921	-0.023065008	-0.080921724	3.2026982	0.011075713	0.1182	49.0	213.58692026138306
11	-28.282145	11.832754	-1.7999998	-38.600002	80.0	480000	-1.8626451e-09	1.0104897	-0.023149826	-0.07968237	3.163931	0.010015851	0.120175	49.0	232.86375856399536
12	-24.584824	15.545441	9.85	-37.8	80.0	520000	-3.7252903e-09	1.3828924	-0.022979662	-0.06407899	3.1313682	0.010472088	0.124125004	49.0	252.61679458618164
13	-21.008038	22.410822	41.55	-37.9	80.0	560000	1.4901161e-08	2.2328334	-0.022204027	-0.2839626	3.0989528	0.011544341	0.132375	49.0	272.4876461029053
14	-15.335715	26.41349	46.15	-37.3	80.0	600000	3.7252903e-09	2.8299584	-0.022308808	-0.1800421	3.0498705	0.009905017	0.1195	49.0	292.18750762939453
15	-14.479465	25.648973	54.9	-37.5	80.0	640000	0.0	3.406518	-0.022873871	-0.15422311	3.042097	0.009927645	0.132325	49.0	311.88170289993286
16	-11.424108	34.845142	81.1	-37.5	80.0	680000	-3.7252903e-09	4.106082	-0.022482518	-0.38569722	3.0150995	0.010620526	0.125825	49.0	331.9594883918762
17	-5.500893	33.54334	67.8	-37.8	80.0	720000	-1.3969839e-08	5.2139454	-0.021731269	-0.25232795	2.9685867	0.011092352	0.13097501	49.0	351.8086133003235
18	3.1401787	39.306587	84.75	-37.0	80.0	760000	-3.7252903e-09	5.928726	-0.021031119	-0.38147458	2.9214473	0.011989661	0.13010001	49.0	371.640597820282
19	8.057142	40.8814	94.3	-37.65	80.0	800000	-1.5832484e-08	6.9876423	-0.020128254	-0.48360348	2.8876286	0.01007812	0.130825	49.0	391.5739197731018
20	-0.3428579	42.16599	119.8	-37.15	80.0	840000	1.3969839e-09	6.715022	-0.019819982	-0.46445572	2.8709464	0.010393286	0.13010001	49.0	411.93022656440735
21	0.76250017	50.001568	115.15	-37.350002	80.0	880000	1.1175871e-08	5.693836	-0.01819156	-0.48458368	2.8613002	0.009715846	0.11575	49.0	432.0053026676178
22	4.287719	48.432434	106.3	-37.8	80.0	920000	0.0	7.368988	-0.019286813	-0.51406413	2.7915077	0.009967927	0.122075	49.0	451.44150400161743
23	20.054464	58.613087	145.8	-37.4	80.0	960000	-1.8626451e-09	9.986071	-0.01920002	-0.97016245	2.7259574	0.012170345	0.12625	49.0	471.19946217536926
24	14.030357	55.057438	130.1	-37.5	80.0	1000000	1.1175871e-08	8.360176	-0.019068189	-0.47568315	2.7070813	0.009155501	0.123975	49.0	491.3011291027069
25	12.808928	61.849842	146.3	-37.5	80.0	1040000	-1.3504177e-08	10.325214	-0.01792932	-0.7347125	2.6822402	0.010228245	0.1181	49.0	511.1823499202728
26	12.985713	62.42484	163.35	-37.3	80.0	1080000	9.313226e-10	9.416821	-0.017299294	-0.75998104	2.6347187	0.010583848	0.115475	49.0	530.8112637996674
27	14.675001	63.419174	177.45	-37.75	80.0	1120000	-7.450581e-09	11.504663	-0.01736844	-0.93548524	2.6029413	0.008775523	0.1161	49.0	549.9064335823059
28	19.904543	65.87035	185.9	-37.65	80.0	1160000	-3.7252903e-09	10.291742	-0.01770057	-0.98370504	2.5750394	0.01014599	0.115825	49.0	569.9627859592438
29	37.29643	77.14531	208.45	-37.4	80.0	1200000	-5.5879354e-09	13.189811	-0.017491305	-1.1760089	2.489688	0.010240005	0.124249995	49.0	589.6768732070923
30	25.214285	77.71984	196.2	-37.7	80.0	1240000	-1.1641532e-09	11.000858	-0.0172727	-0.87260467	2.4886832	0.008574441	0.114475	49.0	609.0950660705566
31	55.346428	96.723404	220.7	-37.600002	80.0	1280000	1.8626451e-09	18.500387	-0.019101039	-2.9241314	2.3745124	0.013244876	0.137675	49.0	628.2036690711975
32	41.800896	94.71748	245.7	-37.4	80.0	1320000	-1.0244548e-08	15.645149	-0.017226096	-1.2895155	2.3929043	0.009867064	0.118075	49.0	647.6226675510406
33	50.683037	102.65028	255.7	-37.5	80.0	1360000	4.656613e-10	16.255253	-0.017482929	-1.4464765	2.3764374	0.009175558	0.117425	49.0	666.769837141037
