Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-40.01263	3.9813643	-29.9	-48.75	60.0	95.0	80000	2.4586916e-07	297.57178	-0.017645204	-216.21558	3.4813461	0.0072133504	0.0799	49.0	32.58010506629944
1	-40.357292	3.9337814	-27.4	-49.3	60.0	191.0	160000	1.1175871e-08	83.03729	-0.018563645	-3.4978123	3.4727874	0.0066497787	0.0863	49.0	65.71431136131287
2	-38.953125	4.047934	-29.25	-49.75	60.0	287.0	240000	-7.450581e-09	75.39204	-0.019386046	-2.2007265	3.4638953	0.008513352	0.09605	49.0	98.04081726074219
3	-38.49337	3.8068657	-29.5	-47.45	60.0	385.0	320000	-1.5599653e-08	71.030334	-0.020386122	-1.3707447	3.4549134	0.009071726	0.100612506	49.0	130.3514883518219
4	-38.684536	3.4993324	-27.7	-45.65	60.0	482.0	400000	2.7939677e-09	68.914024	-0.021320205	-1.2339611	3.4458287	0.008383011	0.104475	49.0	163.39036297798157
5	-37.378788	3.9106827	-26.650002	-47.2	60.0	581.0	480000	-5.5879354e-09	66.40675	-0.021220151	-1.7082472	3.4373498	0.00799509	0.1003875	49.0	196.79029297828674
6	-37.41111	4.102103	-21.9	-45.75	60.0	680.0	560000	8.032657e-09	61.546074	-0.02216397	-1.3973622	3.426693	0.009103015	0.10825	49.0	231.33695650100708
7	-36.491665	5.232748	-20.6	-46.45	60.0	776.0	640000	-2.2351742e-08	58.732857	-0.021576608	-1.3085842	3.4142926	0.007372786	0.1087625	49.0	264.42824125289917
8	-36.056503	4.6627874	-21.35	-44.850002	60.0	876.0	720000	-7.450581e-09	55.090458	-0.022299469	-1.3083172	3.4013264	0.008105241	0.1110375	49.0	297.00217723846436
9	-35.53039	4.6426	-22.85	-48.75	60.0	978.0	800000	-9.313226e-10	51.924583	-0.02295327	-0.9585972	3.3926756	0.009008164	0.1120875	49.0	330.0914807319641
10	-34.171215	5.0717235	-19.95	-47.350002	60.0	1077.0	880000	4.1909516e-09	50.38208	-0.022601537	-0.72780895	3.380285	0.008604635	0.113175	49.0	364.21904039382935
11	-32.6085	5.955817	-13.3	-43.3	60.0	1177.0	960000	9.313226e-09	50.5357	-0.022706386	-1.1710129	3.367449	0.008648152	0.114750005	49.0	397.5105936527252
12	-33.3555	5.3287754	-19.1	-45.3	60.0	1277.0	1040000	6.519258e-09	49.030426	-0.022855368	-0.56778526	3.3532324	0.008568943	0.114775	49.0	431.0078876018524
13	-31.851456	6.10559	-8.8	-45.8	60.0	1380.0	1120000	2.7939677e-09	46.192093	-0.024108035	-0.86727047	3.33923	0.008349918	0.119975	49.0	464.4493205547333
14	-30.766665	5.774744	-16.15	-43.100002	60.0	1482.0	1200000	-9.313226e-10	43.13074	-0.0239642	-0.39335966	3.3261182	0.008629337	0.120837495	49.0	497.77146315574646
15	-28.718935	7.615573	-6.05	-43.95	60.0	1585.0	1280000	-1.3038516e-08	44.087288	-0.024089817	-0.7525997	3.3105588	0.009200805	0.1211375	49.0	531.4617118835449
16	-28.912258	7.6049795	-8.05	-42.0	60.0	1687.0	1360000	-2.6077032e-08	44.343674	-0.023878112	-0.37498045	3.2940845	0.007642447	0.1162125	49.0	565.0102939605713
17	-25.605288	8.847479	4.5	-44.2	60.0	1791.0	1440000	3.7252903e-09	47.460144	-0.02404024	-1.699975	3.2742767	0.008748442	0.1192125	49.0	598.5338358879089
18	-21.942719	10.316316	8.95	-42.05	60.0	1894.0	1520000	4.656613e-09	48.0114	-0.023917485	-1.4516087	3.2571135	0.007879925	0.119100004	49.0	632.6792378425598
19	-20.323078	12.17629	29.85	-41.45	60.0	1998.0	1600000	1.0244548e-08	55.323868	-0.024712633	-0.8747139	3.2372105	0.008206919	0.119399995	49.0	666.3232660293579
20	-17.540775	11.521333	13.55	-37.95	60.0	2101.0	1680000	-4.656613e-09	49.94209	-0.024319224	-1.1191702	3.2123902	0.008267739	0.119550005	49.0	700.5649621486664
21	-13.62767	14.403661	36.3	-42.55	60.0	2204.0	1760000	5.5879354e-09	76.66733	-0.024724148	-2.645522	3.191544	0.007707351	0.1244875	49.0	734.3166968822479
22	-8.635295	16.945005	35.65	-39.65	60.0	2306.0	1840000	-1.0244548e-08	87.31601	-0.025088776	-4.377086	3.161888	0.008210383	0.12736249	49.0	767.9151000976562
23	-4.9632354	19.734776	53.15	-38.8	60.0	2408.0	1920000	1.8626451e-08	114.41475	-0.024825118	-2.89577	3.1333873	0.008199208	0.1224875	49.0	801.7945268154144
24	0.17836522	20.077183	50.85	-36.350002	60.0	2512.0	2000000	-2.4214387e-08	118.25789	-0.025009537	-3.4239483	3.1098804	0.009113938	0.12755	49.0	835.5981774330139
25	4.8519416	23.29237	87.05	-39.5	60.0	2615.0	2080000	3.7252903e-09	157.48132	-0.025242923	-5.1456404	3.08042	0.008698931	0.1243375	49.0	868.9541220664978
26	13.4321785	24.48083	65.15	-39.7	60.0	2716.0	2160000	7.450581e-09	205.74957	-0.025030032	-14.032113	3.0471663	0.0076285135	0.124074996	49.0	902.35595870018
27	15.779411	24.47869	79.55	-31.65	60.0	2818.0	2240000	0.0	200.95538	-0.025139002	-6.5696325	3.0156336	0.00849686	0.1236875	49.0	936.2622466087341
28	23.97864	25.190933	76.9	-36.600002	60.0	2921.0	2320000	0.0	220.90573	-0.024986371	-14.975742	2.977199	0.007961332	0.1196375	49.0	969.6573555469513
29	31.565998	28.66319	106.55	-20.65	60.0	3021.0	2400000	-1.6763806e-08	307.21017	-0.025329947	-16.566317	2.9485683	0.008797079	0.1215625	49.0	1002.0725507736206
30	35.752003	32.800636	101.2	-31.15	60.0	3121.0	2480000	0.0	357.9905	-0.02470231	-7.598877	2.9100056	0.00882009	0.1223875	49.0	1035.0526149272919
31	38.3795	28.663473	105.7	-39.350002	60.0	3221.0	2560000	7.450581e-09	299.78317	-0.025369208	-7.9338474	2.8856096	0.008865694	0.1252625	49.0	1067.7298295497894
32	47.52062	31.13283	127.75	-31.1	60.0	3318.0	2640000	1.7229468e-08	366.85522	-0.024946898	-20.9598	2.8552272	0.0076259077	0.1233625	49.0	1100.3185019493103
33	46.563774	33.91076	122.95	-37.65	60.0	3416.0	2720000	-2.7939677e-09	412.92743	-0.024754535	-9.548958	2.8301973	0.009141481	0.1233375	49.0	1133.253762960434
34	50.77778	36.894535	133.4	-25.65	60.0	3515.0	2800000	3.7252903e-09	441.83264	-0.02489182	-16.552513	2.8051972	0.008094191	0.1267	49.0	1165.7751200199127
35	61.010418	37.481182	127.45	-39.600002	60.0	3611.0	2880000	1.3038516e-08	490.3243	-0.025332311	-18.949177	2.7833185	0.008971199	0.127725	49.0	1198.4028160572052
36	59.259502	35.35562	137.4	-22.35	60.0	3711.0	2960000	-7.450581e-09	454.85754	-0.025429819	-12.161118	2.7572267	0.008993238	0.13036251	49.0	1231.037858247757
37	62.401	35.92137	139.05	-35.45	60.0	3811.0	3040000	-1.6763806e-08	461.9705	-0.024820702	-13.466457	2.7312713	0.009965896	0.126525	49.0	1265.8513069152832
38	64.09242	34.96917	145.0	-36.9	60.0	3910.0	3120000	1.6763806e-08	450.5571	-0.025473166	-11.198063	2.708776	0.009375347	0.127725	49.0	1299.6948325634003
39	70.70825	35.477936	149.7	-24.0	60.0	4007.0	3200000	-1.3038516e-08	477.82492	-0.024383038	-20.75388	2.6820126	0.0089477245	0.1206125	49.0	1333.3563206195831
40	78.53125	36.471924	156.65	-36.15	60.0	4103.0	3280000	-5.355105e-09	521.41815	-0.025594287	-22.234047	2.6632993	0.009094017	0.12979999	49.0	1366.711083650589
41	83.55834	37.360065	177.1	-21.800001	60.0	4199.0	3360000	1.1175871e-08	535.99976	-0.025117133	-16.81565	2.639058	0.00873363	0.1247125	49.0	1400.3125030994415
42	86.42239	36.53562	166.9	-19.65	60.0	4295.0	3440000	-7.450581e-09	563.96	-0.024975896	-17.95023	2.6128888	0.00820904	0.125	49.0	1434.0704402923584
43	83.27857	35.78312	167.85	-6.6500006	60.0	4393.0	3520000	1.4901161e-08	495.51868	-0.02512492	-16.192734	2.6044126	0.008208003	0.1246	49.0	1467.7201933860779
44	87.40729	41.022644	159.55	-32.95	60.0	4489.0	3600000	-9.313226e-09	606.55426	-0.024709072	-19.702538	2.591026	0.008668325	0.1248	49.0	1500.733321905136
45	96.114586	35.903282	168.2	-11.0	60.0	4585.0	3680000	-5.122274e-09	542.90906	-0.02544297	-28.013622	2.5658636	0.009103492	0.1299625	49.0	1534.1404192447662
46	94.03145	37.165085	174.25	6.85	60.0	4682.0	3760000	-7.450581e-09	542.0878	-0.025835842	-13.294403	2.5415673	0.009014651	0.12766251	49.0	1567.3741455078125
47	101.703125	39.99049	184.55	-12.0	60.0	4778.0	3840000	1.21071935e-08	601.5358	-0.02555639	-30.825363	2.5207782	0.0093510775	0.13027501	49.0	1601.320276260376
48	101.951035	40.22255	184.1	-1.2	60.0	4875.0	3920000	1.1175871e-08	614.2725	-0.025106158	-13.480812	2.4951262	0.008700406	0.1264	49.0	1636.1386349201202
49	104.70208	40.42494	195.2	-26.650002	60.0	4971.0	4000000	-1.1175871e-08	618.1388	-0.024886414	-15.463772	2.475995	0.0088621825	0.122675	49.0	1669.7330558300018
50	108.11511	42.60216	188.05	-26.5	60.0	5067.0	4080000	-6.519258e-09	647.57263	-0.025189754	-15.010899	2.4405274	0.008889244	0.12832499	49.0	1703.7957227230072
51	116.54842	41.150135	196.65	8.400001	60.0	5162.0	4160000	-1.3038516e-08	659.6907	-0.025136976	-28.720924	2.4226904	0.008801598	0.12889999	49.0	1737.4960165023804
52	123.28333	35.891636	191.3	-2.5000005	60.0	5258.0	4240000	6.519258e-09	572.85767	-0.024752224	-31.501076	2.3962646	0.009401256	0.1278125	49.0	1770.6819489002228
53	117.83001	42.964363	196.55	-7.2500005	60.0	5353.0	4320000	-3.7252903e-09	717.8445	-0.025184462	-27.917007	2.3796453	0.00989529	0.12687501	49.0	1804.6002056598663
54	116.18351	42.457123	194.05	-5.5500007	60.0	5450.0	4400000	-1.0244548e-08	638.3574	-0.024538487	-23.690067	2.352594	0.008550189	0.1254	49.0	1838.3009536266327
55	124.827896	42.577023	206.0	-15.6	60.0	5545.0	4480000	3.7252903e-09	677.0526	-0.024899017	-31.258926	2.3458803	0.008360151	0.1273125	49.0	1871.7092838287354
56	133.18777	44.203022	216.45	5.8	60.0	5639.0	4560000	1.0244548e-08	717.5588	-0.024658661	-31.347046	2.3175068	0.008817488	0.123325	49.0	1905.0273814201355
57	122.076805	42.059578	207.5	-30.800001	60.0	5736.0	4640000	-1.8626451e-09	668.3324	-0.025238024	-43.836826	2.3034987	0.008661822	0.1334375	49.0	1938.3144614696503
58	128.37135	41.514088	214.8	8.700001	60.0	5832.0	4720000	-9.313226e-09	656.7938	-0.02463456	-20.625107	2.2801478	0.008800706	0.1237375	49.0	1972.238245010376
59	128.51146	42.969074	204.7	14.85	60.0	5928.0	4800000	-9.313226e-09	651.2137	-0.0244134	-17.598831	2.2758722	0.008517051	0.118062496	49.0	2005.637503862381
60	136.42795	41.84481	215.85	-13.55	60.0	6021.0	4880000	9.313226e-09	680.51526	-0.024409387	-31.18153	2.263298	0.010074439	0.12577501	49.0	2038.8010394573212
61	139.22713	39.938625	216.55	36.4	60.0	6115.0	4960000	3.7252903e-09	613.14185	-0.024970366	-17.594387	2.2442324	0.008851584	0.1236875	49.0	2072.341510772705
62	148.84302	34.453697	202.95	68.95	60.0	6208.0	5040000	-5.5879354e-09	571.8268	-0.025031473	-38.677383	2.2220001	0.009056579	0.1290375	49.0	2105.1444647312164
63	145.4835	44.022583	209.0	3.2999997	60.0	6302.0	5120000	4.656613e-09	672.27966	-0.024405617	-27.96923	2.184708	0.008294785	0.1245625	49.0	2138.3216722011566
64	145.69148	43.499092	214.7	33.6	60.0	6396.0	5200000	1.1175871e-08	688.4485	-0.024758361	-18.695557	2.1909194	0.009359368	0.12736249	49.0	2171.614992380142
65	146.93031	42.183327	216.2	6.8	60.0	6490.0	5280000	3.7252903e-09	651.4702	-0.024211846	-21.497013	2.149597	0.008516034	0.1228	49.0	2204.4298560619354
66	147.12848	46.884384	212.85	40.9	60.0	6583.0	5360000	0.0	718.80286	-0.024187632	-23.359749	2.150753	0.009392435	0.1227375	49.0	2237.5572311878204
67	157.90054	39.53884	217.4	48.75	60.0	6676.0	5440000	2.7939677e-09	648.37195	-0.024217846	-41.266174	2.1254916	0.008375714	0.123237506	49.0	2270.342578649521
68	158.00777	46.364693	218.8	30.75	60.0	6766.0	5520000	3.7252903e-09	742.8108	-0.024345446	-30.634865	2.104532	0.009249239	0.124375	49.0	2302.4914288520813
69	160.88846	44.449284	222.45	-3.3000004	60.0	6857.0	5600000	1.8626451e-09	689.2656	-0.024310365	-31.112968	2.0798147	0.00797333	0.1216875	49.0	2334.716481924057
70	159.68858	35.836697	221.7	84.0	60.0	6949.0	5680000	2.7939677e-09	597.9251	-0.024606742	-36.901688	2.071375	0.00879073	0.1224375	49.0	2367.4127700328827
71	162.97717	33.478733	233.25	71.75	59.967392	7041.0	5760000	3.7252903e-09	512.3621	-0.024248263	-22.94712	2.060249	0.008670064	0.124400005	49.0	2399.4257638454437
72	165.59091	41.44003	221.55	44.25	60.0	7129.0	5840000	-5.5879354e-09	631.21783	-0.024362933	-30.260593	2.050445	0.00781306	0.1246375	49.0	2431.3124873638153
73	171.13556	32.563934	216.7	45.8	60.0	7219.0	5920000	-9.313226e-09	491.51794	-0.02447994	-30.859169	2.0077076	0.008760342	0.12878749	49.0	2463.0895454883575
74	167.51854	39.54066	223.09999	47.8	60.0	7308.0	6000000	7.450581e-09	601.7465	-0.023981437	-29.253227	2.000125	0.008252876	0.1202	49.0	2495.0162098407745
75	163.44112	42.005737	221.9	-3.3000002	60.0	7398.0	6080000	-5.5879354e-09	654.8573	-0.02373042	-35.98304	1.9957716	0.008040288	0.12525	49.0	2527.2829627990723
76	178.5267	35.780426	225.15	50.9	60.0	7486.0	6160000	2.0489097e-08	571.0973	-0.024054071	-75.616035	1.9640145	0.008961604	0.124625	49.0	2560.0492095947266
77	165.8544	45.663223	242.1	13.25	59.912086	7577.0	6240000	-5.5879354e-09	759.77167	-0.023893144	-78.256874	1.9486978	0.007845372	0.12835	49.0	2593.0269129276276
78	177.78864	31.298779	229.45	91.55	60.0	7665.0	6320000	7.450581e-09	528.4789	-0.02421952	-58.345623	1.9358201	0.009031072	0.12195	49.0	2625.5938608646393
79	184.46817	30.724167	230.7	76.85	60.0	7753.0	6400000	-9.313226e-10	457.8743	-0.024269905	-22.039944	1.9137421	0.008425122	0.1219625	49.0	2657.6893429756165
80	173.51166	42.778225	225.9	40.65	60.0	7843.0	6480000	-3.7252903e-09	701.9042	-0.02297623	-45.335026	1.8975592	0.007761467	0.1247375	49.0	2690.8567295074463
81	184.26573	36.12108	226.7	49.65	60.0	7932.0	6560000	9.313226e-09	582.9409	-0.023774164	-28.264519	1.881326	0.009124069	0.121425	49.0	2723.1573700904846
82	194.00171	31.7574	234.0	65.2	59.965908	8020.0	6640000	7.450581e-09	499.7745	-0.024183441	-40.09177	1.8803284	0.009526963	0.1247875	49.0	2755.4352571964264
83	183.01762	39.45488	234.0	53.95	59.988636	8108.0	6720000	-8.381903e-09	631.10187	-0.024277026	-58.594242	1.8706094	0.00915841	0.12435	49.0	2787.7126591205597
84	182.88466	35.191574	231.9	82.1	59.94318	8196.0	6800000	5.5879354e-09	575.3325	-0.023886446	-18.582603	1.8602253	0.008750428	0.1200625	49.0	2819.6708583831787
85	191.80682	31.33702	237.05	71.9	59.93182	8284.0	6880000	-1.3038516e-08	477.20038	-0.023146423	-46.165943	1.8418024	0.008340939	0.117249995	49.0	2851.855690717697
86	194.97618	35.603893	237.35	70.8	59.965115	8370.0	6960000	-4.1909516e-09	493.5229	-0.024036791	-22.605595	1.8345447	0.009045909	0.1275875	49.0	2883.7308876514435
87	183.7267	36.55532	239.7	102.95	59.909092	8458.0	7040000	1.8626451e-09	578.93665	-0.023439731	-46.32088	1.817949	0.008889841	0.118425	49.0	2915.502215385437
88	195.85175	31.611036	241.0	75.9	59.860466	8544.0	7120000	-1.8626451e-09	472.56274	-0.023422865	-41.85049	1.8090558	0.0077408464	0.116725	49.0	2947.551284790039
89	191.67644	33.816326	235.5	61.55	59.91954	8631.0	7200000	5.5879354e-09	484.36285	-0.023438515	-18.704441	1.79493	0.009178832	0.1216375	49.0	2979.707111597061
90	190.57645	43.330418	247.9	59.75	59.804596	8718.0	7280000	1.0244548e-08	665.25354	-0.023387432	-31.899906	1.7836916	0.0076518403	0.1226875	49.0	3011.7998797893524
91	197.5449	34.668213	244.1	56.45	59.55682	8806.0	7360000	0.0	542.1732	-0.023419853	-25.249664	1.7705072	0.009166032	0.1197875	49.0	3044.109366416931
92	196.7086	32.21136	242.6	75.15	59.75862	8893.0	7440000	0.0	455.77356	-0.02357012	-22.65408	1.7715982	0.008598457	0.124524996	49.0	3076.376165151596
93	205.0642	32.71847	249.75	70.15	59.397728	8981.0	7520000	1.4901161e-08	478.4934	-0.023550034	-32.70695	1.7605596	0.00848821	0.1249875	49.0	3108.1566305160522
94	199.11975	37.5837	243.7	76.2	59.639534	9067.0	7600000	3.7252903e-09	569.4015	-0.023634091	-31.017254	1.7530632	0.009579752	0.1234125	49.0	3139.9678292274475
95	200.92989	40.576866	243.15	45.9	59.367817	9154.0	7680000	-1.1641532e-09	578.77936	-0.02413923	-26.493164	1.7500333	0.008953063	0.12827499	49.0	3171.1871073246
96	202.17558	31.161856	251.2	88.1	59.360466	9240.0	7760000	2.0489097e-08	487.7396	-0.023819124	-28.383781	1.7436504	0.007903372	0.1231625	49.0	3203.26989030838
97	202.84483	32.265244	245.9	80.8	59.632183	9327.0	7840000	9.313226e-09	507.152	-0.023553515	-28.086231	1.7248497	0.008068003	0.124787495	49.0	3235.513820886612
98	200.85696	35.944324	250.1	50.45	59.34884	9413.0	7920000	-5.5879354e-09	511.85413	-0.023760874	-16.161018	1.7148	0.008246199	0.1261375	49.0	3267.0434403419495
99	206.79482	28.886925	250.3	111.15	59.195404	9500.0	8000000	-7.450581e-09	422.35867	-0.023186792	-25.467045	1.7151835	0.009366446	0.1212125	49.0	3299.053914308548
100	204.9207	28.480333	246.2	106.05	59.344826	9587.0	8080000	-2.7939677e-09	403.08194	-0.023978706	-20.320833	1.6976401	0.0080717765	0.123987496	49.0	3331.164441347122
101	203.41742	38.607243	247.2	-4.1500006	59.67442	9673.0	8160000	9.313226e-09	572.17065	-0.023986261	-52.28577	1.6945567	0.00876301	0.1228625	49.0	3362.732816696167
102	206.37321	32.26998	249.8	76.4	59.511906	9757.0	8240000	-8.8475645e-09	411.3401	-0.023252964	-24.888754	1.6739173	0.008790381	0.12194999	49.0	3394.39466714859
103	204.43332	33.5426	243.9	83.2	59.45977	9844.0	8320000	1.5832484e-08	456.5664	-0.023291484	-22.048578	1.6772652	0.007992942	0.11895	49.0	3426.2424976825714
104	204.01222	35.037453	261.0	70.85	59.38372	9930.0	8400000	-8.381903e-09	496.70975	-0.023490863	-22.721699	1.6695151	0.008093838	0.121700004	49.0	3457.826674938202
105	207.69254	29.618608	258.3	95.75	58.931034	10017.0	8480000	0.0	426.7099	-0.02352369	-17.117474	1.6406293	0.007897653	0.12401251	49.0	3489.7303512096405
106	212.29079	27.468065	251.7	70.7	58.850574	10104.0	8560000	5.5879354e-09	345.17084	-0.023333274	-18.278402	1.6403167	0.008311272	0.121975005	49.0	3520.834963321686
107	209.58104	31.08824	256.0	121.05	58.666668	10191.0	8640000	0.0	432.73346	-0.023333056	-17.743443	1.6215498	0.0088809915	0.1213875	49.0	3551.611538887024
108	208.95804	33.978878	249.0	34.55	58.88506	10278.0	8720000	0.0	446.94128	-0.022579528	-19.389297	1.6212921	0.007777787	0.1207625	49.0	3583.1151621341705
109	212.50175	31.277405	252.5	119.05	58.069767	10364.0	8800000	-1.8626451e-09	420.32483	-0.023778342	-24.477938	1.5973294	0.009276562	0.119425	49.0	3614.620367050171
110	211.77644	31.08739	248.7	121.35	58.356323	10451.0	8880000	1.1175871e-08	431.7517	-0.023685686	-17.518154	1.6042929	0.008630566	0.122999996	49.0	3645.8910982608795
111	213.73546	28.36506	254.7	87.3	58.44186	10537.0	8960000	1.44355e-08	380.38245	-0.023561725	-19.957674	1.5896603	0.0084027555	0.1223875	49.0	3676.872321844101
112	212.55058	30.42774	255.9	84.25	58.666668	10624.0	9040000	1.0244548e-08	412.1369	-0.023338009	-27.96948	1.5714443	0.00934004	0.1206125	49.0	3708.106140613556
113	222.17764	20.321478	252.8	119.5	57.847057	10709.0	9120000	-7.450581e-09	286.41626	-0.023421925	-36.175583	1.5577025	0.008514181	0.1175625	49.0	3738.9921452999115
114	216.51208	30.891924	253.65	96.8	57.78161	10796.0	9200000	3.7252903e-09	437.30362	-0.02319688	-34.466145	1.5571272	0.008117021	0.1178375	49.0	3770.8172059059143
115	222.85295	20.227512	259.7	139.05	58.11905	10880.0	9280000	3.7252903e-09	276.5193	-0.02325279	-26.173626	1.5550712	0.008497257	0.1181875	49.0	3801.9660007953644
116	217.53162	28.75649	260.0	94.45	57.643677	10967.0	9360000	7.450581e-09	379.81952	-0.02298502	-24.605927	1.522873	0.00796995	0.1162125	49.0	3833.5892655849457
117	222.05692	21.172228	262.0	129.9	57.275864	11054.0	9440000	-5.5879354e-09	286.42963	-0.022772238	-16.247854	1.516046	0.008757956	0.1143125	49.0	3865.4982998371124
118	221.73933	25.803148	261.9	96.75	56.314606	11143.0	9520000	-9.313226e-09	338.8244	-0.022617439	-13.716291	1.4871659	0.008104589	0.116050005	49.0	3896.8064448833466
119	220.29253	23.166225	250.9	107.8	57.850574	11230.0	9600000	-9.313226e-09	280.50363	-0.022679292	-17.030968	1.5122185	0.0077834288	0.1162	49.0	3928.973970413208
120	219.81705	30.397974	254.6	67.3	56.772728	11318.0	9680000	7.450581e-09	392.7739	-0.02261639	-21.822613	1.4911375	0.008538056	0.1161625	49.0	3960.365805864334
121	221.30795	27.941727	261.3	66.6	57.034092	11406.0	9760000	5.5879354e-09	350.42554	-0.02218166	-16.432314	1.4977268	0.0073267017	0.11445	49.0	3992.186170578003
122	224.46721	26.520227	257.0	105.1	55.511112	11496.0	9840000	0.0	400.79974	-0.02228038	-16.626436	1.4719765	0.007899269	0.1144875	49.0	4024.1632604599
123	223.9182	22.981781	259.0	129.9	56.06818	11584.0	9920000	-8.381903e-09	293.17853	-0.022943491	-15.2463	1.4777719	0.007750635	0.1167	49.0	4055.6967306137085
124	223.38205	25.10505	259.9	126.8	55.898876	11673.0	10000000	5.5879354e-09	331.88745	-0.023134086	-13.657068	1.4619513	0.008120543	0.11625	49.0	4087.2350039482117
125	229.45393	16.52163	255.8	174.5	55.58427	11762.0	10080000	-2.7939677e-09	231.3712	-0.023110576	-22.52018	1.463314	0.008587031	0.1154375	49.0	4118.622265338898
126	222.58012	29.395338	258.1	48.5	56.840908	11850.0	10160000	3.7252903e-09	350.57477	-0.022230703	-35.625336	1.4440495	0.0076682228	0.118212506	49.0	4150.072962999344
127	225.3661	31.752487	260.3	86.1	54.97778	11940.0	10240000	-1.8626451e-09	413.52234	-0.021898227	-22.273241	1.4381998	0.00755894	0.11165	49.0	4181.566588878632
128	225.80229	26.434841	258.0	96.7	55.37931	12027.0	10320000	-6.0535967e-09	324.42267	-0.022630397	-16.51263	1.4298875	0.0075795352	0.11130001	49.0	4213.135895013809
