Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-18.544174	1.4869998	-13.2699995	-21.155	28.472527	32000	-1.6903877e-07	0.7896509	-0.030615969	-0.71757466	3.042545	0.011282995	0.14359374	49.0	407.6259126663208
1	-17.593079	1.711201	-11.92	-21.855	29.483517	64000	-1.5318394e-08	0.101026066	-0.029949322	-0.0060947016	3.0335302	0.008629164	0.134875	49.0	691.5148613452911
2	-16.47565	1.9280113	-7.895	-20.585	28.663044	96000	4.708767e-09	0.10218294	-0.0347508	-0.00432086	3.0173135	0.010205223	0.16	49.0	970.8316278457642
3	-14.891315	3.117954	-4.055	-19.51	29.714285	128000	-1.0222196e-08	0.19896765	-0.034686845	-0.008350238	2.991426	0.012882773	0.1793125	49.0	1251.0110776424408
4	-12.223201	3.8483598	5.61	-20.375	30.88764	160000	-1.168251e-08	0.31702676	-0.007070028	-0.024153173	2.9566057	0.015169439	0.30265626	3.0	1481.5408201217651
5	-7.770562	6.0341353	14.655001	-15.41	37.7375	192000	8.46386e-09	0.6681041	-0.0019229944	-0.061284542	2.9246364	0.016899247	0.2863125	3.0	1717.5962133407593
6	-0.742031	13.163503	44.52	-16.475	45.6875	224000	6.0796737e-09	1.5275328	-0.03168198	-0.20817411	2.8684351	0.012703556	0.187875	49.0	2000.1883540153503
7	8.247501	18.23719	68.784996	-13.29	61.38	256000	-5.185604e-09	1.9828479	-0.032276083	-0.2699263	2.8410714	0.012073222	0.1769375	49.0	2270.9423565864563
8	19.487673	22.714882	75.104996	-8.754999	69.72093	288000	1.3411045e-08	3.0616148	-0.032769028	-0.46571493	2.8028026	0.011526043	0.174	49.0	2543.647764444351
9	35.49268	27.058449	121.56	-3.1749995	89.07143	320000	-4.2915342e-09	3.7188554	-0.033806726	-0.6776097	2.7978354	0.011268541	0.16853125	49.0	2792.381749868393
10	47.023518	30.209562	107.335	-2.0549998	87.03704	352000	-1.6689301e-09	5.1849575	-0.033956908	-1.0513787	2.7492392	0.011669689	0.15425	49.0	3032.646917104721
