Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
20	-278.67252	9.539031	-257.6	-293.0	100.0	1 min 26 sec
40	-273.5025	10.829815	-250.6	-292.05002	100.0	2 min 53 sec
60	-263.76752	10.890823	-241.40001	-281.5	100.0	4 min 17 sec
80	-270.06	7.521229	-254.40001	-288.7	100.0	5 min 45 sec
100	-268.975	12.251423	-251.55	-293.55002	100.0	7 min 9 sec
120	-268.74	15.18788	-228.3	-295.30002	100.0	8 min 37 sec
140	-269.06253	8.99056	-247.40001	-284.75	100.0	10 min 4 sec
160	-268.67	10.2206335	-248.8	-288.75	100.0	11 min 36 sec
180	-269.26505	10.371355	-247.85	-288.65	100.0	13 min 8 sec
200	-269.9225	12.4101095	-246.70001	-290.9	100.0	14 min 36 sec
220	-265.09753	14.415319	-231.65001	-287.80002	100.0	16 min 4 sec
240	-262.28253	12.542649	-242.45	-287.0	100.0	17 min 27 sec
260	-264.05252	9.259865	-239.55	-281.5	100.0	18 min 52 sec
280	-262.40253	11.106503	-246.05	-286.05002	100.0	20 min 16 sec
300	-263.86496	11.412899	-241.55	-280.05002	100.0	21 min 42 sec
320	-263.1025	13.19561	-230.3	-284.55002	100.0	23 min 7 sec
340	-264.795	14.154478	-233.6	-287.95	100.0	24 min 39 sec
360	-258.66504	16.838863	-223.7	-285.25	100.0	26 min 10 sec
380	-259.15753	18.15854	-203.85	-279.80002	100.0	27 min 36 sec
400	-258.02	18.144724	-222.05	-291.25	100.0	29 min 5 sec
420	-265.52753	16.863018	-232.6	-290.15	100.0	30 min 33 sec
440	-253.72751	13.666348	-226.2	-277.65	100.0	32 min 1 sec
460	-259.46255	7.994575	-244.6	-276.45	100.0	33 min 24 sec
480	-258.74252	13.263065	-238.35	-278.55002	100.0	34 min 52 sec
500	-258.02	18.054386	-236.0	-290.05002	100.0	36 min 19 sec
520	-247.215	19.425734	-208.8	-279.5	100.0	37 min 47 sec
540	-249.80753	14.3261595	-225.1	-278.6	100.0	39 min 16 sec
560	-258.5525	16.283411	-217.95	-282.85	100.0	40 min 45 sec
580	-248.67749	16.313816	-203.65001	-272.45	100.0	42 min 17 sec
600	-245.82751	18.551352	-221.15001	-285.85	100.0	43 min 46 sec
620	-241.75749	21.94833	-184.65001	-274.95	100.0	45 min 12 sec
640	-250.90251	21.885693	-219.6	-291.4	100.0	46 min 38 sec
660	-239.23003	22.715063	-195.65001	-276.4	100.0	47 min 58 sec
680	-242.51004	21.114124	-197.65001	-271.5	100.0	49 min 23 sec
700	-248.29497	15.923505	-212.95001	-281.5	100.0	50 min 51 sec
720	-240.8425	20.697147	-192.2	-277.9	100.0	52 min 17 sec
740	-249.03	15.86152	-213.20001	-275.1	100.0	53 min 40 sec
760	-245.19748	19.906696	-196.3	-285.4	100.0	55 min 9 sec
780	-245.12248	22.469566	-199.35	-283.75	100.0	56 min 44 sec
800	-232.35501	24.216324	-178.5	-274.4	100.0	58 min 16 sec
820	-251.77754	16.36782	-220.20001	-285.75	100.0	1 h 0 min 15 sec
840	-233.7875	24.437077	-182.95001	-270.0	100.0	1 h 1 min 25 sec
860	-242.9	19.670012	-199.7	-287.25	100.0	1 h 2 min 43 sec
880	-228.36751	17.587362	-190.2	-262.85	100.0	1 h 3 min 55 sec
900	-228.98747	22.321436	-189.65001	-264.6	100.0	1 h 5 min 11 sec
920	-231.55252	22.438915	-188.20001	-275.85	100.0	1 h 6 min 23 sec
940	-226.69751	26.713945	-172.35	-264.4	100.0	1 h 7 min 41 sec
960	-236.7875	26.173187	-175.35	-271.75	100.0	1 h 8 min 56 sec
980	-226.09	28.533216	-155.65001	-266.85	100.0	1 h 10 min 8 sec
1000	-231.92497	25.4374	-181.1	-273.1	100.0	1 h 11 min 19 sec
1020	-229.17749	20.574793	-197.6	-269.05002	100.0	1 h 12 min 36 sec
1040	-224.94002	24.671932	-179.7	-267.9	100.0	1 h 13 min 50 sec
1060	-224.62	33.767464	-128.0	-273.4	100.0	1 h 15 min 8 sec
1080	-227.44751	22.372795	-176.15001	-268.05002	100.0	1 h 16 min 14 sec
1100	-228.285	19.157778	-171.95001	-265.4	100.0	1 h 17 min 17 sec
1120	-225.26498	16.902761	-191.75	-264.0	100.0	1 h 18 min 21 sec
1140	-230.06001	25.952774	-185.6	-277.25	100.0	1 h 19 min 30 sec
1160	-218.2125	28.679514	-154.25	-250.45001	100.0	1 h 20 min 47 sec
1180	-227.455	20.050215	-199.55	-272.05002	100.0	1 h 22 min 22 sec
1200	-212.94502	29.262083	-167.0	-278.65	100.0	1 h 23 min 59 sec
1220	-210.68501	22.196493	-147.8	-250.05	100.0	1 h 25 min 38 sec
1240	-209.61002	29.785694	-160.65001	-259.7	100.0	1 h 27 min 17 sec
1260	-188.39752	40.835903	-105.50001	-248.90001	100.0	1 h 28 min 53 sec
1280	-193.075	38.239166	-90.00001	-245.6	100.0	1 h 30 min 26 sec
1300	-201.575	32.89994	-105.700005	-256.55002	100.0	1 h 31 min 59 sec
1320	-209.04752	42.830994	-118.3	-285.80002	100.0	1 h 33 min 38 sec
1340	-191.14749	32.86723	-129.0	-262.25	100.0	1 h 35 min 13 sec
1360	-190.345	33.464527	-124.55	-255.75	100.0	1 h 36 min 55 sec
1380	-197.54	43.641026	-98.8	-272.4	100.0	1 h 38 min 34 sec
1400	-178.95	41.414253	-101.850006	-263.30002	100.0	1 h 40 min 10 sec
1420	-170.28	33.19797	-102.50001	-234.05	100.0	1 h 41 min 46 sec
1440	-173.0325	48.784058	-71.0	-246.35	100.0	1 h 43 min 28 sec
1460	-173.62253	46.184906	-77.450005	-279.05002	100.0	1 h 45 min 11 sec
1480	-174.655	32.819336	-111.200005	-232.8	100.0	1 h 46 min 55 sec
