Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-295.00000439584255	100.0	-331.663	11.609585	-308.35	-354.75	100.0	10 min 33 sec
100	-295.00000439584255	100.0	-333.48804	8.662245	-307.85	-350.55002	100.0	21 min 9 sec
150	-293.29000469632444	100.0	-328.26602	9.533149	-304.1	-349.85	100.0	31 min 43 sec
200	-287.020005273819	100.0	-326.872	9.109836	-306.30002	-346.2	100.0	42 min 31 sec
250	-308.2850057732314	100.0	-323.885	10.964056	-288.25	-353.25	100.0	53 min 16 sec
300	-296.12000605389477	100.0	-324.49	10.593036	-302.35	-344.75	100.0	1 h 3 min 51 sec
350	-295.82000539712607	100.0	-319.769	13.281512	-272.6	-340.15	100.0	1 h 15 min 0 sec
400	-294.05500578097997	100.0	-313.099	17.150845	-260.95	-333.9	100.0	1 h 27 min 13 sec
450	-291.64000559970737	100.0	-315.99503	14.66073	-277.95	-338.4	100.0	1 h 38 min 34 sec
500	-340.47500784732404	100.0	-310.34503	17.643509	-252.95001	-336.65	100.0	1 h 51 min 9 sec
550	-303.2300068799406	100.0	-302.065	21.276953	-245.1	-330.35	100.0	2 h 3 min 33 sec
600	-302.09500589594245	100.0	-301.136	18.19612	-260.35	-327.0	100.0	2 h 16 min 12 sec
650	-294.10000560730697	100.0	-291.673	23.970287	-218.1	-335.0	100.0	2 h 28 min 44 sec
700	-277.74500604122875	100.0	-289.86102	26.58606	-189.8	-333.0	100.0	2 h 41 min 0 sec
750	-286.46000577285884	100.0	-290.225	26.73829	-188.05	-326.80002	100.0	2 h 53 min 33 sec
800	-354.17000852897763	100.0	-277.85202	29.51125	-214.20001	-323.75	100.0	3 h 6 min 2 sec
850	-268.7350064884871	100.0	-267.709	32.594734	-184.95001	-310.5	100.0	3 h 18 min 27 sec
900	-280.63000532723964	100.0	-270.528	29.58764	-209.05	-315.95	100.0	3 h 32 min 35 sec
950	-299.1100049618632	100.0	-266.091	33.554497	-183.75	-328.1	100.0	3 h 46 min 1 sec
1000	-282.10000557750465	100.0	-261.643	38.936977	-125.65	-312.95	100.0	3 h 59 min 16 sec
1050	-271.42000597156584	100.0	-256.874	37.16817	-150.1	-316.80002	100.0	4 h 15 min 3 sec
1100	-305.760005928576	100.0	-251.68103	44.43575	-109.850006	-308.4	100.0	4 h 31 min 5 sec
1150	-302.08000581897795	100.0	-238.56601	43.77282	-147.35	-309.2	100.0	4 h 46 min 49 sec
1200	-356.82001017034054	100.0	-248.18504	38.51631	-163.65001	-311.9	100.0	5 h 1 min 34 sec
1250	-260.3900060724467	100.0	-237.16202	41.246002	-85.450005	-291.6	100.0	5 h 15 min 53 sec
1300	-282.7400050625205	100.0	-224.36803	51.935276	-77.850006	-324.35	100.0	5 h 30 min 20 sec
1350	-250.2850067861378	100.0	-237.238	45.36745	-127.50001	-304.05002	100.0	5 h 43 min 13 sec
1400	-271.05000635683535	100.0	-234.23997	43.594986	-144.1	-321.25	100.0	5 h 55 min 49 sec
1450	-288.5500066533685	100.0	-231.94199	44.93947	-114.75001	-358.55002	100.0	6 h 7 min 17 sec
1500	-256.4900055218488	100.0	-224.875	46.148117	-94.350006	-321.5	100.0	6 h 18 min 39 sec
1550	-310.2450086638331	100.0	-227.97502	45.222733	-145.85	-362.25	100.0	6 h 32 min 6 sec
1600	-249.2200058043003	100.0	-228.836	53.51447	-67.25001	-319.2	100.0	6 h 47 min 25 sec
1650	-286.91500611156226	100.0	-225.20702	47.697163	-85.65	-304.5	100.0	7 h 2 min 32 sec
1700	-311.3200071711093	100.0	-221.19398	47.36387	-82.25001	-313.2	100.0	7 h 15 min 59 sec
1750	-279.08000720739363	100.0	-226.99	48.698483	-116.55	-372.1	100.0	7 h 28 min 40 sec
1800	-287.8050068568438	100.0	-216.11502	42.71088	-122.90001	-318.85	100.0	7 h 41 min 28 sec
1850	-246.93500580750407	100.0	-220.52101	68.51421	-112.05	-520.2	100.0	7 h 54 min 22 sec
1900	-277.69500616565347	100.0	-224.987	49.834507	-117.700005	-335.5	100.0	8 h 7 min 7 sec
1950	-258.1700067393482	100.0	-214.48703	44.760918	-49.850006	-293.80002	100.0	8 h 19 min 52 sec
2000	-272.7400066893548	100.0	-225.76102	59.03954	-117.25001	-429.65002	100.0	8 h 33 min 2 sec
2050	-282.715005948022	100.0	-203.581	49.246082	-58.850006	-336.40002	100.0	8 h 46 min 3 sec
2100	-276.1950057633221	100.0	-241.45801	54.912582	-160.3	-420.05002	100.0	8 h 58 min 47 sec
2150	-280.1700070943683	100.0	-230.54602	54.345627	-25.500006	-376.75	100.0	9 h 11 min 53 sec
2200	-283.01500658355656	100.0	-238.19301	45.43106	-115.8	-422.25	100.0	9 h 25 min 1 sec
2250	-265.2300059899688	100.0	-243.45903	41.566124	-161.95001	-355.5	100.0	9 h 37 min 59 sec
2300	-263.2900067873299	100.0	-234.01802	37.660015	-135.3	-297.1	100.0	9 h 51 min 8 sec
2350	-286.3050059426576	100.0	-242.17299	35.38169	-172.3	-302.1	100.0	10 h 4 min 33 sec
2400	-375.140011286363	100.0	-244.84903	62.769127	-143.25	-550.45	100.0	10 h 17 min 22 sec
2450	-260.52500546127555	100.0	-238.40701	40.562286	-153.35	-380.85	100.0	10 h 30 min 14 sec
2500	-276.90500614866613	100.0	-235.919	25.287453	-186.0	-285.2	100.0	10 h 43 min 20 sec
2550	-260.9200058400631	100.0	-260.18204	56.668827	-170.75	-483.55002	100.0	10 h 56 min 25 sec
2600	-283.1800061665475	100.0	-236.68599	35.208996	-177.45001	-335.2	100.0	11 h 9 min 23 sec
2650	-321.32500993721186	100.0	-240.571	38.176235	-169.85	-356.4	100.0	11 h 22 min 12 sec
2700	-251.52500593587757	100.0	-254.16801	49.749886	-160.45001	-427.15002	100.0	11 h 35 min 15 sec
2750	-282.97000646479427	100.0	-231.86	36.341206	-174.05	-301.0	100.0	11 h 48 min 29 sec
2800	-292.6500064983964	100.0	-242.85	36.774265	-147.65001	-370.5	100.0	12 h 1 min 15 sec
2850	-298.940008000657	100.0	-233.31099	33.025303	-129.35	-296.5	100.0	12 h 14 min 31 sec
2900	-230.07000646069645	100.0	-233.801	28.868135	-180.95001	-296.9	100.0	12 h 27 min 43 sec
2950	-209.6950061161071	100.0	-226.875	37.180103	-151.45001	-336.05002	100.0	12 h 40 min 41 sec
3000	-284.88000759743153	100.0	-213.639	36.76137	-105.55	-277.0	100.0	12 h 53 min 40 sec
3050	-266.3050068061799	100.0	-222.119	35.440186	-141.70001	-290.2	100.0	13 h 6 min 47 sec
3100	-247.19500729739667	100.0	-219.27602	37.852386	-138.1	-300.65	100.0	13 h 19 min 47 sec
3150	-257.6750056285411	100.0	-236.099	50.677296	-134.6	-374.40002	100.0	13 h 32 min 48 sec
3200	-264.33500661328435	100.0	-263.953	50.40033	-185.75	-411.40002	100.0	13 h 45 min 47 sec
3250	-291.7500072963536	100.0	-228.19704	36.709274	-131.70001	-299.75	100.0	13 h 59 min 1 sec
3300	-226.56500643454493	100.0	-229.07498	37.32194	-124.50001	-309.4	100.0	14 h 12 min 3 sec
3350	-246.27000686377286	100.0	-264.809	93.167	-149.0	-626.2	100.0	14 h 24 min 55 sec
3400	-254.50500598922372	100.0	-260.988	82.07686	-133.40001	-520.85004	100.0	14 h 37 min 57 sec
3450	-266.42000630237163	100.0	-248.80002	60.361107	-152.95001	-450.1	100.0	14 h 50 min 55 sec
3500	-242.38500587232411	100.0	-240.50102	53.723873	-154.15001	-419.15002	100.0	15 h 4 min 1 sec
3550	-274.2600075479597	100.0	-220.39201	39.010178	-153.85	-329.30002	100.0	15 h 17 min 2 sec
3600	-240.38000666312874	100.0	-223.24603	34.791645	-152.15001	-329.95	100.0	15 h 30 min 16 sec
3650	-253.28000671193004	100.0	-218.74301	31.537397	-145.75	-278.55002	100.0	15 h 43 min 19 sec
3700	-278.3550068248063	100.0	-223.49301	37.90099	-91.700005	-304.1	100.0	15 h 56 min 29 sec
3750	-232.94500618427992	100.0	-216.92699	25.73882	-150.25	-281.2	100.0	16 h 9 min 26 sec
3800	-234.4800061762333	100.0	-220.95702	46.760975	-143.20001	-434.0	100.0	16 h 22 min 29 sec
3850	-232.8300061967224	100.0	-220.264	31.983185	-138.65001	-286.2	100.0	16 h 35 min 41 sec
3900	-251.01500637307763	100.0	-223.48303	31.465998	-151.20001	-276.9	100.0	16 h 48 min 42 sec
3950	-267.3050062529743	100.0	-216.72202	35.148304	-137.40001	-302.7	100.0	17 h 1 min 41 sec
4000	-290.5250083357096	100.0	-220.98303	34.522137	-156.85	-314.45	100.0	17 h 14 min 52 sec
4050	-266.6050064917654	100.0	-218.015	44.00825	-131.65001	-365.75	100.0	17 h 27 min 42 sec
4100	-254.23500583842397	100.0	-215.306	37.46741	-93.90001	-317.80002	100.0	17 h 40 min 54 sec
4150	-236.68000635206698	100.0	-213.544	33.518364	-135.5	-267.80002	100.0	17 h 54 min 17 sec
4200	-353.020012190938	100.0	-227.165	60.187775	-94.950005	-414.6	100.0	18 h 6 min 54 sec
4250	-551.6100216455758	100.0	-248.194	40.351997	-187.15001	-396.95	100.0	18 h 19 min 51 sec
4300	-223.9800060018897	100.0	-235.43102	78.95959	-68.350006	-569.15	100.0	18 h 33 min 0 sec
4350	-242.8150069821626	100.0	-230.855	52.886524	-154.05	-410.00003	100.0	18 h 45 min 56 sec
4400	-244.35000658333303	100.0	-228.489	57.3697	-138.55	-445.90002	100.0	18 h 58 min 57 sec
4450	-241.12000544108452	100.0	-233.399	58.29326	-131.15001	-442.40002	100.0	19 h 12 min 10 sec
4500	-246.69500695466996	100.0	-228.49902	53.939175	-89.350006	-375.80002	100.0	19 h 25 min 6 sec
4550	-231.30500607006252	100.0	-221.94301	50.436543	-126.65001	-404.65002	100.0	19 h 38 min 15 sec
4600	-226.43000626824795	100.0	-206.91	34.465393	-137.70001	-281.9	100.0	19 h 51 min 20 sec
4650	-259.20500714927914	100.0	-208.151	42.81814	-128.1	-408.50003	100.0	20 h 4 min 32 sec
4700	-236.15000598840416	100.0	-216.487	35.865986	-115.50001	-297.55002	100.0	20 h 17 min 43 sec
4750	-271.3700077883899	100.0	-238.83502	63.499912	-111.950005	-398.7	100.0	20 h 30 min 50 sec
4800	-240.79000643640757	100.0	-220.06099	35.706932	-136.45001	-291.45	100.0	20 h 43 min 51 sec
4850	-204.95000513605774	100.0	-204.73701	37.910507	-27.100006	-276.35	100.0	20 h 56 min 52 sec
4900	-243.05000691488385	100.0	-212.18	46.215595	-101.55	-302.65002	100.0	21 h 9 min 47 sec
4950	-223.2200058490038	100.0	-213.774	37.709015	-110.8	-278.35	100.0	21 h 22 min 45 sec
5000	-253.74500622861086	100.0	-202.00902	38.434017	-79.8	-272.4	100.0	21 h 35 min 43 sec
5050	-246.28000727556645	100.0	-218.75699	57.89855	-123.15001	-479.7	100.0	21 h 48 min 50 sec
5100	-230.4150069694966	100.0	-202.559	30.507063	-115.3	-254.35	100.0	22 h 2 min 7 sec
5150	-286.92000625431535	100.0	-218.21301	75.51424	-84.950005	-452.85	100.0	22 h 15 min 16 sec
5200	-200.27500619776546	100.0	-206.074	35.151535	-115.200005	-284.2	100.0	22 h 28 min 19 sec
5250	-254.1350073300302	100.0	-218.072	30.648857	-120.850006	-273.9	100.0	22 h 41 min 18 sec
5300	-237.760005556792	100.0	-199.03001	42.462803	-85.65	-293.2	100.0	22 h 54 min 19 sec
5350	-280.7100076377392	100.0	-210.54	31.64552	-130.5	-286.45	100.0	23 h 7 min 19 sec
5400	-260.4700076315552	100.0	-224.449	52.374462	-115.100006	-395.75003	100.0	23 h 20 min 35 sec
5450	-253.2350068282336	100.0	-222.791	38.54561	-150.1	-293.75	100.0	23 h 33 min 24 sec
5500	-236.13000665977597	100.0	-214.76303	56.258827	-123.850006	-488.95	100.0	23 h 46 min 19 sec
