Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
20	-91.17251	17.543655	-51.400005	-119.9	80.0	29 sec
40	-69.5675	29.382446	-9.1500025	-127.15001	80.0	1 min 2 sec
60	-62.6575	46.32207	23.799997	-133.6	80.0	1 min 37 sec
80	-17.127502	53.258595	82.5	-112.200005	80.0	2 min 15 sec
100	28.7625	59.7767	198.4	-52.100002	80.0	2 min 50 sec
120	86.8875	96.145454	309.15	-53.4	80.0	3 min 30 sec
140	94.91499	73.044624	276.65	-39.550003	80.0	4 min 2 sec
160	116.05499	56.65825	206.8	6.8499975	80.0	4 min 34 sec
180	133.925	90.140526	388.25	-9.550001	80.0	5 min 10 sec
200	234.24251	113.222496	424.1	28.599997	80.0	5 min 43 sec
220	309.39752	143.60147	514.95	11.549998	80.0	6 min 17 sec
240	326.565	162.17636	521.25	33.25	80.0	6 min 51 sec
260	372.05	103.62493	522.5	182.59999	80.0	7 min 25 sec
280	381.19754	148.4178	594.85	84.5	80.0	7 min 58 sec
300	429.07748	126.59071	564.75	82.95	80.0	8 min 31 sec
320	469.49	106.92948	602.95	266.05	80.0	9 min 5 sec
340	438.47754	112.07398	580.2	138.34999	80.0	9 min 38 sec
360	526.42004	70.98014	595.15	346.95	80.0	10 min 11 sec
380	486.32993	107.13535	603.75	178.1	80.0	10 min 44 sec
400	504.93253	77.072495	610.9	349.0	80.0	11 min 17 sec
420	471.5725	135.27612	592.3	136.55	80.0	11 min 50 sec
440	511.83505	124.52758	644.1	229.3	77.25	12 min 23 sec
460	440.295	110.78924	602.65	198.65	80.0	12 min 55 sec
480	539.74	67.39179	608.1	388.2	79.95	13 min 29 sec
500	535.5325	94.00105	638.6	308.25	79.2	14 min 3 sec
520	545.5	88.54358	650.4	253.9	78.8	14 min 38 sec
540	553.57996	94.72346	614.5	264.45	80.0	15 min 19 sec
560	514.31494	85.46098	614.5	331.25	80.0	15 min 54 sec
580	520.1025	130.2862	617.8	131.8	79.75	16 min 30 sec
600	505.87997	134.61111	620.55	125.6	80.0	17 min 5 sec
620	493.57748	125.31433	618.8	205.3	80.0	17 min 40 sec
640	368.8725	114.608154	547.8	184.8	80.0	18 min 20 sec
660	462.52252	106.46737	558.95	145.15	80.0	18 min 57 sec
680	512.64	67.03803	591.75	367.1	80.0	19 min 32 sec
700	482.4025	119.86562	597.55	204.3	80.0	20 min 8 sec
720	497.8125	118.17388	612.5	193.9	80.0	20 min 45 sec
740	521.63995	120.26919	612.0	155.55	80.0	21 min 24 sec
760	462.3875	155.96843	592.45	-35.25	80.0	22 min 4 sec
780	455.06494	143.60483	593.4	128.75	80.0	22 min 45 sec
800	498.36743	130.64651	611.35	140.3	80.0	23 min 19 sec
820	510.2875	115.35998	599.15	105.7	80.0	23 min 54 sec
840	513.815	103.13444	590.4	149.3	80.0	24 min 29 sec
860	531.215	59.46826	602.3	349.25	80.0	25 min 2 sec
880	497.965	123.375305	614.45	135.55	80.0	25 min 39 sec
900	528.78253	116.77468	613.85	65.549995	80.0	26 min 13 sec
920	511.5975	107.6362	646.4	169.2	78.9	26 min 49 sec
940	544.0324	81.64177	615.95	262.3	80.0	27 min 25 sec
960	501.64996	142.59822	666.95	68.35	78.35	28 min 2 sec
980	545.7825	137.65031	623.95	-30.95	80.0	28 min 38 sec
1000	463.43253	89.52787	593.5	225.2	80.0	29 min 18 sec
1020	418.46503	124.12107	558.3	111.9	80.0	29 min 52 sec
1040	517.97003	132.92511	617.0	153.15	80.0	30 min 28 sec
1060	506.87997	88.156265	656.05	233.65	78.65	31 min 2 sec
1080	518.14746	136.26967	620.35	67.5	79.55	31 min 36 sec
1100	501.47745	164.42857	659.1	103.4	78.6	32 min 10 sec
1120	518.23755	118.98971	612.55	136.7	80.0	32 min 47 sec
1140	513.47504	88.1985	612.95	268.95	80.0	33 min 20 sec
1160	490.27753	96.788155	607.1	244.8	80.0	33 min 52 sec
1180	519.3	111.84325	594.55	59.2	80.0	34 min 26 sec
1200	461.41	142.63287	597.45	180.95	80.0	35 min 0 sec
1220	469.8625	128.77362	596.05	186.95	80.0	35 min 33 sec
1240	540.9075	79.94636	612.65	322.85	80.0	36 min 8 sec
1260	475.065	118.56665	613.25	225.2	80.0	36 min 40 sec
1280	509.4275	140.16283	607.9	73.049995	80.0	37 min 14 sec
1300	493.52246	145.24673	605.05	51.449997	80.0	37 min 47 sec
1320	518.875	152.15228	654.85	125.9	77.5	38 min 21 sec
1340	482.5	139.08511	609.95	50.35	80.0	38 min 56 sec
1360	529.265	132.70717	662.7	122.299995	77.4	39 min 34 sec
1380	511.84253	118.64017	610.75	165.25	80.0	40 min 10 sec
1400	523.2575	107.38436	645.0	183.6	79.1	40 min 53 sec
1420	542.47	99.46943	618.0	215.1	80.0	41 min 34 sec
1440	523.2125	117.01538	657.1	223.55	78.8	42 min 10 sec
1460	493.30243	135.31798	609.95	150.25	80.0	42 min 45 sec
1480	552.95	130.94307	679.55	67.9	75.6	43 min 19 sec
1500	492.72495	141.7426	655.55	100.7	78.45	43 min 51 sec
1520	553.4149	108.57035	667.75	239.55	75.65	44 min 25 sec
1540	540.88245	119.01281	673.9	205.5	76.85	45 min 5 sec
1560	485.71494	197.90096	679.0	-14.950002	76.35	45 min 44 sec
1580	570.79004	87.42858	670.0	258.2	76.85	46 min 22 sec
1600	549.66003	99.90085	660.35	287.25	78.55	46 min 57 sec
1620	519.36505	141.05234	656.3	54.149998	78.5	47 min 31 sec
1640	570.2601	111.169716	665.6	103.25	76.9	48 min 10 sec
1660	531.6825	108.903885	671.65	288.9	76.5	48 min 43 sec
1680	514.65	147.12779	675.25	134.55	78.15	49 min 16 sec
1700	535.62	143.07079	673.9	49.399998	76.5	49 min 49 sec
1720	561.665	79.16437	653.4	371.8	77.65	50 min 23 sec
1740	562.41003	98.781265	674.25	220.5	77.25	51 min 4 sec
1760	555.9325	98.4128	656.3	299.55	78.1	51 min 40 sec
1780	518.97253	164.23532	668.2	45.5	74.8	52 min 12 sec
1800	431.50497	184.54854	669.6	72.15	78.3	52 min 46 sec
1820	538.59247	137.4149	662.85	-1.4500015	78.55	53 min 21 sec
1840	524.505	151.26263	640.45	161.9	79.45	53 min 58 sec
1860	547.8875	89.68407	672.55	276.0	78.15	54 min 34 sec
1880	577.2275	77.18775	685.6	337.45	73.75	55 min 7 sec
1900	564.1225	96.15303	662.75	296.15	77.5	55 min 43 sec
1920	487.75006	163.2257	673.45	72.65	78.3	56 min 22 sec
1940	484.09003	122.764984	620.6	244.4	80.0	56 min 57 sec
1960	489.1775	156.12259	658.45	155.8	77.5	57 min 32 sec
1980	492.64005	173.031	675.65	89.549995	77.85	58 min 6 sec
2000	511.27008	114.86177	614.4	231.95	80.0	58 min 40 sec
2020	549.7025	95.43342	647.1	285.35	78.95	59 min 13 sec
2040	455.15747	207.5896	662.6	32.949997	76.65	59 min 46 sec
2060	557.78503	107.53309	681.85	248.0	75.25	1 h 0 min
