Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-295.00000439584255	100.0	-330.75198	9.776656	-303.65	-356.5	100.0	9 min 54 sec
100	-290.81000590510666	100.0	-301.148	33.294884	-202.2	-435.30002	100.0	22 min 31 sec
150	-298.300007237494	100.0	-281.906	77.154	-151.75	-720.65	100.0	35 min 10 sec
200	-311.20000684559346	100.0	-267.45398	33.75537	-188.75	-387.1	100.0	48 min 12 sec
250	-257.14500607810913	100.0	-266.249	33.35803	-147.25	-348.75	100.0	1 h 1 min
300	-288.68000515922904	100.0	-244.48201	48.033722	-106.25001	-326.6	100.0	1 h 14 min
350	-273.16500641256573	100.0	-248.503	42.441814	-129.70001	-359.7	100.0	1 h 28 min
400	-284.08000645898284	100.0	-232.31299	78.065704	-31.650005	-601.05005	100.0	1 h 42 min
450	-259.85000787712636	100.0	-211.02301	65.65046	-26.350006	-404.35	100.0	1 h 57 min
500	-273.87000632844865	100.0	-199.586	79.400085	-0.20000538	-448.2	100.0	2 h 12 min
550	-199.71500651091338	100.0	-195.93799	80.85724	-1.0000061	-446.65002	100.0	2 h 27 min
600	-290.3650066077709	100.0	-194.65799	81.090454	38.549995	-369.30002	100.0	2 h 41 min
650	-249.83000669553877	100.0	-145.30801	96.92165	147.45	-297.80002	100.0	2 h 56 min
700	-170.23000648133456	100.0	-184.19202	127.08763	332.19998	-705.5	100.0	3 h 10 min
750	-175.44000625535847	100.0	-148.532	96.744934	122.7	-294.45	100.0	3 h 25 min
800	-245.1450051084161	100.0	-187.21	83.60291	31.849993	-394.2	100.0	3 h 42 min
850	-225.8350069116801	100.0	-171.434	95.53214	202.09999	-304.75	100.0	3 h 58 min
900	-204.7750080037862	100.0	-169.337	76.88168	25.849995	-316.95	100.0	4 h 16 min
950	-219.6100053228438	100.0	-161.02002	80.24509	134.4	-265.95	100.0	4 h 35 min
1000	-266.6000062737614	100.0	-169.98402	117.00742	65.549995	-611.7	100.0	4 h 54 min
1050	-223.2300062250346	100.0	-155.845	89.424995	184.9	-333.0	100.0	5 h 12 min
1100	-225.2600057967007	100.0	-150.758	84.782906	84.85	-312.4	100.0	5 h 30 min
1150	-195.57000788338482	100.0	-162.42302	101.27895	126.85	-374.90002	100.0	5 h 47 min
1200	-75.75500577390194	100.0	-166.485	97.83208	180.25	-386.85	100.0	6 h 2 min
1250	-110.47000725790858	100.0	-148.05301	113.029564	172.34999	-313.80002	100.0	6 h 16 min
1300	-79.70500604249537	100.0	-150.40201	97.53535	49.599995	-342.40002	100.0	6 h 31 min
1350	-127.52500574365259	100.0	-140.462	133.91115	309.55	-437.0	100.0	6 h 49 min
1400	-213.67000585235655	100.0	-127.15199	117.186134	213.55	-288.5	100.0	7 h 7 min
1450	-222.5000095743686	100.0	-131.27501	118.80625	168.15	-342.30002	100.0	7 h 24 min
1500	-181.29500739537178	100.0	-113.07801	128.59615	261.25	-290.7	100.0	7 h 40 min
1550	-166.10000534281136	100.0	-101.426994	143.85869	176.7	-404.1	100.0	7 h 55 min
1600	-172.44000730775298	100.0	-115.47598	128.21524	276.85	-298.95	100.0	8 h 11 min
1650	-40.85000515654683	100.0	-106.231	129.84436	231.4	-260.25	100.0	8 h 27 min
1700	-40.460004521161316	100.0	-97.82002	132.59654	237.9	-280.1	100.0	8 h 43 min
1750	-100.12500564604997	100.0	-83.924	142.06119	220.3	-270.95	100.0	8 h 59 min
1800	-193.7500068742782	100.0	-97.637	148.28883	173.5	-276.1	100.0	9 h 15 min
1850	-200.87500768341124	100.0	-118.423004	143.66856	241.59999	-324.1	100.0	9 h 30 min
1900	-150.3850061789155	100.0	-128.862	122.727036	153.9	-287.85	100.0	9 h 46 min
1950	-56.48000495918095	100.0	-113.361015	125.90723	207.0	-292.2	100.0	10 h 2 min
2000	-190.86000614389778	100.0	-107.55001	129.68575	192.0	-308.75	100.0	10 h 18 min
2050	-116.26000493019819	100.0	-110.20001	124.14678	225.75	-269.95	100.0	10 h 34 min
2100	-110.60000436529518	100.0	-109.715	109.98575	97.95	-297.45	100.0	10 h 50 min
