Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-165.21042	6.748966	-146.0	-177.90001	100.0	24.0	80000	-1.73226e-07	5.787282	-0.006308888	-4.5329065	3.4938617	0.012825251	0.0608875	49.0	12.89099645614624
1	-162.50624	3.7833598	-154.0	-169.5	100.0	48.0	160000	-1.5599653e-08	1.2096906	-0.0043253954	-0.09683956	3.4809155	0.013917414	0.045012504	49.0	27.558643102645874
2	-157.24168	6.7978816	-143.75	-166.40001	100.0	72.0	240000	1.7113052e-08	1.1080189	-0.0042138803	-0.015432939	3.4646835	0.012948328	0.045149997	49.0	42.285444021224976
3	-155.32501	3.430864	-146.35	-161.2	100.0	96.0	320000	1.5308615e-08	1.0296557	-0.0043659643	-0.029262118	3.4461079	0.014298825	0.0541625	49.0	56.97070860862732
4	-153.34792	3.9780777	-146.8	-161.0	100.0	120.0	400000	1.46683306e-08	0.87324023	-0.0042376714	-0.05342461	3.4132087	0.013645133	0.039862502	49.0	71.86633086204529
5	-151.3	4.0451612	-144.35	-157.6	100.0	144.0	480000	-1.8626451e-09	0.7210512	-0.004940383	-0.021963261	3.3790727	0.01584125	0.32209998	10.0	84.82165575027466
6	-144.60626	4.5465946	-133.75	-152.15001	100.0	168.0	560000	2.561137e-09	0.6145254	-0.0042223637	-0.03659594	3.3176608	0.015150593	0.3518625	7.0	97.01813793182373
7	-142.57709	2.6648939	-137.1	-147.45	100.0	192.0	640000	-7.450581e-09	0.53714406	-0.006956679	-0.028881483	3.2573285	0.013905887	0.142225	49.0	111.77441835403442
8	-138.27917	4.67589	-129.2	-148.6	100.0	216.0	720000	3.085006e-09	0.5531442	-0.0056647295	-0.026732698	3.1639223	0.015006495	0.1263125	32.0	126.91289734840393
9	-135.96458	3.350201	-127.75	-145.25	100.0	240.0	800000	-3.4924597e-10	0.5639217	-0.0059791473	-0.015259396	3.0653598	0.015027682	0.1286375	48.0	143.87940311431885
10	-134.4654	4.4088583	-125.0	-143.1	100.0	266.0	880000	-9.313226e-10	0.5456419	-0.0037400064	-0.010915093	2.9718695	0.012838634	0.087825	49.0	160.28698992729187
11	-133.25926	4.54162	-124.1	-140.3	100.0	293.0	960000	4.1909516e-09	0.58068633	-0.003278072	-0.006246999	2.8918786	0.015082046	0.076975	45.0	175.64135837554932
12	-136.225	3.5871882	-129.6	-144.15001	100.0	317.0	1040000	-1.2805685e-08	0.552706	-0.004275381	-0.008097321	2.819487	0.01504953	0.068475	44.0	190.944753408432
13	-134.64801	4.053552	-127.450005	-142.2	100.0	342.0	1120000	-5.122274e-09	0.53277844	-0.003657878	-0.0048998743	2.778907	0.010529541	0.08095	49.0	206.02644753456116
14	-135.79584	3.4853244	-128.95	-143.65001	100.0	366.0	1200000	-1.4319085e-08	0.5320785	-0.002955693	-0.0049753375	2.690312	0.015202024	0.08985	37.0	220.61229372024536
15	-135.1125	5.1958365	-124.0	-144.1	100.0	390.0	1280000	9.546056e-09	0.531503	-0.004052461	-0.009073649	2.6145005	0.011264931	0.08499999	49.0	235.74811458587646
16	-137.53127	3.9284163	-130.90001	-144.1	100.0	414.0	1360000	-9.895302e-10	0.4998754	-0.003487181	-0.0051667355	2.5475197	0.014019799	0.064875	49.0	251.13260579109192
17	-137.78542	3.7019844	-131.0	-144.7	100.0	438.0	1440000	8.381903e-09	0.4888249	-0.0026076494	-0.0047212206	2.5003734	0.012429513	0.033325	49.0	266.385103225708
18	-137.41875	4.3532753	-124.0	-144.0	100.0	462.0	1520000	-8.032657e-09	0.4987437	-0.002351277	-0.006165568	2.4786568	0.012872323	0.0700625	49.0	281.64770698547363
19	-138.425	3.9252908	-127.450005	-143.2	100.0	486.0	1600000	-8.1490725e-09	0.4733468	-0.0035102442	-0.004253626	2.4487953	0.012532666	0.062062502	49.0	297.24608635902405
20	-139.51666	3.0750906	-134.5	-145.85	100.0	510.0	1680000	9.546056e-09	0.44533068	-0.0022890824	-0.0052838214	2.426299	0.011508382	0.0436625	49.0	313.01475071907043
21	-138.73543	3.8592014	-130.45	-144.8	100.0	534.0	1760000	-6.9849193e-10	0.473108	-0.0022476842	-0.0040915646	2.3595042	0.008942336	0.024212498	49.0	329.19990944862366
22	-140.32916	2.5073211	-135.0	-146.15001	100.0	558.0	1840000	-1.9208528e-09	0.44867224	-0.0029661376	-0.005562909	2.3320494	0.00946435	0.0286875	49.0	345.88350081443787
23	-139.56667	3.0919802	-130.85	-145.75	100.0	582.0	1920000	5.296897e-09	0.46341574	-0.0027409026	-0.0047794804	2.3342476	0.010814719	0.083924994	49.0	362.9536864757538
24	-141.90208	2.9865127	-131.3	-145.2	100.0	606.0	2000000	-1.7462298e-08	0.44645873	-0.002749966	-0.0068752132	2.3177474	0.010432068	0.042125	49.0	379.62422132492065
25	-142.53542	1.7734418	-138.75	-145.25	100.0	630.0	2080000	1.6298145e-09	0.43723977	-0.0020785592	-0.0036326498	2.273435	0.007219234	0.030862499	49.0	395.7584939002991
26	-141.98543	2.6259305	-136.2	-145.55	100.0	654.0	2160000	3.259629e-09	0.45030355	-0.00297551	-0.0039228015	2.2876897	0.01147097	0.028150002	49.0	411.2818500995636
27	-142.89583	2.0757492	-138.25	-145.40001	100.0	678.0	2240000	-9.080395e-09	0.46281064	-0.0021620467	-0.0072862767	2.2357383	0.007979056	0.0161	49.0	426.47389912605286
28	-142.61667	1.8906384	-136.35	-145.35	100.0	702.0	2320000	-5.820766e-10	0.4484848	-0.002444463	-0.0068659447	2.2354147	0.008519562	0.02455	49.0	441.9045581817627
29	-143.78334	1.7496828	-140.2	-145.6	100.0	726.0	2400000	-5.2386895e-09	0.4432248	-0.001878456	-0.010736253	2.259595	0.008064549	0.01665	49.0	457.5932128429413
30	-143.01875	1.9386308	-137.90001	-145.2	100.0	750.0	2480000	8.8475645e-09	0.4536051	-0.0026267355	-0.0065001436	2.2509441	0.0092189675	0.0335875	49.0	475.19992184638977
31	-143.21251	2.4506056	-134.35	-145.65001	100.0	774.0	2560000	1.9208528e-09	0.44088686	-0.002640408	-0.006567374	2.2125368	0.0068917847	0.022475	49.0	490.88041734695435
32	-143.92917	1.44539	-140.0	-145.2	100.0	798.0	2640000	-1.2805685e-09	0.42897928	-0.0028475258	-0.0076548345	2.1640642	0.0098926425	0.024412502	49.0	506.47589802742004
33	-144.01459	1.5678723	-139.35	-145.40001	100.0	822.0	2720000	4.4237822e-09	0.4300858	-0.002134238	-0.013393052	2.182402	0.009101272	0.0161625	49.0	522.7641551494598
34	-144.02083	1.1642174	-141.95	-145.55	100.0	846.0	2800000	-2.6775524e-09	0.44351587	-0.0018030626	-0.0089169815	2.1522753	0.005245289	0.013475	49.0	539.7322676181793
35	-143.60417	1.7919332	-137.8	-145.1	100.0	870.0	2880000	1.5599653e-08	0.45548856	-0.002238384	-0.009298403	2.1312726	0.008810493	0.032737497	49.0	557.3125348091125
36	-144.39793	1.0430795	-141.5	-145.5	100.0	894.0	2960000	-2.188608e-08	0.42187887	-0.0019893956	-0.006499119	2.1274047	0.01019185	0.027525	49.0	574.6669547557831
37	-144.13542	1.3329524	-139.15001	-145.2	100.0	918.0	3040000	4.8894435e-09	0.43317714	-0.0025928053	-0.005959511	2.130218	0.009085102	0.022300001	49.0	591.6341388225555
38	-144.3875	0.99783415	-141.40001	-145.45	100.0	942.0	3120000	2.561137e-09	0.41805673	-0.0027096258	-0.008363429	2.0994387	0.0077478914	0.0307875	49.0	608.1245546340942
39	-144.05208	1.8754138	-138.6	-145.1	100.0	966.0	3200000	2.3283064e-10	0.42452714	-0.0025014686	-0.0048077367	2.1007807	0.010251636	0.0166	49.0	623.815523147583
