Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-626.15314	13.377439	-595.75	-646.05	100.0	16.0	39.0	1.05879735e-07	5.628681	-0.003575928	-4.3567004	3.4915442	0.012544627	0.02834	49.0	154.18309712409973
1	-614.4625	13.408639	-588.0	-633.2	100.0	32.0	13.0	8.96398e-09	1.3546596	-0.0020559942	-0.40959328	3.448287	0.01161797	0.031519998	49.0	249.19660663604736
2	-604.79065	11.002416	-578.5	-620.95	100.0	48.0	18.0	5.995389e-09	0.9345355	-0.002221126	-0.0109982565	3.427167	0.010412792	0.03993	49.0	355.6345875263214
3	-601.28125	8.554793	-587.9	-616.85004	100.0	64.0	15.0	-7.3341653e-09	0.88501596	-0.0019609407	-0.02418375	3.3861008	0.010021482	0.03824	49.0	455.4138286113739
4	-593.6406	6.935514	-579.5	-606.5	100.0	80.0	10.0	-6.344635e-09	0.84530604	-0.0021411926	-0.029437743	3.3717892	0.009659336	0.052105002	49.0	543.3509278297424
5	-588.6188	7.524462	-575.95	-605.60004	100.0	96.0	0.0	5.355105e-09	0.8045597	-0.0017608914	-0.012534991	3.3296814	0.006413835	0.014289999	49.0	609.1293425559998
6	-587.09686	6.452891	-574.2	-600.7	100.0	112.0	2.0	-1.4260877e-08	0.7838028	-0.001798965	-0.004406266	3.309092	0.008935828	0.016005	49.0	679.5103876590729
7	-587.5031	5.4656215	-572.05	-595.9	100.0	128.0	33.0	-1.1816155e-08	0.7587023	-0.0021993427	-0.0043809563	3.300293	0.009050366	0.021905	49.0	822.3248538970947
8	-580.9407	4.052485	-575.05	-587.65	100.0	144.0	15.0	-2.561137e-08	0.83860856	-0.003296654	-0.09296734	3.246848	0.0122862235	0.036009997	49.0	923.0927214622498
9	-582.3656	4.2972255	-574.05	-589.65	100.0	160.0	132.0	1.0477379e-09	0.73525345	-0.001699941	-0.026598364	3.2513177	0.007549824	0.01609	49.0	1304.0003592967987
10	-577.8063	4.277517	-567.8	-584.8	100.0	176.0	131.0	-1.3969839e-08	0.7938051	-0.0037927022	-0.110819265	3.2450929	0.011714069	0.058445	49.0	1696.5850932598114
11	-577.4906	4.8563213	-568.55	-583.8	100.0	192.0	587.0	-1.816079e-08	0.7011257	-0.0029981337	-0.07887573	3.228842	0.0099082235	0.05331	49.0	3198.875765800476
12	-576.11255	4.363786	-567.60004	-583.15	100.0	208.0	1591.0	-9.778887e-09	0.7730612	-0.0036872348	-0.22703916	3.197733	0.009823432	0.061795	49.0	7338.9924030303955
13	-572.0	5.951599	-558.7	-580.7	100.0	224.0	801.0	4.773028e-09	0.59022605	-0.0033787007	-0.11191715	3.1567526	0.009659193	0.043015	49.0	9506.37555885315
