Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-280.8469	9.113099	-262.2	-296.0	100.0	16.0	80000	-7.543713e-08	5.377596	-0.01680817	-4.184633	3.483833	0.006629971	0.0763375	49.0	33.05590510368347
1	-279.72815	10.853861	-261.15	-301.1	100.0	32.0	160000	-3.0267984e-08	1.1161779	-0.017895717	-0.035991594	3.4761813	0.008056818	0.09245	49.0	65.90002965927124
2	-277.3219	10.089488	-255.55	-293.15	100.0	48.0	240000	6.519258e-09	1.1182919	-0.01899007	-0.023183472	3.4654186	0.007817769	0.09945	49.0	98.63952279090881
3	-279.1154	7.9613814	-262.5	-289.65	100.0	61.0	320000	-9.313226e-10	1.221026	-0.019094955	-0.037945285	3.4542258	0.007894971	0.0956375	49.0	131.62126803398132
4	-270.92917	9.924913	-257.1	-290.65	100.0	73.0	400000	7.450581e-09	1.3320209	-0.019904431	-0.03577219	3.4399958	0.007026517	0.1031375	49.0	164.6479847431183
5	-266.52856	7.037699	-247.05	-277.1	100.0	87.0	480000	-1.4901161e-08	1.1723657	-0.020871466	-0.075927824	3.4236517	0.007914997	0.1052375	49.0	197.41736769676208
6	-261.68335	14.140172	-236.5	-286.05002	100.0	99.0	560000	1.0244548e-08	1.215297	-0.021188796	-0.031116307	3.407374	0.007820757	0.11155	49.0	229.8397719860077
7	-254.02501	12.020337	-235.6	-277.4	100.0	113.0	640000	-2.7939677e-09	1.2364085	-0.021431228	-0.048766583	3.3889	0.00726032	0.108362496	49.0	263.5964939594269
8	-244.87144	9.656675	-230.0	-259.9	100.0	127.0	720000	-1.7695129e-08	1.266385	-0.021701291	-0.021974087	3.3699832	0.007908208	0.112812504	49.0	291.2235882282257
9	-239.89232	26.86859	-195.7	-283.9	100.0	140.0	800000	1.8626451e-09	1.3917267	-0.022555837	-0.039663553	3.3464859	0.008604886	0.119637504	49.0	319.04039478302
10	-221.11072	21.87634	-179.90001	-275.25	100.0	154.0	880000	-9.313226e-09	1.6631182	-0.02240159	-0.069359645	3.322219	0.008383688	0.118062496	49.0	346.76356053352356
