Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-575.0000085681677	100.0	-619.469	14.860151	-584.25	-653.45	100.0	22 min 51 sec
100	-458.30000809952617	100.0	-593.67206	63.28218	-544.25	-944.55005	100.0	50 min 19 sec
150	-573.4000089690089	100.0	-581.781	108.57577	-438.05002	-993.45	100.0	1 h 17 min
200	-561.0000126734376	100.0	-546.968	80.73918	-343.75	-725.9	100.0	1 h 42 min
250	-589.3000144854188	100.0	-489.76102	106.55411	-207.90001	-754.0	100.0	2 h 8 min
300	-621.950018748641	100.0	-492.244	155.80717	-164.30002	-1206.1001	100.0	2 h 32 min
350	-922.0000293031335	100.0	-366.47806	194.20595	370.69998	-796.80005	100.0	2 h 58 min
400	-350.0100143134594	100.0	-349.34903	220.47067	280.15	-691.65	100.0	3 h 22 min
450	-515.4000125601888	100.0	-318.06198	253.5472	849.64996	-773.45	100.0	3 h 47 min
500	-519.4000151269138	100.0	-228.095	296.21313	829.14996	-592.60004	100.0	4 h 12 min
550	446.5999850779772	100.0	-66.962006	391.3808	1054.95	-1031.9501	100.0	4 h 36 min
600	-107.60003342479467	100.0	208.241	480.68484	1366.0	-515.75	100.0	5 h 2 min
650	-189.3000288940966	100.0	168.35799	502.99435	1574.05	-616.80005	100.0	5 h 28 min
700	-60.95002179965377	100.0	299.791	584.0841	1965.0	-588.8	100.0	5 h 53 min
750	1091.049988746643	100.0	755.3759	767.8892	2429.6	-552.0	100.0	6 h 18 min
800	1831.1999889314175	100.0	882.2399	721.2891	2270.8	-517.05	100.0	6 h 44 min
850	2729.199986204505	100.0	1157.4	796.91925	2638.65	-371.65002	100.0	7 h 9 min
900	2128.699990119785	100.0	1137.48	657.2212	2500.3	-330.65002	100.0	7 h 35 min
950	2852.3999923169613	100.0	1207.7991	842.05914	2739.85	-347.75	100.0	8 h 0 min
1000	1979.6999920643866	100.0	1315.922	840.8501	2789.5	-541.75	100.0	8 h 25 min
1050	2708.799990788102	100.0	1177.1069	924.8236	2753.45	-351.1	100.0	8 h 50 min
1100	3062.4999896772206	100.0	1125.921	896.13434	2882.5	-451.5	100.0	9 h 15 min
1150	2945.399992004037	100.0	1311.481	893.89056	2857.05	-483.0	100.0	9 h 40 min
1200	2982.649991877377	100.0	1101.049	837.1293	2982.2	-242.40001	100.0	10 h 5 min
1250	2928.4999919719994	100.0	1093.9419	795.64294	2511.65	-507.85	100.0	10 h 29 min
1300	3079.9999920725822	100.0	1246.568	940.04785	2915.75	-500.55002	100.0	10 h 54 min
1350	2270.144992761314	100.0	1434.042	806.02185	2911.35	-242.90001	100.0	11 h 19 min
1400	2997.1499924883246	100.0	1471.351	708.6248	2852.55	-166.00002	100.0	11 h 44 min
1450	2424.649990312755	100.0	1252.744	815.3434	2763.25	-462.2	100.0	12 h 8 min
1500	2852.0999922789633	100.0	1195.109	801.3734	2550.3	-300.30002	100.0	12 h 32 min
1550	2481.9999907799065	100.0	1503.818	832.2433	2806.8	-341.45	100.0	12 h 57 min
1600	2813.0499947816133	100.0	1517.1461	874.5567	2986.05	-567.8	100.0	13 h 22 min
1650	2137.249991953373	100.0	1374.8081	809.20685	2712.25	-488.0	100.0	13 h 47 min
1700	2357.1999869957567	100.0	1080.084	760.4505	2636.3	-340.75	100.0	14 h 11 min
1750	1956.1199937179686	100.0	1445.091	808.0419	2955.45	-548.95	100.0	14 h 35 min
1800	2167.499990954995	100.0	1453.188	774.4797	2897.55	-155.8	100.0	15 h 1 min
1850	2443.8449926141648	100.0	1207.249	713.11285	2624.85	-498.40002	100.0	15 h 25 min
1900	2464.4499923326075	100.0	1191.3871	814.70026	2841.15	-456.6	100.0	15 h 49 min
1950	1858.4099884994328	100.0	1320.2379	713.18787	2816.6	-263.7	100.0	16 h 13 min
2000	2038.0049906738102	100.0	1357.5991	861.38715	2848.1	-452.05002	100.0	16 h 38 min
