Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-575.0000085681677	100.0	-616.59705	15.527439	-573.65	-648.25	100.0	17 min 13 sec
100	-575.0000085681677	100.0	-617.458	19.166843	-572.95	-650.4	100.0	34 min 40 sec
150	-575.0000085681677	100.0	-622.77405	12.361027	-593.5	-646.85004	100.0	52 min 14 sec
200	-683.0000177174807	100.0	-619.921	16.804054	-576.3	-648.95	100.0	1 h 9 min 39 sec
250	-549.8650104667992	100.0	-612.826	17.499134	-567.25	-643.85004	100.0	1 h 26 min 39 sec
300	-568.7000087238848	100.0	-608.234	19.097792	-563.3	-643.4	100.0	1 h 43 min 57 sec
350	-575.0000085681677	100.0	-605.089	14.252746	-567.75	-634.85004	100.0	2 h 1 min 11 sec
400	-575.0000085681677	100.0	-600.433	18.363453	-557.65	-632.10004	100.0	2 h 18 min 25 sec
450	-575.0000085681677	100.0	-599.536	19.962484	-539.9	-645.4	100.0	2 h 35 min 29 sec
500	-575.0000085681677	100.0	-596.523	19.848803	-550.75	-643.4	100.0	2 h 52 min 47 sec
550	-636.9000132270157	100.0	-589.562	15.223848	-556.2	-624.8	100.0	3 h 9 min 55 sec
600	-737.4000179842114	100.0	-594.544	23.204855	-547.3	-652.60004	100.0	3 h 27 min 15 sec
650	-609.4000104479492	100.0	-576.835	19.022076	-525.35004	-612.2	100.0	3 h 44 min 11 sec
700	-575.0000085681677	100.0	-582.19104	23.14078	-535.15	-622.2	100.0	4 h 1 min 9 sec
750	-575.4000086560845	100.0	-574.215	24.445993	-513.95	-617.85004	100.0	4 h 18 min 1 sec
800	-575.0000085681677	100.0	-573.92	18.21489	-529.75	-606.05	100.0	4 h 35 min 1 sec
850	-511.7000101916492	100.0	-569.76605	21.475515	-516.3	-611.3	100.0	4 h 51 min 59 sec
900	-695.2000148370862	100.0	-565.29095	21.47872	-514.2	-603.2	100.0	5 h 8 min 53 sec
950	-635.3000122196972	100.0	-567.45905	21.595364	-532.10004	-625.8	100.0	5 h 25 min 41 sec
1000	-566.9000083468854	100.0	-567.13104	24.515623	-511.45	-625.60004	100.0	5 h 42 min 44 sec
1050	-675.5000138096511	100.0	-556.817	26.02852	-499.45	-625.0	100.0	5 h 59 min 29 sec
1100	-575.0000085681677	100.0	-557.46	24.143286	-512.35004	-610.25	100.0	6 h 16 min 19 sec
1150	-575.0000085681677	100.0	-554.811	29.505125	-452.85	-611.60004	100.0	6 h 33 min 7 sec
1200	-511.6000101864338	100.0	-552.80493	27.421658	-500.25	-600.95	100.0	6 h 50 min 4 sec
1250	-575.0000085681677	100.0	-543.174	30.703802	-486.4	-624.15	100.0	7 h 6 min 35 sec
1300	-558.5000083483756	100.0	-547.05896	24.567387	-468.80002	-614.4	100.0	7 h 23 min 37 sec
1350	-575.0000085681677	100.0	-542.807	25.499575	-498.95	-610.35004	100.0	7 h 40 min 22 sec
1400	-575.0000085681677	100.0	-543.509	23.54269	-500.35	-616.8	100.0	7 h 57 min 24 sec
1450	-558.4000085815787	100.0	-541.174	35.66467	-383.9	-604.95	100.0	8 h 14 min 34 sec
1500	-575.0000085681677	100.0	-540.20703	29.833319	-450.55002	-603.95	100.0	8 h 31 min 55 sec
1550	-557.1000085361302	100.0	-534.95404	28.983255	-456.95	-585.8	100.0	8 h 48 min 50 sec
1600	-575.0000085681677	100.0	-537.329	38.9561	-447.55002	-609.65	100.0	9 h 6 min 4 sec
1650	-575.0000085681677	100.0	-531.319	31.437721	-391.2	-572.2	100.0	9 h 23 min 19 sec
1700	-575.0000085681677	100.0	-531.79596	33.371723	-408.6	-578.65	100.0	9 h 40 min 25 sec
1750	-593.0000117048621	100.0	-535.254	36.997307	-403.5	-603.05	100.0	9 h 57 min 51 sec
1800	-567.6000086218119	100.0	-511.561	42.52536	-390.35	-569.10004	100.0	10 h 15 min 28 sec
1850	-565.7000089846551	100.0	-526.761	41.715824	-421.05002	-597.05	100.0	10 h 33 min 5 sec
1900	-519.9000140465796	100.0	-501.78302	40.36619	-414.80002	-592.4	100.0	10 h 50 min 27 sec
1950	-554.0000114291906	100.0	-519.806	33.53276	-443.75	-584.8	100.0	11 h 8 min 21 sec
2000	-575.0000085681677	100.0	-517.19	38.534943	-393.5	-587.7	100.0	11 h 26 min 19 sec
2050	-645.0000126808882	100.0	-518.098	71.64779	-426.45	-826.25006	100.0	11 h 44 min 2 sec
2100	-568.4000137463212	100.0	-523.626	73.583916	-399.80002	-866.10004	100.0	12 h 1 min 58 sec
2150	-614.8000116795301	100.0	-534.59607	98.90365	-432.55002	-1121.65	100.0	12 h 20 min 14 sec
2200	-577.5500117562711	100.0	-509.863	38.817436	-407.45	-582.3	100.0	12 h 39 min 12 sec
2250	-613.5000115446746	100.0	-515.59796	54.35406	-382.2	-616.45	100.0	12 h 58 min 20 sec
2300	-701.800015181303	100.0	-507.44003	43.18045	-430.2	-609.60004	100.0	13 h 17 min 29 sec
2350	-697.4000163599849	100.0	-499.16306	51.15695	-357.40002	-583.35004	100.0	13 h 36 min 37 sec
2400	-312.7000082246959	100.0	-538.01605	209.67262	-366.85	-1414.9501	100.0	13 h 55 min 39 sec
2450	-580.6000088602304	100.0	-488.79004	57.46366	-266.90002	-576.25	100.0	14 h 14 min 31 sec
2500	-748.7000215835869	100.0	-493.276	109.59259	-358.55002	-1034.3501	100.0	14 h 33 min 19 sec
2550	-357.80000852793455	100.0	-463.031	79.50015	-275.35	-582.15	100.0	14 h 51 min 56 sec
2600	-570.5500086210668	100.0	-456.743	79.745125	-266.80002	-581.25	100.0	15 h 10 min 41 sec
2650	-321.40000949800014	100.0	-475.36102	64.34308	-259.5	-566.65	100.0	15 h 29 min 17 sec
2700	-200.30000906437635	100.0	-508.17105	229.97035	-226.40001	-1430.15	100.0	15 h 47 min 36 sec
2750	-494.6500085964799	100.0	-412.86304	105.65538	-55.90001	-567.3	100.0	16 h 6 min 1 sec
2800	-401.5100079886615	100.0	-409.07404	97.03481	-168.35	-580.25	100.0	16 h 24 min 20 sec
2850	-285.2900105021894	100.0	-421.51297	115.6904	-91.25001	-741.35004	100.0	16 h 42 min 37 sec
2900	-310.7750097323209	100.0	-408.368	156.19615	-61.10001	-993.80005	100.0	17 h 1 min 11 sec
