Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-628.51874	13.827034	-606.60004	-653.9	100.0	8.0	120000	-8.416828e-08	4.4635015	-0.0038160777	-3.288531	3.4928653	0.013576886	0.037666667	49.0	32.612353563308716
1	-626.2625	18.696812	-601.3	-649.35004	100.0	16.0	240000	-3.8649887e-08	1.0732714	-0.0035776196	-0.14316887	3.4805486	0.012577195	0.03446667	49.0	65.71396851539612
2	-610.15625	8.057661	-599.65	-621.5	100.0	24.0	360000	-8.1490725e-10	0.9752656	-0.0031469546	-0.009606659	3.4690225	0.012281179	0.046516664	49.0	98.6105535030365
3	-615.3125	10.22775	-597.8	-624.3	100.0	32.0	480000	-2.165325e-08	0.9427953	-0.0034317344	-0.014736392	3.441782	0.014128043	0.032091666	49.0	131.46469902992249
4	-610.4938	12.876684	-589.35004	-634.15	100.0	40.0	600000	8.381903e-09	0.88242483	-0.0034621698	-0.018343367	3.4159503	0.015153894	0.03863333	42.0	165.39488530158997
5	-601.0375	6.9961386	-590.65	-612.3	100.0	48.0	720000	-1.3558747e-08	0.83393395	-0.003106636	-0.01244662	3.4111536	0.0126291895	0.04788333	49.0	200.3795623779297
6	-594.71875	7.542497	-584.35004	-610.75	100.0	56.0	840000	3.0267984e-09	0.7931641	-0.0033174213	-0.008045286	3.4000635	0.013193667	0.042058334	49.0	234.22703766822815
7	-589.025	4.451628	-580.05	-597.10004	100.0	64.0	960000	-2.188608e-08	0.7444873	-0.003169864	-0.009420939	3.3763163	0.012320418	0.062308334	49.0	268.16444540023804
8	-589.425	8.459055	-576.10004	-601.60004	100.0	72.0	1080000	1.2805685e-08	0.7169876	-0.0036266483	-0.007431902	3.339442	0.01242714	0.04285	49.0	302.17161297798157
9	-584.7562	5.069305	-577.8	-595.15	100.0	80.0	1200000	-4.48199e-09	0.6893982	-0.0033494516	-0.004876837	3.3357453	0.013603946	0.044166666	49.0	335.9898760318756
10	-584.58124	5.131325	-576.4	-595.3	100.0	88.0	1320000	-9.19681e-09	0.6653867	-0.0037228554	-0.009950168	3.3245325	0.013820702	0.04939167	49.0	370.3492257595062
11	-579.60626	8.00299	-559.95	-587.10004	100.0	96.0	1440000	-1.3387762e-08	0.62690604	-0.0037865243	-0.015588872	3.2825	0.01011558	0.049758337	49.0	404.42884278297424
12	-578.5375	2.3772094	-575.15	-581.85004	100.0	104.0	1560000	9.138603e-09	0.5924771	-0.0038800577	-0.013706908	3.2289214	0.012053561	0.06035833	49.0	438.31724548339844
13	-574.025	6.4326777	-560.2	-582.7	100.0	112.0	1680000	7.21775e-09	0.56596845	-0.0044902926	-0.024507537	3.1953027	0.013688406	0.08225833	49.0	472.24320363998413
14	-573.5437	5.5572853	-565.65	-583.15	100.0	120.0	1800000	-1.7462298e-08	0.51472574	-0.0040834947	-0.026578266	3.1375618	0.011236372	0.057183333	49.0	506.2741930484772
15	-575.7125	3.8045845	-568.3	-582.2	100.0	128.0	1920000	4.656613e-10	0.45992234	-0.0043089697	-0.030773368	3.0686321	0.011948615	0.06255833	49.0	540.1370000839233
16	-571.475	3.2010627	-567.60004	-577.3	100.0	136.0	2040000	-1.21071935e-08	0.40370345	-0.0038227756	-0.022833034	3.00537	0.010076074	0.06654167	49.0	573.8666770458221
17	-571.325	5.2500057	-561.75	-576.60004	100.0	144.0	2160000	1.2572855e-08	0.36475772	-0.0044785272	-0.02824638	2.927885	0.009054784	0.07228333	49.0	607.904305934906
18	-569.5625	6.0111203	-555.45	-574.65	100.0	152.0	2280000	7.916242e-09	0.33222246	-0.0035638255	-0.011206448	2.8630233	0.009202978	0.046108335	49.0	641.7982745170593
19	-567.03125	3.3596778	-559.85004	-571.4	100.0	160.0	2400000	1.0244548e-08	0.29862267	-0.0036724932	-0.014852334	2.7909791	0.0108208135	0.06149167	49.0	675.7207279205322
20	-567.30005	4.152174	-558.85004	-574.75	100.0	168.0	2520000	1.1175871e-08	0.2711894	-0.0043777446	-0.014916005	2.7359776	0.008438045	0.074666664	49.0	709.8522593975067
21	-570.78125	2.6290355	-565.95	-574.25	100.0	176.0	2640000	-1.3969839e-08	0.26618683	-0.003996471	-0.013135565	2.6560197	0.00840382	0.060675003	49.0	743.8918657302856
22	-569.10626	3.6720665	-562.75	-575.85004	100.0	184.0	2760000	-9.313226e-09	0.26759964	-0.0038653396	-0.004086662	2.5471992	0.009597655	0.06491667	49.0	777.5333325862885
