Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-65.25764	4.2549944	-54.95	-74.6	80.0	72.0	80000	-4.9825758e-08	4.308587	-0.01585684	-3.347647	3.4857984	0.006310662	0.0789125	49.0	36.90538954734802
1	-64.40493	4.102706	-48.45	-72.3	80.0	143.0	160000	-5.122274e-09	0.87401044	-0.014178578	-0.03823828	3.480043	0.0067263893	0.073424995	49.0	73.73959255218506
2	-62.511425	3.759808	-53.8	-70.950005	80.0	213.0	240000	1.8626451e-09	0.85810643	-0.01624822	-0.020441003	3.4703574	0.0074579665	0.091575004	49.0	110.9023654460907
3	-61.748577	3.8842907	-51.3	-68.1	80.0	283.0	320000	-3.259629e-09	0.75482166	-0.016985143	-0.014291644	3.4543457	0.0068328213	0.08895	49.0	148.6231849193573
4	-60.218937	3.6326365	-51.8	-69.200005	80.0	349.0	400000	-2.7939677e-09	0.80442196	-0.01808002	-0.017028444	3.4358706	0.007765163	0.096925	49.0	185.99129676818848
5	-58.172794	5.1682677	-38.7	-66.3	80.0	417.0	480000	-7.450581e-09	0.7728811	-0.019670397	-0.015710324	3.413977	0.007669109	0.1057125	49.0	224.93032217025757
6	-55.58768	5.772752	-36.75	-66.0	80.0	486.0	560000	7.21775e-09	0.80740106	-0.020017065	-0.015008673	3.388228	0.008766722	0.1092875	49.0	262.65314197540283
7	-51.53662	8.27786	-11.1	-61.95	80.0	557.0	640000	-4.656613e-09	0.87134314	-0.021330174	-0.02311188	3.35493	0.007276247	0.11415	49.0	300.2347004413605
8	-49.447918	8.2048235	-27.150002	-61.95	80.0	629.0	720000	-1.21071935e-08	1.0734153	-0.02096466	-0.034630403	3.3209283	0.008672576	0.1090125	49.0	337.7913353443146
9	-41.895832	11.900399	-15.200001	-63.9	80.0	701.0	800000	-3.7252903e-09	1.5512608	-0.02250265	-0.083367266	3.2839534	0.008798743	0.119075	49.0	376.6491446495056
10	-36.270832	12.407132	-10.75	-58.3	80.0	773.0	880000	0.0	2.2538857	-0.021513386	-0.07745917	3.245637	0.009093203	0.120087504	49.0	417.3365545272827
11	-27.95	16.286076	10.549999	-56.8	80.0	847.0	960000	1.8626451e-09	2.8534012	-0.022681572	-0.13596804	3.2098582	0.009196019	0.1202375	49.0	458.30912494659424
12	-25.290974	16.15698	5.4999995	-60.45	80.0	919.0	1040000	4.656613e-10	3.4635146	-0.020859167	-0.10731691	3.1786425	0.008908054	0.110275	49.0	498.2373483181
13	-19.108334	16.27064	28.75	-55.55	80.0	991.0	1120000	1.1175871e-08	4.109852	-0.020185746	-0.109093696	3.1376042	0.008529871	0.10805	49.0	540.3281350135803
14	-13.333334	19.026905	30.25	-53.850002	80.0	1066.0	1200000	4.656613e-10	4.795805	-0.019864222	-0.19397485	3.0981643	0.008302307	0.108825	49.0	581.135824918747
15	-9.794156	19.006239	29.0	-52.25	80.0	1143.0	1280000	6.519258e-09	4.968854	-0.019506361	-0.14499232	3.053187	0.008083276	0.107175	49.0	621.7398507595062
