Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-295.00000439584255	100.0	-360.91605	15.434326	-324.55002	-397.65002	100.0	5 min 16 sec
100	-295.1800044931471	100.0	-332.629	10.0257225	-313.55002	-354.30002	100.0	10 min 53 sec
150	-298.1700052116066	100.0	-329.03	8.539331	-312.35	-345.0	100.0	16 min 26 sec
200	-300.06500520184636	100.0	-325.493	12.000856	-299.30002	-351.2	100.0	22 min 2 sec
250	-350.7900082502514	100.0	-323.339	10.191629	-299.9	-342.35	100.0	27 min 40 sec
300	-305.3200060416013	100.0	-321.187	11.894352	-294.1	-339.45	100.0	33 min 21 sec
350	-304.01000605262817	100.0	-319.09903	11.812834	-288.35	-339.45	100.0	38 min 56 sec
400	-295.4700049918145	100.0	-312.43402	15.952479	-260.80002	-333.9	100.0	44 min 36 sec
450	-293.96000478118657	100.0	-310.02402	21.70298	-244.40001	-337.0	100.0	50 min 13 sec
500	-298.69000520780685	100.0	-307.59903	18.750212	-252.1	-332.85	100.0	55 min 49 sec
550	-294.4100056465715	100.0	-301.66003	22.11719	-251.75	-333.4	100.0	1 h 1 min 27 sec
600	-305.51500644907355	100.0	-296.389	28.06091	-210.35	-333.85	100.0	1 h 7 min 3 sec
650	-298.42000723220406	100.0	-293.915	24.72513	-230.8	-324.65	100.0	1 h 12 min 37 sec
700	-325.2700078319758	100.0	-290.568	27.34649	-227.1	-326.1	100.0	1 h 18 min 10 sec
750	-306.4100069902837	100.0	-284.428	32.935127	-138.85	-327.0	100.0	1 h 23 min 39 sec
800	-310.4900066036731	100.0	-277.255	39.38367	-172.1	-332.95	100.0	1 h 29 min 13 sec
850	-318.7000070881098	100.0	-280.88397	29.786163	-202.45001	-318.85	100.0	1 h 34 min 45 sec
900	-265.9000055655837	100.0	-280.88898	33.10988	-195.5	-322.45	100.0	1 h 40 min 18 sec
950	-254.79500676468015	100.0	-267.50598	45.523266	-159.35	-319.1	100.0	1 h 45 min 43 sec
1000	-289.6150070238858	100.0	-279.16602	33.7373	-170.65001	-314.45	100.0	1 h 51 min 12 sec
1050	-279.0250061891973	100.0	-265.717	45.96408	-101.4	-323.2	100.0	1 h 56 min 42 sec
1100	-273.31000537350775	100.0	-266.325	30.48582	-195.1	-308.75	100.0	2 h 2 min 11 sec
1150	-275.8300061758608	100.0	-256.677	39.815346	-151.75	-327.4	100.0	2 h 7 min 40 sec
1200	-276.74000519625844	100.0	-263.061	34.927647	-159.1	-306.7	100.0	2 h 13 min 5 sec
1250	-278.66500584706665	100.0	-255.44699	43.861042	-141.1	-319.55002	100.0	2 h 18 min 29 sec
1300	-285.4450063701719	100.0	-272.32098	33.575733	-169.75	-315.30002	100.0	2 h 24 min 1 sec
