Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-91.62376	7.1461005	-72.5	-105.9	80.0	40.0	80000	1.2665987e-07	3.0823202	-0.005622821	-2.1174278	3.4906535	0.009387733	0.033474997	49.0	20.750620126724243
1	-92.50625	5.473769	-78.55	-102.05	80.0	80.0	160000	3.0267984e-09	0.9143356	-0.0052504195	-0.017475009	3.4869084	0.011293732	0.045625	49.0	42.60081648826599
2	-92.98	4.534931	-84.05	-104.35	80.0	120.0	240000	9.313226e-10	0.8567828	-0.0063087456	-0.007914662	3.467753	0.010141674	0.0461875	49.0	64.18778109550476
3	-91.45375	6.558338	-79.55	-106.35	80.0	160.0	320000	-1.8626451e-09	0.8709332	-0.0057213493	-0.006548427	3.4555297	0.009202732	0.038325	49.0	86.83661127090454
4	-88.728745	5.7724657	-75.0	-102.1	80.0	200.0	400000	5.820766e-09	0.94073296	-0.0074093915	-0.005624369	3.441791	0.009255717	0.05565	49.0	106.48663139343262
5	-84.33626	8.350575	-64.4	-98.05	80.0	240.0	480000	1.4901161e-08	1.0109253	-0.008115992	-0.012962922	3.4300647	0.008042853	0.045587502	49.0	124.41147828102112
6	-79.16375	10.509704	-39.2	-95.75	80.0	280.0	560000	-4.656613e-09	1.2016065	-0.008805077	-0.011108637	3.3994951	0.008111006	0.0553875	49.0	144.98325300216675
7	-74.00126	15.011677	-26.3	-101.700005	80.0	320.0	640000	-1.4901161e-08	1.3103404	-0.009395631	-0.0073681474	3.3692214	0.0072849374	0.064150006	49.0	168.83683729171753
8	-66.927505	16.820063	-29.75	-92.85	80.0	360.0	720000	-3.259629e-09	1.6110997	-0.009497066	-0.016224861	3.3339925	0.008566953	0.06895	49.0	194.8191168308258
9	-55.327503	16.912115	-16.65	-88.6	80.0	400.0	800000	2.0954758e-09	2.6910892	-0.009932594	-0.037239417	3.2833233	0.00892255	0.090224996	49.0	218.40072798728943
10	-54.486256	26.51401	12.0	-91.9	80.0	440.0	880000	0.0	3.2032988	-0.008251501	-0.021690398	3.210734	0.008551406	0.0760875	49.0	245.04649090766907
11	-41.08171	32.625854	44.15	-98.85	80.0	481.0	960000	-8.381903e-09	5.192539	-0.007965	-0.1705634	3.1445508	0.008858389	0.07355	49.0	270.4114816188812
12	-20.79881	35.040703	57.75	-87.950005	80.0	523.0	1040000	-7.450581e-09	8.211263	-0.0081055	-0.21627337	3.058131	0.008698484	0.074062504	49.0	294.357545375824
13	-19.47619	38.169094	59.6	-86.25	80.0	565.0	1120000	-8.8475645e-09	7.571247	-0.0060942704	-0.06760728	2.9734163	0.008249113	0.060937498	49.0	317.1408395767212
14	-14.323959	42.69299	90.1	-85.700005	80.0	613.0	1200000	-1.8626451e-09	10.834099	-0.006035735	-0.17008376	2.884419	0.008215398	0.0619125	49.0	339.3845446109772
