Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-280.00000417232513	100.0	-276.16803	17.239359	-241.6	-315.7	100.0	7 min 52 sec
100	-250.40000537410378	100.0	-275.632	46.98144	-238.55	-531.10004	100.0	16 min 29 sec
150	-203.10000417008996	100.0	-280.61905	86.3367	-177.1	-663.80005	100.0	25 min 19 sec
200	-334.70000975206494	100.0	-272.561	99.31894	-112.600006	-666.15	100.0	34 min 10 sec
250	-361.0000115856528	100.0	-255.15102	99.8114	-68.9	-621.15	100.0	42 min 56 sec
300	-394.86501269005237	100.0	-227.665	97.12561	-66.850006	-677.0	100.0	51 min 21 sec
350	-746.7000290416181	100.0	-215.372	133.27751	103.99999	-678.75	100.0	1 h 0 min
400	-146.90000510588288	100.0	-146.85301	188.42099	563.0	-495.2	100.0	1 h 8 min
450	-512.5000207163393	100.0	-109.13601	158.60423	448.75	-468.05002	100.0	1 h 17 min
500	-460.8000163063407	100.0	45.67699	251.5102	826.75	-417.30002	100.0	1 h 26 min
550	-133.50002141669393	100.0	272.978	290.5325	1009.64996	-247.95001	100.0	1 h 35 min
600	106.09997940436006	100.0	656.73193	437.0885	1455.0	-105.500015	100.0	1 h 44 min
650	637.7999806925654	100.0	909.407	377.5782	1616.6	-24.900005	100.0	1 h 53 min
700	289.79997655004263	100.0	1178.6631	324.99774	1604.25	315.6	100.0	2 h 2 min
750	1278.2999837063253	100.0	1237.821	335.10217	1647.5	368.9	100.0	2 h 11 min
800	1584.6099921159446	100.0	1256.4999	350.79276	1600.4	78.549995	100.0	2 h 20 min
850	1488.889993645996	100.0	1236.761	367.8491	1651.05	62.79999	100.0	2 h 29 min
900	1607.3999919444323	100.0	1244.8921	379.8862	1662.4	314.85	100.0	2 h 37 min
950	1606.8999925367534	100.0	1204.224	380.1573	1646.85	419.6	100.0	2 h 46 min
1000	1576.1999907791615	100.0	1284.551	397.3134	1659.05	-168.70001	100.0	2 h 55 min
1050	1565.99999307096	100.0	1202.3491	374.89713	1607.1	274.94998	100.0	3 h 3 min
1100	1588.7999913208187	100.0	1273.707	356.60876	1643.3	40.549995	100.0	3 h 12 min
1150	1451.0999931432307	100.0	1306.2379	328.31082	1657.5	342.94998	100.0	3 h 20 min
1200	1546.6049919709562	100.0	1217.527	376.9812	1600.7	251.55	100.0	3 h 29 min
1250	1087.9999817311764	100.0	1185.853	400.50412	1652.7	183.09999	100.0	3 h 37 min
1300	1559.0999920405447	100.0	1205.886	356.84726	1587.9	458.19998	100.0	3 h 46 min
1350	1605.049993623048	100.0	1266.965	359.0147	1629.5	180.8	100.0	3 h 54 min
1400	1521.1999910250306	100.0	1260.008	367.5982	1620.7	236.4	100.0	4 h 3 min
1450	1602.9199935365468	100.0	1177.732	391.77512	1603.65	298.1	100.0	4 h 11 min
1500	1546.499994147569	100.0	1277.1371	328.2439	1608.7	421.25	100.0	4 h 20 min
1550	1470.999992877245	100.0	1086.88	442.47415	1620.5	272.4	100.0	4 h 28 min
1600	1550.899992223829	100.0	1224.9711	346.15845	1585.45	224.8	100.0	4 h 37 min
1650	1511.4999919459224	100.0	1090.077	353.56238	1573.4	354.25	100.0	4 h 45 min
1700	1473.5999935865402	100.0	1124.109	395.61722	1576.55	303.1	100.0	4 h 54 min
1750	1464.4999910481274	100.0	1109.449	392.24835	1510.15	-197.75	100.0	5 h 2 min
1800	1541.6999945294112	100.0	1146.381	364.40482	1563.65	359.2	100.0	5 h 10 min
1850	1544.199993211776	100.0	1155.6589	371.84576	1539.2	194.0	100.0	5 h 19 min
1900	1293.8349950924517	100.0	1240.073	334.72562	1568.1	202.65	100.0	5 h 27 min
1950	1510.7499927580357	100.0	1112.835	371.69437	1524.55	187.8	100.0	5 h 35 min
2000	1463.6999923791736	100.0	1099.336	371.69357	1513.3	-142.6	100.0	5 h 44 min
2050	1421.2999888770282	100.0	1046.924	381.1061	1558.55	176.3	100.0	5 h 52 min
2100	1410.6999897025526	100.0	1029.915	421.88422	1490.65	-160.45	100.0	6 h 1 min
2150	1455.3299920655786	100.0	1093.119	378.45532	1485.4	115.549995	100.0	6 h 9 min
2200	1335.3499903362244	100.0	1048.999	304.38547	1460.25	396.15	100.0	6 h 17 min
2250	1055.1699981003999	100.0	1038.302	332.7961	1476.45	358.95	100.0	6 h 25 min
2300	1424.6599886778743	100.0	1074.2911	349.40607	1489.6	178.59999	100.0	6 h 34 min
2350	1463.4999898932874	100.0	1087.788	384.30362	1459.05	-133.85	100.0	6 h 42 min
2400	1381.579990683496	100.0	1001.725	417.4692	1486.25	-82.850006	100.0	6 h 51 min
2450	1447.7549915470183	100.0	1028.814	383.25522	1508.45	-189.40001	100.0	6 h 59 min
2500	1430.2999902665615	100.0	977.908	383.42685	1498.1	109.149994	100.0	7 h 8 min
2550	1479.4999949224293	100.0	940.54	411.3062	1483.05	76.0	100.0	7 h 16 min
2600	1430.669991740957	100.0	991.78406	393.65985	1500.2	237.8	100.0	7 h 24 min
2650	1451.6499934829772	100.0	939.815	429.6131	1455.7	-44.400005	100.0	7 h 33 min
2700	1407.5999929830432	100.0	1047.3141	335.4042	1460.55	175.2	100.0	7 h 41 min
2750	1322.5999930910766	100.0	1024.877	337.4106	1476.0	243.34999	100.0	7 h 49 min
2800	1181.299993699044	100.0	1047.437	362.39154	1450.95	100.149994	100.0	7 h 58 min
2850	1277.6199946381153	100.0	976.5101	416.78134	1495.55	-163.25	100.0	8 h 6 min
2900	1349.0499888323247	100.0	866.18896	408.27164	1439.45	-196.8	100.0	8 h 14 min
2950	1402.8999901719392	100.0	939.1161	340.17316	1426.9	186.95	100.0	8 h 23 min
3000	1142.9999850466847	100.0	1078.0972	321.81808	1430.45	313.35	100.0	8 h 31 min
3050	1277.0999897383153	100.0	938.645	360.85992	1438.15	34.1	100.0	8 h 39 min
3100	1365.4999933503568	100.0	860.346	387.97913	1438.6	138.5	100.0	8 h 48 min
3150	1376.7099924892186	100.0	998.15	356.75522	1447.6	-236.95001	100.0	8 h 56 min
3200	1137.8649954862892	100.0	977.961	349.26584	1404.05	184.9	100.0	9 h 5 min
3250	1423.7499929368496	100.0	922.459	407.1751	1443.4	-239.90001	100.0	9 h 13 min
3300	1172.1999832838774	100.0	911.919	306.93027	1439.85	174.05	100.0	9 h 21 min
3350	942.0899927321822	100.0	936.353	351.8107	1462.9	29.499996	100.0	9 h 29 min
3400	1421.099991824478	100.0	983.75696	332.37122	1382.9	198.25	100.0	9 h 38 min
3450	1272.3999938480556	100.0	1031.31	360.2338	1467.55	-168.0	100.0	9 h 46 min
3500	1190.1999940782785	100.0	1001.82306	316.58575	1509.95	197.34999	100.0	9 h 55 min
3550	1376.8799951680005	100.0	913.303	311.62222	1391.9	184.75	100.0	10 h 3 min
3600	1367.9499932266772	100.0	1076.3369	360.3325	1532.65	219.5	100.0	10 h 12 min
3650	1456.2999912388623	100.0	1020.04205	392.33542	1517.2	-120.450005	100.0	10 h 20 min
3700	972.9999804124236	100.0	990.72406	445.74255	1498.0	-256.0	100.0	10 h 29 min
3750	1401.7999903410673	100.0	1003.1941	445.09726	1487.9	-222.85	100.0	10 h 37 min
3800	1430.3999878764153	100.0	978.50903	395.26202	1481.35	78.35	100.0	10 h 46 min
3850	1248.3999867238103	100.0	990.55493	411.47684	1512.45	14.5999975	100.0	10 h 54 min
3900	1420.299989130348	100.0	1092.8059	410.3436	1592.0	283.15	100.0	11 h 3 min
3950	1493.5499908216298	100.0	992.51404	482.10233	1534.7	-232.2	100.0	11 h 11 min
4000	1258.1999829635024	100.0	938.7949	430.92014	1551.6	161.65	100.0	11 h 20 min
4050	1490.1499907113612	100.0	1087.612	389.15237	1641.85	166.09999	100.0	11 h 28 min
4100	1386.1199874557556	100.0	945.42096	505.1333	1572.85	-124.05	100.0	11 h 37 min
4150	1484.64998960495	100.0	1072.5919	455.89954	1597.3	-276.55002	100.0	11 h 46 min
4200	831.0299953255802	100.0	1068.438	475.05072	1577.25	134.65	100.0	11 h 54 min
4250	1355.2999867536128	100.0	1145.8771	338.7974	1556.65	359.9	100.0	12 h 2 min
4300	1499.099991042167	100.0	1070.55	418.63257	1575.3	-14.850003	100.0	12 h 11 min
4350	1575.199991300702	100.0	1066.865	434.70105	1620.55	79.049995	100.0	12 h 20 min
4400	1320.1999879777431	100.0	1044.929	440.7706	1602.95	86.049995	100.0	12 h 28 min
4450	1457.7999890446663	100.0	1142.037	418.44257	1552.1	138.4	100.0	12 h 37 min
4500	1335.6499870941043	100.0	958.43005	538.9885	1613.25	-25.200005	100.0	12 h 46 min
4550	1558.2999909035861	100.0	1043.754	449.57227	1595.25	-11.650004	100.0	12 h 54 min
4600	1488.5999920144677	100.0	1122.908	461.62808	1626.15	163.45	100.0	13 h 3 min
4650	1490.3999896422029	100.0	1107.316	452.68753	1623.6	-33.300003	100.0	13 h 11 min
4700	1259.4999852515757	100.0	1173.479	422.64648	1606.5	-1.1000042	100.0	13 h 20 min
4750	1409.3999902158976	100.0	1191.321	364.15515	1577.9	110.45	100.0	13 h 29 min
4800	1474.8999885730445	100.0	1064.3411	477.96622	1587.8	-27.450005	100.0	13 h 37 min
4850	1471.999991208315	100.0	1136.644	439.2395	1579.5	77.9	100.0	13 h 45 min
