Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-575.0000085681677	100.0	-618.346	13.983738	-581.2	-645.75	100.0	18 min 6 sec
100	-575.0000085681677	100.0	-576.47205	16.792389	-545.0	-635.8	100.0	38 min 58 sec
150	-566.0000085607171	100.0	-565.45795	8.081828	-547.85004	-581.60004	100.0	1 h 0 min
200	-575.0000085681677	100.0	-601.06	154.74106	-541.85004	-1430.75	100.0	1 h 21 min
250	-775.2500208988786	100.0	-604.00903	174.53825	-469.95	-1472.25	100.0	1 h 41 min
300	-733.4000168293715	100.0	-622.73804	185.56729	-480.0	-1523.7001	100.0	2 h 1 min
350	-509.30001068487763	100.0	-561.955	57.466743	-411.65002	-743.55005	100.0	2 h 21 min
400	-572.3000084944069	100.0	-546.767	57.947952	-366.40002	-661.9	100.0	2 h 42 min
450	-764.600020699203	100.0	-541.544	69.04403	-415.30002	-751.7	100.0	3 h 1 min
500	-600.5000101290643	100.0	-539.938	190.02206	-179.95001	-1396.2001	100.0	3 h 20 min
550	-553.1000184677541	100.0	-498.661	99.84994	-235.50002	-699.0	100.0	3 h 39 min
600	-816.5000238008797	100.0	-466.04803	106.40866	-34.00001	-584.35004	100.0	3 h 58 min
650	-532.500009957701	100.0	-481.142	111.68553	-219.65001	-890.80005	100.0	4 h 17 min
700	-394.90001436695457	100.0	-427.781	139.67778	-82.500015	-747.9	100.0	4 h 36 min
750	-673.1000234670937	100.0	-380.06204	171.09709	281.94998	-594.75	100.0	4 h 54 min
800	-501.3000154532492	100.0	-392.489	184.86345	355.05	-619.55	100.0	5 h 13 min
850	-410.0000107474625	100.0	-358.56305	197.12134	182.4	-674.05005	100.0	5 h 32 min
900	-231.90002951398492	100.0	-278.409	271.56213	562.14996	-584.35004	100.0	5 h 50 min
950	685.9499858543277	100.0	-63.79302	394.84506	1271.5499	-779.9	100.0	6 h 10 min
1000	857.3999832868576	100.0	413.197	608.488	2006.35	-550.55	100.0	6 h 32 min
1050	1324.9599827982486	100.0	515.684	471.27072	1689.7999	-464.7	100.0	6 h 57 min
1100	2535.3999864161015	100.0	741.579	677.3889	2724.3	-420.45	100.0	7 h 23 min
1150	1689.4799814194441	100.0	996.93005	762.74414	2917.05	-363.65002	100.0	7 h 48 min
1200	2569.199986845255	100.0	951.519	668.3972	2242.1	-364.0	100.0	8 h 14 min
1250	2502.5999896749854	100.0	760.0951	670.26904	2646.8	-493.95	100.0	8 h 40 min
1300	2703.7999862134457	100.0	972.346	607.065	2008.55	-261.15	100.0	9 h 6 min
1350	2739.999983087182	100.0	919.887	684.51544	2933.65	-525.85004	100.0	9 h 30 min
1400	434.12998636886476	100.0	923.09	821.64655	2974.8	-601.4	100.0	9 h 54 min
1450	2954.999982178211	100.0	850.81696	632.6834	2081.45	-421.1	100.0	10 h 18 min
1500	758.7999879792333	100.0	495.505	853.1277	2323.4	-732.2	100.0	10 h 41 min
1550	3006.849984649569	100.0	934.87897	755.4997	2540.3	-401.15002	100.0	11 h 4 min
1600	270.6499861292541	100.0	1223.594	726.5156	3066.1	-85.70001	100.0	11 h 27 min
1650	2855.299987781793	100.0	1143.2211	719.5153	2532.0	-523.45	100.0	11 h 50 min
1700	1989.2999824024737	100.0	1042.673	826.2254	2903.35	-554.55	100.0	12 h 15 min
1750	1650.5049882046878	100.0	1038.462	801.9255	2864.5	-422.0	100.0	12 h 39 min
1800	2732.1399875231086	100.0	935.98303	692.444	2646.15	-531.35004	100.0	13 h 2 min
1850	3003.3999890983105	100.0	1103.666	750.8964	3110.1	22.99999	100.0	13 h 26 min
1900	2670.0999781899154	100.0	871.991	620.95294	2503.75	-311.35	100.0	13 h 50 min
1950	3094.8999950774014	100.0	1065.219	748.075	3143.1	-128.00002	100.0	14 h 14 min
2000	2959.8999911285937	100.0	1103.626	762.22076	2990.65	-571.55	100.0	14 h 38 min
2050	2662.9499906431884	100.0	980.7739	785.5095	3126.55	-419.85	100.0	15 h 1 min
2100	2673.8999844305217	100.0	940.55804	866.76605	3153.1	-500.25	100.0	15 h 26 min
2150	2890.2999908812344	100.0	1213.21	791.62103	2888.9	-440.30002	100.0	15 h 51 min
2200	3127.0999906621873	100.0	1244.9379	730.22687	2970.4	-276.40002	100.0	16 h 15 min
2250	2591.6249936465174	100.0	1307.951	862.01575	3029.7	-149.65001	100.0	16 h 39 min
2300	3021.3099913954734	100.0	841.469	641.67773	2775.15	-361.45	100.0	17 h 3 min
2350	2845.7999927848577	100.0	851.28296	815.6628	3212.8	-443.85	100.0	17 h 27 min
2400	1195.2099911790342	100.0	1020.952	745.30774	2582.3	-434.45	100.0	17 h 50 min
2450	814.5099897526204	100.0	884.556	733.4697	2351.45	-493.05002	100.0	18 h 13 min
2500	2957.699985232204	100.0	1062.038	636.37994	2361.95	-187.25002	100.0	18 h 37 min
2550	2706.9349874500185	100.0	1278.7831	821.0198	3023.85	-497.7	100.0	19 h 2 min
2600	2681.1999903544784	100.0	1167.5919	937.6085	3001.15	-581.60004	100.0	19 h 27 min
2650	682.3499915972352	100.0	1107.084	748.18195	2946.3	-461.55002	100.0	19 h 53 min
2700	2287.879991542548	100.0	1071.652	695.47723	2464.4	-333.45	100.0	20 h 18 min
2750	3308.7999905720353	100.0	1241.707	888.46124	3133.1	-354.90002	100.0	20 h 45 min
2800	1400.904993405938	100.0	1179.5691	898.62665	2949.15	-480.85	100.0	21 h 10 min
2850	3121.6999920792878	100.0	1161.978	790.14404	2832.35	-560.25	100.0	21 h 36 min
2900	2925.349986217916	100.0	1198.6599	713.85754	3000.4	-145.6	100.0	22 h 1 min
2950	3193.349990967661	100.0	1346.598	852.13	3322.6	-278.35	100.0	22 h 27 min
3000	2935.399990104139	100.0	1261.1969	821.3954	3168.2	-461.90002	100.0	22 h 53 min
3050	2032.7399863131345	100.0	1427.522	788.6501	3010.8	-200.80002	100.0	23 h 17 min
3100	2951.399985983968	100.0	1159.438	638.1198	3065.75	-513.35004	100.0	23 h 42 min
3150	1809.6749914839863	100.0	1224.273	720.53613	2845.15	30.19999	100.0	24 h 7 min
3200	2844.6649916514752	100.0	1251.107	769.18945	2925.15	-268.55002	100.0	24 h 33 min
3250	3048.099990915507	100.0	1157.4	764.6968	2869.35	-319.45	100.0	24 h 59 min
3300	842.4249928243458	100.0	1291.931	723.4674	2662.1	-357.80002	100.0	25 h 25 min
3350	3142.349989462644	100.0	1279.033	874.78503	2913.2	-508.85	100.0	25 h 51 min
3400	2566.599989425391	100.0	1523.154	880.78687	2972.7	-488.75	100.0	26 h 18 min
3450	3289.599991634488	100.0	1343.075	896.98126	3039.45	-468.30002	100.0	26 h 44 min
3500	1022.6649861913174	100.0	1671.7941	715.48456	2892.35	-507.0	100.0	27 h 9 min
3550	2776.4499923735857	100.0	1349.1289	792.4574	3007.35	-398.7	100.0	27 h 34 min
3600	3348.099992532283	100.0	1649.124	765.4616	2903.9	23.999987	100.0	28 h 0 min
3650	3269.0999865569174	100.0	1545.2158	724.9726	3403.05	13.999986	100.0	28 h 25 min
3700	2163.0399923358113	100.0	1431.9438	890.50305	3130.8	-464.2	100.0	28 h 50 min
3750	1940.6249930035324	100.0	1625.4932	815.28595	3211.4	-236.50002	100.0	29 h 15 min
3800	2913.909990815818	100.0	1730.6769	866.71387	3338.75	-406.15002	100.0	29 h 41 min
3850	2260.874991925061	100.0	1694.0591	843.0857	3222.65	-83.950005	100.0	30 h 7 min
3900	1772.4249919150025	100.0	1870.836	825.422	3227.35	-366.55002	100.0	30 h 33 min
3950	2485.949992697686	100.0	1485.924	709.81934	2871.4	-331.05002	100.0	30 h 59 min
4000	3213.3499930389225	100.0	1701.8949	658.0499	3047.1	389.05	100.0	31 h 28 min
4050	2909.6499912291765	100.0	1753.5369	830.38477	3332.15	-289.35	100.0	31 h 55 min
4100	1849.7999920360744	100.0	1999.31	825.2172	3344.25	190.24998	100.0	32 h 21 min
4150	3029.6399862378835	100.0	1904.6509	937.93176	3292.2	-474.65002	100.0	32 h 47 min
4200	2572.9999880343676	100.0	2100.596	888.2365	3410.8	321.94998	100.0	33 h 13 min
4250	2823.939989372343	100.0	1544.4209	916.0619	3019.6	-547.65	100.0	33 h 37 min
4300	3369.7499915890394	100.0	1966.8511	907.5616	3418.7	-475.85	100.0	34 h 3 min
4350	2999.69999204576	100.0	1632.048	982.5526	3257.05	-432.75	100.0	34 h 29 min
4400	3062.9499907307327	100.0	1577.442	1102.5157	3126.55	-558.15	100.0	34 h 55 min
4450	3326.624991165474	100.0	1788.254	905.72327	3250.35	-389.2	100.0	35 h 21 min
4500	3203.4999934993684	100.0	1691.1902	948.2043	3326.1	-456.80002	100.0	35 h 47 min
4550	3344.899990385026	100.0	1621.0171	865.71313	3106.65	-480.5	100.0	36 h 10 min
4600	2789.0749916091563	100.0	1795.6722	896.39166	3412.8	-510.85	100.0	36 h 34 min
4650	2520.214991955459	100.0	1611.24	983.6884	3261.6	-465.95	100.0	36 h 57 min
4700	2264.104991534725	100.0	1884.783	795.33044	3259.9	-31.800013	100.0	37 h 21 min
4750	1024.814990593493	100.0	1672.562	836.27625	3048.3	-626.10004	100.0	37 h 45 min
4800	2366.6199915695934	100.0	1660.3821	849.0728	3151.9	-394.75	100.0	38 h 8 min
