Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-60.00000089406967	80.0	-68.702995	5.137922	-55.65	-78.05	80.0	3 min 18 sec
100	-60.00000089406967	80.0	-62.787	4.38879	-53.15	-71.1	80.0	6 min 20 sec
150	-73.02500184811652	80.0	-62.317997	3.641727	-52.7	-69.5	80.0	9 min 42 sec
200	-60.250001434609295	80.0	-62.413	4.1461887	-52.100002	-70.8	80.0	12 min 58 sec
250	-74.73000223375857	80.0	-60.753	4.1293273	-52.100002	-70.9	80.0	15 min 34 sec
300	-71.20500217750669	80.0	-58.140995	3.9435859	-47.15	-65.85	80.0	18 min 5 sec
350	-72.56000198870898	80.0	-58.402	4.9581447	-41.55	-66.25	80.0	21 min 38 sec
400	-60.43000115193426	80.0	-58.385006	5.458958	-46.8	-71.0	80.0	24 min 40 sec
450	-54.53000123947859	80.0	-58.103992	5.4464655	-37.4	-69.200005	80.0	27 min 12 sec
500	-65.05000179708004	80.0	-57.831997	5.3404384	-43.3	-68.15	80.0	30 min 1 sec
550	-49.93000146485865	80.0	-56.705	5.647099	-36.850002	-66.200005	80.0	34 min 1 sec
600	-61.610001562908295	80.0	-57.001	4.859542	-37.600002	-65.4	80.0	37 min 5 sec
650	-56.47500127293169	80.0	-54.777	7.1604695	-31.85	-65.05	80.0	40 min 11 sec
700	-60.215001687780024	80.0	-54.77	5.7621346	-37.300003	-68.5	80.0	42 min 45 sec
750	-51.00500144585967	80.0	-52.24	7.035517	-30.900002	-65.8	80.0	46 min 41 sec
800	-52.975002033635974	80.0	-53.027	8.458388	-27.0	-66.65	80.0	49 min 14 sec
850	-52.37000171095133	80.0	-49.882004	9.294749	-29.150002	-64.1	80.0	51 min 51 sec
900	-67.25000207796693	80.0	-46.369	10.358624	-18.7	-62.5	80.0	54 min 30 sec
950	-56.7500014718622	80.0	-45.857	9.7127495	-8.550001	-61.75	80.0	57 min 8 sec
1000	-57.390001798793676	80.0	-45.809	9.924277	-21.7	-59.600002	80.0	1 h 0 min 24 sec
1050	-63.08000224791467	80.0	-43.028004	12.9325285	-10.850001	-59.600002	80.0	1 h 3 min 58 sec
1100	-62.2100023444742	80.0	-43.414993	12.910772	-9.500001	-59.850002	80.0	1 h 7 min 28 sec
1150	-44.73500129580498	80.0	-43.12	10.302393	-5.9000006	-58.25	80.0	1 h 10 min 20 sec
1200	-53.08000146187842	80.0	-38.536	12.6328745	-2.950001	-59.55	80.0	1 h 13 min 43 sec
1250	-58.540001758933066	80.0	-41.3	13.864562	2.949999	-62.75	80.0	1 h 16 min 47 sec
1300	-39.48000188395381	80.0	-32.919003	14.62775	4.699999	-55.8	80.0	1 h 20 min 21 sec
1350	-51.945001705363396	80.0	-30.331001	13.35459	-5.550001	-59.05	80.0	1 h 24 min 20 sec
1400	-53.10500183366239	80.0	-31.493	17.029982	12.749999	-61.350002	80.0	1 h 27 min 45 sec
1450	-50.39500191733241	80.0	-30.348	13.0668545	4.399999	-54.45	80.0	1 h 31 min 4 sec
1500	-26.47500104047358	80.0	-26.223999	18.025208	21.199999	-57.850002	80.0	1 h 34 min 25 sec
1550	-31.82500138357282	80.0	-24.51	13.65676	18.699999	-46.350002	80.0	1 h 37 min 15 sec
1600	-57.510002087429164	80.0	-21.096	14.579457	10.349999	-57.3	80.0	1 h 40 min 4 sec
1650	-48.885001917555925	80.0	-20.745	19.44766	21.749998	-58.350002	80.0	1 h 43 min 11 sec
1700	-36.1450016412884	80.0	-21.192001	17.765469	16.3	-55.0	80.0	1 h 47 min 4 sec
1750	-80.04000312499701	80.0	-17.220001	14.85174	4.9999986	-52.8	80.0	1 h 50 min 37 sec
1800	-8.21000084131956	80.0	-21.583002	19.39517	24.349998	-53.750004	80.0	1 h 53 min 29 sec
1850	-54.4850025229156	80.0	-14.889	14.972399	17.55	-49.7	80.0	1 h 56 min 54 sec
1900	-51.26000211499631	80.0	-21.048	17.243685	15.199999	-49.95	80.0	1 h 59 min 53 sec
1950	-57.840002523362635	80.0	-14.501001	15.637764	9.399999	-43.600002	80.0	2 h 4 min 0 sec
2000	-58.35000198967755	80.0	-25.687	18.32108	19.65	-63.550003	80.0	2 h 6 min 20 sec
2050	-66.94000220634044	80.0	-14.522	16.291983	22.5	-46.65	80.0	2 h 9 min 34 sec
2100	-40.92500204667449	80.0	-22.914001	17.322483	21.599998	-54.050003	80.0	2 h 12 min 30 sec
2150	-42.75500163771212	80.0	-22.452002	16.348866	10.499998	-57.7	80.0	2 h 15 min 59 sec
2200	-28.5950015489012	80.0	-21.851004	16.7393	14.449999	-64.5	80.0	2 h 18 min 27 sec
2250	-27.300001976266504	80.0	-25.653	20.588974	11.999999	-71.850006	80.0	2 h 21 min 23 sec
2300	-25.145001427456737	80.0	-20.000002	17.678942	22.099998	-54.9	80.0	2 h 24 min 31 sec
2350	-21.295001402869822	80.0	-21.753002	14.275827	6.399999	-55.350002	80.0	2 h 28 min 25 sec
2400	-19.295001509785653	80.0	-22.868	17.648531	16.499998	-61.65	80.0	2 h 32 min 6 sec
2450	-38.46500176601112	80.0	-21.138002	16.90056	19.599998	-60.4	80.0	2 h 34 min 48 sec
2500	-54.045002666115764	80.0	-23.069002	16.92778	14.199999	-64.55	80.0	2 h 38 min 18 sec
2550	-28.635002065449953	80.0	-22.264004	15.386716	17.15	-48.75	80.0	2 h 41 min 23 sec
2600	-12.26000094152987	80.0	-17.918001	14.234931	11.149999	-50.2	80.0	2 h 44 min 42 sec
2650	-36.84000148549676	80.0	-13.779001	14.846192	17.199999	-48.0	80.0	2 h 48 min 19 sec
2700	-41.12000270485878	80.0	-22.482002	14.576213	12.599999	-59.350002	80.0	2 h 51 min 43 sec
2750	-25.850001245364545	80.0	-20.949001	16.577253	17.599998	-54.45	80.0	2 h 54 min 52 sec
2800	-37.84500144310296	80.0	-22.081001	15.170389	8.899999	-68.950005	80.0	2 h 57 min 58 sec
2850	-51.505002037808296	80.0	-18.562002	16.614592	14.599999	-51.850002	80.0	3 h 1 min 15 sec
2900	-58.08500260822475	80.0	-21.099	15.558151	18.949999	-46.800003	80.0	3 h 4 min 14 sec
2950	-24.015001467242836	80.0	-23.906004	20.627642	25.5	-67.5	80.0	3 h 7 min 13 sec
3000	-26.660001704841854	80.0	-14.990002	13.836384	21.25	-43.4	80.0	3 h 8 min 45 sec
3050	-9.510000973939896	80.0	-17.413	17.3866	25.5	-52.15	80.0	3 h 12 min 29 sec
3100	-56.28000261299312	80.0	-21.449001	16.77696	18.349998	-56.25	80.0	3 h 15 min 41 sec
3150	-66.82000357806683	80.0	-21.477001	18.282257	15.549999	-77.05	80.0	3 h 19 min 5 sec
3200	-20.215001560375093	80.0	-18.512001	14.947688	20.75	-48.250004	80.0	3 h 21 min 18 sec
3250	-39.22000205665827	80.0	-16.316002	15.038548	16.699999	-46.100002	80.0	3 h 24 min 6 sec
3300	-14.615000948309898	80.0	-13.510001	14.696717	17.999998	-48.9	80.0	3 h 27 min 31 sec
3350	-25.585001355409624	80.0	-15.008001	15.33743	24.449999	-42.65	80.0	3 h 31 min 0 sec
3400	-61.61000252738595	80.0	-17.158	13.605693	19.849998	-43.75	80.0	3 h 33 min 59 sec
3450	-21.665001207962632	80.0	-16.809002	17.293955	19.849998	-55.2	80.0	3 h 37 min 23 sec
3500	-13.530001259595156	80.0	-17.310001	14.0178175	11.799999	-58.4	80.0	3 h 40 min 48 sec
3550	-9.575001198798418	80.0	-18.263	17.526041	30.5	-54.7	80.0	3 h 44 min 31 sec
3600	-37.65500170476734	80.0	-14.279001	13.934877	16.4	-41.600002	80.0	3 h 47 min 44 sec
3650	-11.610000666230917	80.0	-11.209002	13.144196	14.649999	-46.000004	80.0	3 h 50 min 54 sec
3700	-23.10000115968287	80.0	-9.701001	14.786536	30.449999	-39.25	80.0	3 h 54 min 22 sec
3750	-20.780001275986432	80.0	-14.927001	14.428532	19.699999	-60.15	80.0	3 h 57 min 21 sec
3800	-9.32500116750598	80.0	-14.840001	17.149689	26.05	-54.600002	80.0	4 h 1 min 4 sec
3850	-14.020001228526235	80.0	-9.2560005	16.296934	31.25	-45.7	80.0	4 h 2 min 13 sec
3900	-11.795000647380949	80.0	-12.587001	16.11784	16.35	-48.350002	80.0	4 h 4 min 2 sec
3950	-28.420002171769738	80.0	-15.601001	15.609816	35.3	-43.050003	80.0	4 h 8 min 10 sec
4000	-24.60000144392252	80.0	-10.108001	15.790476	26.05	-45.050003	80.0	4 h 11 min 53 sec
4050	-15.465001327171922	80.0	-15.241001	17.928673	26.499998	-60.150005	80.0	4 h 15 min 43 sec
4100	-16.360001305118203	80.0	-12.358001	18.209223	26.849998	-58.750004	80.0	4 h 18 min 21 sec
4150	-20.950000956282018	80.0	-12.209002	16.142403	29.099998	-42.45	80.0	4 h 21 min 23 sec
4200	-25.145001284405588	80.0	-13.887002	16.614931	23.449999	-51.9	80.0	4 h 25 min 11 sec
4250	-1.2050007656216621	80.0	-10.394001	18.466259	21.599998	-66.9	80.0	4 h 28 min 26 sec
4300	-27.065001812577247	80.0	-15.393001	16.00623	21.599998	-50.55	80.0	4 h 31 min 22 sec
4350	-50.83000303357839	80.0	-14.655002	17.354397	25.15	-50.600002	80.0	4 h 34 min 49 sec
4400	-64.31500313766301	80.0	-15.146001	21.116674	28.349998	-67.9	80.0	4 h 36 min 12 sec
4450	-44.64500281251967	80.0	-14.92	16.766068	22.65	-77.55	80.0	4 h 39 min 15 sec
4500	-40.57000255361199	80.0	-13.711001	18.092457	23.199999	-54.600002	80.0	4 h 42 min 33 sec
4550	-38.1250020403415	80.0	-11.813003	16.54017	23.05	-51.25	80.0	4 h 46 min 2 sec
4600	-14.515001630038023	80.0	-9.861001	15.247115	38.35	-33.25	80.0	4 h 49 min 26 sec
4650	-17.060001306980848	80.0	-8.468001	16.079327	17.749998	-41.0	80.0	4 h 52 min 29 sec
4700	-11.760001377016305	80.0	-13.296002	17.207287	18.4	-54.300003	80.0	4 h 55 min 46 sec
4750	-12.610001453757286	80.0	-12.033002	17.557247	25.65	-60.45	80.0	4 h 58 min 58 sec
4800	-17.910001423209906	80.0	-11.755001	18.830334	29.999998	-87.3	80.0	5 h 2 min 5 sec
4850	-10.28000092767179	80.0	-10.832002	18.062698	27.849998	-47.100002	80.0	5 h 5 min 51 sec
4900	-11.670000963285565	80.0	-10.458	16.538351	20.65	-40.7	80.0	5 h 8 min 51 sec
4950	-12.500001383200289	80.0	-7.2540007	17.395786	35.75	-40.100002	80.0	5 h 12 min 5 sec
5000	-18.81000154465437	80.0	-8.124001	16.64004	34.25	-44.100002	80.0	5 h 15 min 8 sec
5050	-44.410002286732194	80.0	-14.841	17.955784	25.449999	-46.100002	80.0	5 h 18 min 11 sec
