Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-335.16562	10.707228	-313.5	-351.80002	100.0	16.0	120000	4.9360096e-08	5.418408	-0.009374206	-4.3041234	3.4829245	0.007566821	0.059858333	49.0	59.186283111572266
1	-329.14374	6.0801673	-315.4	-340.2	100.0	32.0	240000	2.4447218e-09	1.194879	-0.008414086	-0.14865	3.4712293	0.008444084	0.05375833	49.0	113.65681529045105
2	-326.1875	7.4128375	-310.95	-342.15	100.0	48.0	360000	-5.675247e-09	1.0499718	-0.008747803	-0.04622017	3.4559057	0.007339183	0.059316665	49.0	167.20874404907227
3	-318.03128	7.5419645	-298.2	-328.45	100.0	64.0	480000	-8.614734e-09	0.9575617	-0.009974778	-0.03869716	3.4423676	0.0075883893	0.061041668	49.0	220.8752477169037
4	-311.14062	7.919347	-294.4	-324.65	100.0	80.0	600000	-1.0244548e-08	0.94499326	-0.010749823	-0.05692684	3.417997	0.00744665	0.067025006	49.0	276.31814455986023
5	-305.6375	10.841652	-271.5	-316.9	100.0	96.0	720000	2.7939677e-09	0.8858415	-0.0117852045	-0.0377801	3.3966475	0.008034918	0.07085833	49.0	330.0936689376831
6	-300.78748	13.519264	-274.1	-315.4	100.0	112.0	840000	2.561137e-09	0.8290543	-0.013090986	-0.06739178	3.3684168	0.0074892915	0.087950006	49.0	390.11193561553955
7	-290.54376	21.351385	-243.8	-317.7	100.0	128.0	960000	-9.313226e-10	1.1667643	-0.013810458	-0.11165961	3.3207161	0.0089837285	0.082025	49.0	445.0328805446625
8	-263.1906	22.128073	-206.85	-294.7	100.0	144.0	1080000	3.7252903e-09	1.4401639	-0.014717955	-0.08327818	3.274239	0.008524766	0.08281667	49.0	498.63729071617126
9	-263.91565	29.610294	-193.65001	-298.25	100.0	160.0	1200000	3.7252903e-09	1.7108417	-0.013880571	-0.08509361	3.2287	0.0067971204	0.071550004	49.0	550.627767086029
10	-259.86563	47.78182	-147.0	-302.1	100.0	176.0	1320000	0.0	2.1478817	-0.013742706	-0.18453266	3.1944735	0.0076747295	0.067600004	49.0	608.5563840866089
11	-245.12814	56.549255	-116.600006	-301.1	100.0	192.0	1440000	-4.656613e-09	3.1645596	-0.013796808	-0.24261317	3.148676	0.0069350437	0.070225	49.0	659.4938218593597
12	-204.90625	47.34656	-112.0	-289.75	100.0	208.0	1560000	-4.1909516e-09	3.3716626	-0.013643153	-0.328	3.1041303	0.007006396	0.064383335	49.0	712.6544682979584
13	-188.9125	52.2329	-113.4	-288.5	100.0	224.0	1680000	4.656613e-09	5.01928	-0.013625297	-0.40778387	3.0541663	0.0076016504	0.06903334	49.0	763.7652318477631
14	-184.61249	77.06363	-41.65	-290.9	100.0	240.0	1800000	9.313226e-10	6.0765977	-0.013393877	-0.62400854	3.009912	0.0066999225	0.066591665	49.0	828.8933575153351
15	-212.13751	51.364574	-103.100006	-287.30002	100.0	256.0	1920000	-1.8626451e-09	5.008573	-0.012893796	-0.53925955	2.9836223	0.0066373656	0.06278333	49.0	886.1030383110046
16	-177.3125	60.37806	-99.3	-288.6	100.0	272.0	2040000	1.8626451e-09	5.2361937	-0.012970158	-0.41499045	2.958827	0.0069983127	0.07236667	49.0	941.4342675209045
17	-149.49687	52.133247	-38.850002	-241.55	100.0	288.0	2160000	-2.3283064e-09	5.8114424	-0.012900481	-0.441265	2.9037864	0.0072376034	0.06835	49.0	1004.6928954124451
18	-190.00311	69.04454	-17.550003	-291.5	100.0	304.0	2280000	3.7252903e-09	7.3270497	-0.012610298	-1.3323827	2.878281	0.00709855	0.064475	49.0	1064.5170261859894
19	-162.74063	74.19095	-25.800003	-260.6	100.0	320.0	2400000	2.7939677e-09	7.810295	-0.012432335	-0.8575137	2.857654	0.0073416587	0.070358336	49.0	1122.7285704612732
20	-119.15313	82.13175	33.699997	-271.7	100.0	336.0	2520000	-5.122274e-09	9.015358	-0.012399599	-0.8261533	2.8340752	0.0066643283	0.06690833	49.0	1174.5860750675201
21	-134.42813	73.91259	28.299997	-277.75	100.0	352.0	2640000	0.0	8.609053	-0.012483995	-0.7800135	2.7956688	0.0065094875	0.06381667	49.0	1233.6186192035675
22	-87.15938	104.634766	143.15	-263.9	100.0	368.0	2760000	3.7252903e-09	10.21848	-0.0128258765	-1.2025013	2.7895021	0.007844716	0.07855833	49.0	1295.751796722412
23	-158.52188	61.044827	-11.450003	-230.95	100.0	384.0	2880000	-3.0267984e-09	7.142995	-0.012837676	-0.85922974	2.7715015	0.008003276	0.090966664	49.0	1355.5248024463654
24	-110.762505	52.73387	-17.750004	-196.6	100.0	400.0	3000000	2.7939677e-09	6.211629	-0.012815105	-0.5888009	2.733317	0.0067550177	0.070141666	49.0	1421.330952167511
25	-48.793755	75.23647	106.7	-167.15001	100.0	416.0	3120000	0.0	9.752538	-0.013378245	-1.2247938	2.6881583	0.007674272	0.07656667	49.0	1482.8664429187775
26	-120.7375	84.261314	26.899996	-215.40001	100.0	432.0	3240000	-4.656613e-10	6.188736	-0.012389806	-0.57243896	2.68921	0.0073290626	0.06685833	49.0	1546.507884502411
27	-112.450005	90.20846	122.649994	-262.15	100.0	448.0	3360000	6.519258e-09	9.031883	-0.012990985	-1.1776567	2.660061	0.0073982426	0.07534167	49.0	1602.8884217739105
28	-47.584377	109.03257	160.65	-226.35	100.0	464.0	3480000	8.381903e-09	9.591192	-0.012470477	-1.0549865	2.6446395	0.008303777	0.0741	49.0	1664.397298336029
29	-90.165634	71.94274	41.749996	-239.90001	100.0	480.0	3600000	-3.7252903e-09	9.331383	-0.012604799	-0.8639624	2.5926163	0.006371464	0.074483335	49.0	1721.7067077159882
30	-67.96251	112.331085	200.05	-211.25	100.0	496.0	3720000	-5.5879354e-09	8.503408	-0.012472247	-0.7169367	2.5783195	0.009006967	0.08535001	49.0	1781.3798651695251
31	-74.4875	84.498474	110.149994	-210.5	100.0	512.0	3840000	-9.313226e-10	10.808094	-0.012899978	-1.0618436	2.533448	0.009112884	0.084808335	49.0	1845.3764724731445
32	-54.450005	73.62171	130.0	-145.65001	100.0	528.0	3960000	9.313226e-10	9.036026	-0.0123664765	-0.93289006	2.5431938	0.0066036433	0.071333334	49.0	1909.0777134895325
33	-20.831251	67.93138	129.55	-134.15001	100.0	544.0	4080000	3.259629e-09	9.147778	-0.012517406	-0.9136263	2.4576554	0.007759382	0.07745833	49.0	1971.6118874549866
34	-36.100006	87.95873	81.899994	-161.95	100.0	560.0	4200000	4.8894435e-09	8.935095	-0.012241001	-0.8034258	2.459215	0.007077149	0.0713	49.0	2035.4516248703003
35	-23.015629	92.77718	202.09999	-193.75	100.0	576.0	4320000	-1.8626451e-09	10.013882	-0.012317861	-1.2159172	2.4239268	0.008054424	0.07750833	49.0	2095.6117734909058
36	-0.80000305	88.298836	140.3	-148.15001	100.0	592.0	4440000	4.4237822e-09	9.9430065	-0.012392443	-1.026427	2.443059	0.0069380384	0.07436667	49.0	2154.9734723567963
37	11.878121	106.23868	193.8	-124.450005	100.0	608.0	4560000	7.450581e-09	13.970715	-0.012251196	-1.3760003	2.363525	0.006647518	0.073475	49.0	2208.6998710632324
38	24.321873	99.973114	279.6	-138.65001	100.0	624.0	4680000	0.0	13.992486	-0.01256871	-1.559658	2.3610234	0.007287491	0.078575	49.0	2263.7549526691437
39	-18.300005	92.78516	215.59999	-183.8	100.0	640.0	4800000	7.450581e-09	11.372634	-0.012660285	-1.7225254	2.3286028	0.0072845523	0.080016665	49.0	2325.1262831687927
40	49.371872	157.33296	306.9	-188.7	100.0	656.0	4920000	5.5879354e-09	14.722768	-0.012883247	-2.0066576	2.3604844	0.0082925595	0.08325	49.0	2388.159954071045
41	61.243744	143.75461	260.9	-196.15001	100.0	672.0	5040000	1.8626451e-09	14.832642	-0.012217393	-2.527619	2.2700016	0.006543313	0.071883336	49.0	2450.8849515914917
42	34.149994	128.1955	278.4	-178.35	100.0	688.0	5160000	1.2805685e-09	13.21842	-0.012238661	-1.4291711	2.257298	0.0076612527	0.07865	49.0	2511.881199836731
43	40.28529	123.760086	302.94998	-179.85	100.0	705.0	5280000	-9.313226e-09	12.858478	-0.012487274	-1.5443671	2.2272503	0.0080609135	0.08264166	49.0	2574.0425555706024
44	51.893745	118.60155	281.15	-144.90001	100.0	721.0	5400000	-5.5879354e-09	11.437309	-0.012285436	-1.2155405	2.2704887	0.006836258	0.076908335	49.0	2634.7517302036285
45	75.87813	155.33125	380.69998	-141.45	100.0	737.0	5520000	-3.7252903e-09	14.788986	-0.012416588	-1.2669629	2.1980326	0.007464966	0.081308335	49.0	2701.058576822281
46	77.00937	170.34311	358.5	-156.40001	100.0	753.0	5640000	9.313226e-10	13.391819	-0.012318368	-1.5685263	2.1901984	0.0079231495	0.07715	49.0	2766.067647218704
47	51.352768	156.8696	346.2	-263.25	100.0	771.0	5760000	-4.8894435e-09	14.420752	-0.01203379	-1.4376956	2.148728	0.0073126885	0.078158334	49.0	2827.8085062503815
48	73.141174	143.08282	270.45	-201.05	100.0	788.0	5880000	9.313226e-10	12.85437	-0.0120915435	-1.4165485	2.1668816	0.0071323616	0.0721	49.0	2886.2545442581177
49	66.641174	109.428185	277.2	-97.25001	100.0	805.0	6000000	9.313226e-10	15.780561	-0.012236983	-1.6967824	2.1008348	0.007285266	0.076908335	49.0	2951.034943342209
50	45.837498	120.151825	249.55	-149.65001	100.0	821.0	6120000	-9.313226e-10	12.877126	-0.012138953	-1.349942	2.109572	0.00687755	0.074175	49.0	3004.884427547455
51	22.847216	125.71451	334.15	-163.2	100.0	839.0	6240000	5.5879354e-09	12.781311	-0.01226457	-1.7653346	2.0834477	0.0075310664	0.082025	49.0	3056.5718874931335
52	92.609375	113.07639	324.3	-66.100006	100.0	855.0	6360000	0.0	18.28138	-0.011695353	-3.5802183	2.085814	0.007849715	0.07925834	49.0	3122.174859523773
53	111.19706	123.71439	371.5	-167.55	100.0	872.0	6480000	3.7252903e-09	15.710825	-0.01255505	-2.3311725	2.0415998	0.0076208953	0.080225	49.0	3183.7949347496033
54	113.76944	118.20379	326.55	-90.200005	100.0	890.0	6600000	1.3969839e-09	14.407815	-0.01243265	-1.653503	2.0252848	0.0076293573	0.07724167	49.0	3240.9929077625275
55	135.34412	97.94031	345.94998	-17.400003	100.0	907.0	6720000	-7.450581e-09	16.086016	-0.011986347	-1.937916	1.9787837	0.0071953023	0.0797	49.0	3302.9480028152466
56	134.61874	174.8957	367.44998	-193.90001	100.0	923.0	6840000	-1.2805685e-08	18.953999	-0.011955297	-2.2260115	1.9974813	0.007068904	0.07873333	49.0	3364.0554707050323
57	135.18158	164.22162	443.69998	-164.35	100.0	942.0	6960000	3.259629e-09	18.348177	-0.011664001	-2.7820292	1.9636824	0.0066176346	0.07155834	49.0	3432.603906393051
58	173.82187	163.90585	475.15	-69.100006	100.0	958.0	7080000	3.7252903e-09	22.135874	-0.012303679	-4.7843733	1.9576408	0.008347192	0.08448333	49.0	3492.6526489257812
59	151.43234	212.05605	509.19998	-203.55	100.0	975.0	7200000	0.0	20.844147	-0.0124575365	-2.1633887	1.9528706	0.007256651	0.0789	49.0	3550.535671710968
60	176.75	120.711815	426.19998	-77.950005	100.0	992.0	7320000	0.0	22.684057	-0.011677068	-5.563625	1.9161927	0.0072584506	0.073641665	49.0	3610.2297172546387
61	165.60883	178.9582	568.95	-159.6	100.0	1009.0	7440000	-1.8626451e-09	20.185846	-0.012333768	-2.8361235	1.9077549	0.006501073	0.07704167	49.0	3669.584010362625
62	154.63235	137.44112	362.65	-186.15001	100.0	1026.0	7560000	3.7252903e-09	19.420122	-0.011928378	-3.2298043	1.8991876	0.0071662525	0.07820833	49.0	3729.9194724559784
63	223.73889	179.75017	633.2	-196.85	100.0	1044.0	7680000	9.313226e-09	21.397854	-0.01196574	-2.545905	1.8576412	0.007218087	0.07366666	49.0	3796.2889552116394
64	185.37059	148.75572	454.3	-159.7	100.0	1061.0	7800000	9.313226e-09	19.838081	-0.012262751	-2.250834	1.845833	0.007286369	0.08562501	49.0	3859.740752220154
65	238.4125	211.43552	569.05	-84.55	100.0	1077.0	7920000	3.7252903e-09	20.619743	-0.011829315	-1.7846655	1.8315053	0.0075312033	0.07985	49.0	3925.5507910251617
66	177.11389	183.60751	553.15	-150.2	100.0	1095.0	8040000	-6.519258e-09	20.86978	-0.011733165	-2.5832255	1.8276353	0.006852789	0.078725	49.0	3984.3799176216125
67	180.22223	190.15266	502.9	-225.55	100.0	1113.0	8160000	5.5879354e-09	16.460749	-0.011502228	-1.4819558	1.831019	0.0072122156	0.07865	49.0	4041.5316264629364
68	173.56316	147.85841	390.94998	-84.05	100.0	1132.0	8280000	1.0244548e-08	16.39389	-0.011043137	-1.6845683	1.7986691	0.0066201077	0.07028334	49.0	4098.783095359802
69	203.75833	114.88561	398.4	-35.850002	100.0	1150.0	8400000	-4.656613e-10	17.601873	-0.011225741	-1.5600554	1.7626325	0.007474011	0.07644167	49.0	4163.429984092712
70	214.91841	175.9916	586.05	-130.55	100.0	1169.0	8520000	-1.8626451e-09	17.738192	-0.011472112	-1.4532732	1.7803371	0.006938334	0.07823333	49.0	4229.452939987183
71	251.1639	187.52536	646.8	-40.9	100.0	1187.0	8640000	-7.450581e-09	23.00519	-0.0114959255	-2.388039	1.7269882	0.0076480494	0.08335	49.0	4293.39094209671
