Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-335.64374	10.362581	-316.05002	-354.0	100.0	16.0	120000	1.3178214e-07	5.838348	-0.0043707807	-4.5822406	3.4911323	0.012719365	0.061624996	49.0	25.851650714874268
1	-327.8875	11.642681	-302.5	-342.55002	100.0	32.0	240000	-2.0314474e-08	1.3099504	-0.0033708862	-0.1552968	3.480198	0.013459418	0.044716667	49.0	51.47301268577576
2	-321.34064	8.255191	-304.2	-334.95	100.0	48.0	360000	-6.4028427e-09	1.1485745	-0.0027142912	-0.022724867	3.4620032	0.0141240675	0.027433334	49.0	87.75826930999756
3	-319.28125	5.884405	-300.25	-326.35	100.0	64.0	480000	5.355105e-09	1.0740587	-0.003292734	-0.028199911	3.4399288	0.0131572075	0.029858334	49.0	126.19868874549866
4	-310.59686	11.007292	-285.4	-323.80002	100.0	80.0	600000	-9.546056e-09	0.95952034	-0.0037505876	-0.030827947	3.4037714	0.015031939	0.06604166	44.0	165.8467676639557
5	-308.70627	7.3048816	-289.65	-320.6	100.0	96.0	720000	1.2805685e-09	0.80737245	-0.004030372	-0.011937521	3.3763552	0.014947651	0.025391666	49.0	209.08790802955627
6	-305.78125	4.0419617	-299.25	-311.65	100.0	112.0	840000	-3.015157e-08	0.66934675	-0.0053275265	-0.016793959	3.3204718	0.015009118	0.07856667	29.0	246.59736680984497
7	-302.47186	5.128655	-294.1	-312.0	100.0	128.0	960000	-8.4983185e-09	0.5454887	-0.0057792487	-0.023880638	3.2666543	0.014845994	0.089675	49.0	289.27354645729065
8	-297.08438	3.1989148	-288.65	-303.0	100.0	144.0	1080000	8.8475645e-09	0.4734805	-0.0057218475	-0.024955593	3.1859398	0.0141314715	0.09901667	49.0	330.8413243293762
9	-293.90314	4.2140555	-286.5	-301.75	100.0	160.0	1200000	-3.0267984e-09	0.4595762	-0.0051570865	-0.03872019	3.0776963	0.014656209	0.16977501	49.0	372.5969035625458
10	-290.52814	3.8241415	-281.7	-297.4	100.0	176.0	1320000	-5.820766e-11	0.4074064	-0.004304887	-0.04026642	2.9566858	0.013908568	0.1153	49.0	414.82931661605835
11	-288.23438	3.1797545	-283.0	-293.7	100.0	192.0	1440000	3.7252903e-09	0.39304516	-0.0052052196	-0.028674465	2.8426783	0.014864423	0.16578333	49.0	456.44292402267456
12	-288.61566	3.5651834	-281.55002	-295.85	100.0	208.0	1560000	1.7462298e-09	0.3488372	-0.0035496256	-0.016927622	2.751496	0.010997864	0.0712	49.0	495.3679139614105
13	-288.54376	3.3461232	-281.15	-293.75	100.0	224.0	1680000	1.5250407e-08	0.34421855	-0.00355007	-0.01222476	2.6536932	0.013725705	0.12505	49.0	538.85236287117
14	-288.80313	3.5449152	-282.45	-293.05002	100.0	240.0	1800000	8.818461e-09	0.3339955	-0.002744433	-0.010719042	2.5373964	0.011540031	0.065741666	49.0	582.605420589447
