Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-164.46877	6.167217	-150.1	-172.75	100.0	24.0	80000	3.1199306e-07	5.980486	-0.0061753476	-4.7223296	3.4910502	0.013242384	0.0674375	49.0	20.319584608078003
1	-161.15208	4.7825303	-152.15001	-167.95	100.0	48.0	160000	-5.122274e-09	1.2264247	-0.004616252	-0.096089005	3.4748101	0.013369571	0.039449997	49.0	40.47697138786316
2	-158.46875	4.619608	-149.40001	-169.5	100.0	72.0	240000	-1.6996637e-08	1.1095123	-0.005253994	-0.015602037	3.457119	0.015005591	0.0642	41.0	60.728151082992554
3	-156.60417	3.3962579	-149.3	-165.0	100.0	96.0	320000	-6.9849193e-10	1.0210683	-0.0043721516	-0.024670392	3.4235375	0.015139066	0.0691625	40.0	82.09768891334534
4	-151.24583	4.9740753	-142.40001	-159.0	100.0	120.0	400000	2.4912879e-08	0.91407144	-0.0038976693	-0.040523075	3.3757906	0.013846427	0.054624997	49.0	104.88959431648254
5	-149.24583	3.994813	-140.7	-157.1	100.0	144.0	480000	2.818706e-08	0.7780695	-0.0047514434	-0.046614088	3.3296263	0.015154701	0.15224999	35.0	125.94538974761963
6	-147.21667	3.6272886	-137.85	-154.05	100.0	168.0	560000	-1.9732397e-08	0.58310735	-0.005445721	-0.045761146	3.2642608	0.015998324	0.36141253	9.0	144.93296551704407
7	-140.06876	5.3232756	-129.45	-148.75	100.0	192.0	640000	2.0954758e-09	0.55898446	-0.0033751891	-0.034863155	3.1514149	0.015785309	0.38005	7.0	164.36882090568542
8	-136.3	4.4337797	-129.35	-144.35	100.0	217.0	720000	2.7939677e-09	0.5452765	-0.004800439	-0.028412096	3.0396361	0.012933272	0.095775	49.0	185.58651089668274
9	-135.97885	5.0388136	-127.25	-144.95	100.0	243.0	800000	5.5879354e-09	0.52285624	-0.004747212	-0.017129358	2.9636033	0.014690515	0.0818875	49.0	207.18966269493103
10	-137.51666	3.4583127	-128.90001	-144.0	100.0	267.0	880000	8.614734e-09	0.5169746	-0.0039543053	-0.014440022	2.9036193	0.0145112425	0.069299996	49.0	229.60034370422363
11	-136.75835	3.370265	-129.0	-145.35	100.0	291.0	960000	-2.7939677e-09	0.5056386	-0.0037055397	-0.01153554	2.8285446	0.012243347	0.07385	49.0	250.482901096344
12	-136.71667	3.6238685	-126.9	-142.2	100.0	315.0	1040000	-1.3969839e-09	0.45754883	-0.003978454	-0.01355271	2.7736406	0.015116753	0.0873375	42.0	270.1181833744049
13	-136.15417	3.6540473	-126.8	-142.55	100.0	339.0	1120000	4.773028e-09	0.44036272	-0.0037492216	-0.014690161	2.682417	0.014766663	0.065712504	49.0	291.81624603271484
14	-138.44583	3.8921905	-131.1	-145.8	100.0	363.0	1200000	1.4901161e-08	0.3772769	-0.003164358	-0.011019949	2.6628735	0.013747003	0.06725	49.0	313.7619135379791
15	-137.91875	3.2610986	-128.7	-143.55	100.0	387.0	1280000	-6.7520887e-09	0.36794525	-0.00424122	-0.007943448	2.597948	0.012632062	0.06405	49.0	334.89120745658875
16	-139.79584	2.9486542	-134.3	-145.3	100.0	411.0	1360000	-5.5879354e-09	0.3770875	-0.0033122508	-0.009570692	2.5142179	0.009345574	0.0696875	49.0	357.20098423957825
17	-139.93542	2.2953517	-136.25	-144.45	100.0	435.0	1440000	5.7625584e-09	0.38647678	-0.0038764207	-0.007610835	2.4809504	0.013342265	0.043887503	49.0	377.38072323799133
18	-140.2375	3.3413823	-133.65001	-145.25	100.0	459.0	1520000	1.094304e-08	0.3995229	-0.0032382295	-0.0063919164	2.4465187	0.010984976	0.042537503	49.0	399.5437889099121
19	-140.11876	2.8083134	-133.8	-145.2	100.0	483.0	1600000	-1.9790605e-09	0.4079852	-0.0034453333	-0.008793227	2.4155028	0.011732375	0.07015	49.0	421.99960565567017
20	-141.43542	3.3113585	-133.55	-145.15001	100.0	507.0	1680000	-1.8626451e-09	0.4238906	-0.0027967643	-0.0072193407	2.336027	0.011302881	0.041125	49.0	443.91743516921997
21	-141.82292	1.697485	-137.35	-145.3	100.0	531.0	1760000	5.5879354e-09	0.41365096	-0.0028788932	-0.0045909584	2.3288717	0.008210128	0.037125	49.0	463.718297958374
22	-142.32918	2.1330194	-135.90001	-145.40001	100.0	555.0	1840000	4.1909516e-09	0.4239643	-0.003358549	-0.0028441735	2.3127556	0.012503481	0.0522125	49.0	485.0220091342926
23	-142.57709	2.3495107	-136.45	-145.6	100.0	579.0	1920000	-6.519258e-09	0.41763225	-0.0030478472	-0.0032144748	2.2456372	0.006520494	0.032337498	49.0	507.6851909160614
24	-142.76459	2.1766036	-135.8	-145.2	100.0	603.0	2000000	-5.122274e-09	0.43399793	-0.0031598378	-0.0028874092	2.2084248	0.008795196	0.0254375	49.0	532.4821569919586
25	-142.69374	2.1706517	-138.55	-145.45	100.0	627.0	2080000	-5.2386895e-09	0.44915527	-0.0026579276	-0.004630696	2.2057765	0.0074527273	0.043087497	49.0	555.9384210109711
26	-141.50835	2.8286726	-135.05	-145.65001	100.0	651.0	2160000	8.96398e-09	0.44520342	-0.0025924365	-0.0020082928	2.2056508	0.011744236	0.0273	49.0	577.6887655258179
27	-142.7375	2.4284863	-136.95	-145.5	100.0	675.0	2240000	-2.3283064e-10	0.41994035	-0.0027365324	-0.004494332	2.1405365	0.0076384544	0.0048749996	49.0	600.2106549739838
28	-143.45834	1.8784794	-139.40001	-145.40001	100.0	699.0	2320000	-2.3283064e-09	0.41716698	-0.0033313422	-0.006590154	2.1145024	0.010422446	0.0418	49.0	621.8155326843262
29	-143.63335	1.8493624	-137.55	-145.55	100.0	723.0	2400000	1.6298145e-09	0.42151076	-0.0024277046	-0.008445989	2.1091545	0.00971769	0.0208375	49.0	643.5534956455231
30	-143.08125	1.9731432	-139.35	-145.55	100.0	747.0	2480000	5.8789738e-09	0.41336113	-0.0025737563	-0.0031865798	2.0976622	0.009594611	0.02095	49.0	665.4841516017914
31	-143.88959	1.6953963	-138.85	-145.2	100.0	771.0	2560000	2.0954758e-09	0.4429059	-0.0035666479	-0.003722906	2.0733612	0.010741726	0.07165	49.0	687.1974329948425
32	-144.41042	1.0797353	-142.0	-145.55	100.0	795.0	2640000	3.958121e-09	0.41924524	-0.0026274987	-0.009071611	2.0190737	0.008969229	0.037924998	49.0	709.0150580406189
33	-143.91875	1.5779607	-139.55	-145.5	100.0	819.0	2720000	4.8894435e-09	0.44666675	-0.002126984	-0.010436371	2.0220432	0.009052379	0.0345	49.0	731.974048614502
34	-144.27708	1.3721918	-140.6	-145.5	100.0	843.0	2800000	-1.1641532e-10	0.45417142	-0.0023619577	-0.006494306	2.0455468	0.008103833	0.033375002	49.0	752.2056546211243
35	-144.51042	0.9842483	-141.75	-145.2	100.0	867.0	2880000	2.339948e-08	0.42988285	-0.002374792	-0.0049907416	2.0389597	0.008888787	0.028099999	49.0	773.0609135627747
36	-143.4375	2.1739092	-136.3	-145.3	100.0	891.0	2960000	4.4237822e-09	0.47209713	-0.002870956	-0.007244922	2.0736523	0.007881839	0.0254125	49.0	793.2679092884064
37	-144.41042	1.0736399	-141.25	-145.2	100.0	915.0	3040000	1.8626451e-09	0.4385833	-0.002233985	-0.0026698597	2.0475197	0.00803511	0.034537498	49.0	814.9383080005646
38	-144.64583	0.76293194	-142.55	-145.1	100.0	939.0	3120000	-1.3969839e-09	0.4346307	-0.0023438435	-0.007321533	2.0275846	0.0073025543	0.026124999	49.0	835.4079575538635
39	-144.15417	1.2757268	-141.65001	-145.35	100.0	963.0	3200000	5.820766e-11	0.4456295	-0.002992943	-0.004110664	2.00082	0.009364198	0.060625	49.0	856.7605550289154
40	-144.55417	0.93585074	-141.45	-145.40001	100.0	987.0	3280000	-1.7462298e-10	0.44577986	-0.002258518	-0.0067109056	1.9943764	0.008012078	0.043700002	49.0	878.2676992416382
41	-145.01459	0.060344778	-144.85	-145.2	100.0	1011.0	3360000	-1.1059456e-08	0.44100085	-0.001911707	-0.0034887716	1.9721253	0.006223794	0.020437501	49.0	900.8171443939209
42	-144.9771	0.26924998	-143.8	-145.55	100.0	1035.0	3440000	4.773028e-09	0.45106742	-0.002432393	-0.0038138554	1.9280729	0.0087735485	0.0262	49.0	922.7007253170013
43	-144.44583	0.9451537	-141.85	-145.15001	100.0	1059.0	3520000	-9.778887e-09	0.44638196	-0.002309622	-0.0046331435	1.8892474	0.008075394	0.01835	49.0	945.035311460495
44	-144.60834	0.979866	-141.05	-145.1	100.0	1083.0	3600000	2.3283064e-09	0.43731496	-0.0025309008	-0.003278207	1.8762171	0.008563546	0.03125	49.0	966.154771566391
45	-144.76459	0.73491466	-142.0	-145.1	100.0	1107.0	3680000	-9.313226e-10	0.4664576	-0.002321504	-0.0063744187	1.8610625	0.006642945	0.0237875	49.0	988.7289578914642
46	-144.6875	0.7468331	-142.2	-145.1	100.0	1131.0	3760000	-3.0267984e-09	0.46347305	-0.0023030816	-0.003671702	1.8374248	0.0055555543	0.03035	49.0	1012.8415596485138
47	-144.85625	0.46955404	-142.85	-145.0	100.0	1155.0	3840000	-3.085006e-09	0.46125877	-0.0029236712	-0.0023503713	1.8559189	0.0074640745	0.045475	49.0	1033.848822593689
48	-144.93959	0.39921227	-143.05	-145.3	100.0	1179.0	3920000	1.2922101e-08	0.43506283	-0.0025439414	-0.010441788	1.8382766	0.007861195	0.0195125	49.0	1057.0329723358154
49	-144.87083	0.4674646	-143.05	-145.1	100.0	1203.0	4000000	1.071021e-08	0.41652334	-0.0023229772	-0.009274825	1.8498895	0.0063057556	0.0195875	49.0	1079.474770784378
50	-144.87917	0.5794951	-142.1	-145.0	100.0	1227.0	4080000	6.344635e-09	0.4340162	-0.002159795	-0.010078654	1.8198676	0.0059563103	0.0130125005	49.0	1102.6089911460876
51	-144.95625	0.30114767	-143.55	-145.3	100.0	1251.0	4160000	-1.8626451e-09	0.42200333	-0.0027345219	-0.0054194853	1.8133686	0.007039373	0.0210375	49.0	1125.1281282901764
52	-144.71251	0.81869227	-141.90001	-145.1	100.0	1275.0	4240000	3.259629e-09	0.45940876	-0.0025776757	-0.008144479	1.8399379	0.009410992	0.018550001	49.0	1146.8013927936554
53	-144.81874	0.6414187	-142.05	-145.0	100.0	1299.0	4320000	-1.8626451e-09	0.41478196	-0.002516983	-0.006765388	1.8663787	0.0067626648	0.0267375	49.0	1169.314578294754
54	-144.85834	0.49574378	-142.90001	-145.1	100.0	1323.0	4400000	1.8626451e-08	0.45835075	-0.002506582	-0.005573701	1.8439	0.006949994	0.019925	49.0	1191.634373664856
55	-144.84792	0.70022017	-141.5	-145.1	100.0	1347.0	4480000	-5.122274e-09	0.43300748	-0.0021205903	-0.007902965	1.8537548	0.0076702526	0.050825	49.0	1213.998114824295
56	-144.91042	0.3415581	-143.5	-145.1	100.0	1371.0	4560000	5.122274e-09	0.43413603	-0.0027661428	-0.0064292513	1.874414	0.011131324	0.036512498	49.0	1235.882295846939
57	-144.95416	0.26296344	-143.7	-145.1	100.0	1395.0	4640000	1.1059456e-08	0.42487553	-0.0024932656	-0.0051328577	1.8481433	0.0062466874	0.0228	49.0	1257.342212677002
58	-144.67708	0.88681984	-141.65001	-145.1	100.0	1419.0	4720000	5.5879354e-09	0.44041094	-0.0022590188	-0.0041272417	1.7989781	0.0054182084	0.0160375	49.0	1280.6883325576782
59	-145.0	0.0	-145.0	-145.0	100.0	1443.0	4800000	6.519258e-09	0.43444252	-0.0024090451	-0.0051549748	1.8397148	0.008242635	0.034075	49.0	1303.6961388587952
