Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-145.00000216066837	100.0	-170.108	10.101813	-146.3	-199.65001	100.0	4 min 25 sec
100	-428.41001702956856	100.0	-149.97601	41.438293	-78.700005	-413.50003	100.0	8 min 51 sec
150	-151.81000285446643	100.0	-150.489	47.42049	-90.75	-386.0	100.0	13 min 7 sec
200	-434.4400172561407	100.0	-153.41402	54.65922	-80.8	-353.25	100.0	17 min 31 sec
250	-176.41500427499415	100.0	-146.388	52.44709	-69.9	-401.00003	100.0	21 min 49 sec
300	-323.39001232646405	100.0	-138.337	45.435577	-45.200005	-356.5	100.0	26 min 14 sec
350	-141.41000299155712	100.0	-128.212	28.533194	-62.450005	-202.40001	100.0	30 min 30 sec
400	-206.05000668428838	100.0	-123.49801	46.384678	29.799995	-242.70001	100.0	34 min 49 sec
450	-214.2500065676868	100.0	-100.958	43.972515	134.84999	-189.15001	100.0	39 min 9 sec
500	-189.13000534139573	100.0	-95.798004	58.717304	80.75	-238.90001	100.0	43 min 31 sec
550	-176.42000516206025	100.0	-68.15901	69.705315	231.65	-146.35	100.0	47 min 53 sec
600	-109.97500429749489	100.0	-49.364002	59.40659	94.75	-140.25	100.0	52 min 17 sec
650	-178.0600062325597	100.0	-24.702003	70.54615	160.7	-131.8	100.0	56 min 44 sec
700	-97.6700049225241	100.0	22.723997	87.90768	206.2	-128.05	100.0	1 h 1 min
750	-167.3000065729022	100.0	49.979996	89.35061	223.9	-96.9	100.0	1 h 5 min
800	-194.3700075890869	100.0	53.384	101.31703	227.8	-192.05	100.0	1 h 9 min
850	-231.87001099474728	100.0	91.363	116.43754	285.8	-130.1	99.12	1 h 14 min
900	-35.59000734053552	100.0	96.379005	105.7048	309.05	-111.3	98.48	1 h 18 min
950	-0.44000536762177944	100.0	108.159	106.58698	296.35	-129.55	99.2	1 h 23 min
1000	160.92999639324844	97.6	112.835	109.719955	325.55	-103.3	97.84	1 h 27 min
