Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-295.00000439584255	100.0	-329.86298	10.036527	-298.6	-347.1	100.0	8 min 31 sec
100	-266.47000540755687	100.0	-293.25	35.07003	-224.3	-458.7	100.0	19 min 36 sec
150	-313.4100058712065	100.0	-269.451	35.115852	-196.6	-376.2	100.0	33 min 44 sec
200	-262.42500561252234	100.0	-258.99402	48.888546	-147.90001	-429.1	100.0	46 min 55 sec
250	-272.2900062423199	100.0	-238.35	41.798374	-122.25001	-286.05002	100.0	59 min 18 sec
300	-289.0100082438439	100.0	-221.21	56.61967	-27.650005	-303.30002	100.0	1 h 13 min
350	-281.96000617444514	100.0	-216.482	50.4677	-85.9	-326.35	100.0	1 h 25 min
400	-266.5000071391463	100.0	-194.57002	76.912056	149.15	-294.15	100.0	1 h 38 min
450	-338.3350123286247	100.0	-185.798	72.14398	11.749995	-294.45	100.0	1 h 49 min
500	-120.8700049765408	100.0	-173.96703	89.514465	155.55	-334.55002	100.0	2 h 1 min
550	-167.18000608384608	100.0	-182.125	86.55519	167.75	-272.75	100.0	2 h 14 min
600	-179.0800061479211	100.0	-154.353	93.18497	147.9	-301.65	100.0	2 h 28 min
650	-204.40000603944063	100.0	-168.301	100.45576	79.35	-292.9	100.0	2 h 44 min
700	-174.64000558555125	100.0	-145.682	97.37756	231.59999	-262.2	100.0	2 h 57 min
750	-207.8200066383928	100.0	-148.17	111.54962	252.5	-282.85	100.0	3 h 11 min
800	-227.43000642098485	100.0	-144.37201	117.338394	236.25	-274.4	100.0	3 h 24 min
850	-58.41000585593283	100.0	-139.30902	98.01751	51.449997	-296.0	100.0	3 h 39 min
900	-225.1750067640096	100.0	-150.51901	114.334045	216.84999	-320.4	100.0	3 h 53 min
950	-160.1250055246055	100.0	-135.591	96.58956	65.45	-368.35	100.0	4 h 8 min
1000	-147.24500537067652	100.0	-123.579	106.75755	210.05	-288.25	100.0	4 h 22 min
1050	-173.79000460356474	100.0	-159.71901	111.37795	187.75	-290.80002	100.0	4 h 36 min
1100	-98.82500573769212	100.0	-134.98001	117.086784	184.75	-291.25	100.0	4 h 49 min
1150	-216.74000527113677	100.0	-165.973	98.54023	203.65	-281.85	100.0	5 h 3 min
1200	-176.57500553503633	100.0	-171.73401	88.02068	22.349995	-298.5	100.0	5 h 17 min
1250	-273.66000665277244	100.0	-222.50099	107.856316	146.04999	-413.2	100.0	5 h 31 min
1300	-191.0300065319985	100.0	-204.76201	87.09503	-9.850005	-357.7	100.0	5 h 46 min
1350	-191.83500452600418	100.0	-197.84698	88.947	240.05	-307.7	100.0	6 h 2 min
1400	-246.86500541754066	100.0	-176.696	89.9707	150.04999	-303.80002	100.0	6 h 18 min
1450	-198.51000694222748	100.0	-181.725	88.49185	82.299995	-303.05002	100.0	6 h 36 min
1500	-240.50000711493195	100.0	-207.63002	79.41543	75.74999	-323.05002	100.0	6 h 53 min
1550	-201.21000584587455	100.0	-186.255	99.92665	98.899994	-334.15002	100.0	7 h 11 min
1600	-198.6000058375299	100.0	-207.48997	85.515335	2.749994	-321.4	100.0	7 h 28 min
1650	-229.1350064266473	100.0	-190.394	112.6028	136.54999	-322.7	100.0	7 h 46 min
1700	-175.4700064945966	100.0	-205.60002	95.53079	28.899994	-362.80002	100.0	8 h 4 min
1750	-220.34000584036113	100.0	-188.27803	103.74025	55.049995	-334.35	100.0	8 h 21 min
1800	-220.56000546067952	100.0	-196.155	83.36886	22.349993	-328.7	100.0	8 h 38 min
1850	-227.7600048933178	100.0	-196.68199	95.76532	73.59999	-368.65002	100.0	8 h 56 min
1900	-231.91000609472394	100.0	-185.544	98.611435	53.549995	-316.2	100.0	9 h 13 min
1950	-252.60000686235725	100.0	-186.284	112.48073	102.1	-351.05002	100.0	9 h 31 min
2000	-238.1900057066232	100.0	-186.41302	103.413506	92.49999	-301.6	100.0	9 h 48 min
2050	-171.0950052972883	100.0	-176.78001	114.06157	130.84999	-303.7	100.0	10 h 5 min
2100	-192.25000558756292	100.0	-201.438	76.906715	-8.450006	-310.15	100.0	10 h 23 min
2150	-196.1550052985549	100.0	-177.40604	110.92389	158.8	-298.9	100.0	10 h 40 min
2200	-142.5500043924898	100.0	-175.33302	102.022835	65.7	-304.35	100.0	10 h 58 min
