Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-636.1937	11.638857	-621.05	-654.8	100.0	8.0	120000	6.3097104e-08	4.778275	-0.010756997	-3.6099546	3.4863105	0.006525687	0.05833333	49.0	67.61824417114258
1	-641.5813	11.5123005	-622.75	-654.9	100.0	16.0	240000	5.052425e-08	1.0602293	-0.011004306	-0.21671636	3.4803457	0.006383607	0.06216667	49.0	142.38051295280457
2	-610.5813	14.398505	-580.3	-632.65	100.0	24.0	360000	2.7008355e-08	0.8879564	-0.012017588	-0.02789361	3.4722776	0.006061893	0.067175	49.0	213.08400177955627
3	-615.5688	12.209287	-598.75	-632.75	100.0	32.0	480000	4.307367e-09	0.85622597	-0.012355448	-0.015626058	3.4618804	0.006035813	0.06876667	49.0	282.90312600135803
4	-625.3875	17.322659	-593.60004	-649.05	100.0	40.0	600000	-1.7607817e-08	0.8312974	-0.0132808285	-0.015264116	3.4506524	0.0073543284	0.079500005	49.0	353.0900967121124
5	-607.9313	16.574724	-586.85004	-635.95	100.0	48.0	720000	7.683411e-09	0.82344604	-0.01336272	-0.013733804	3.440261	0.0065892506	0.081125006	49.0	423.0471489429474
6	-609.7438	13.396759	-589.8	-629.15	100.0	56.0	840000	1.3969839e-08	0.79632026	-0.013499945	-0.014177568	3.4233549	0.006976354	0.07805	49.0	491.21188473701477
7	-614.42505	9.582577	-600.45	-630.60004	100.0	64.0	960000	-4.2491592e-09	0.7493912	-0.01382838	-0.013576917	3.4103718	0.007091096	0.08731666	49.0	562.7923829555511
8	-613.21875	5.8896074	-605.0	-622.5	100.0	72.0	1080000	6.9849193e-10	0.7337347	-0.013594918	-0.015009575	3.3896148	0.007302819	0.083683334	49.0	633.8259875774384
9	-605.86255	8.754136	-588.25	-620.25	100.0	80.0	1200000	6.9849193e-10	0.73160094	-0.014737492	-0.014993936	3.369397	0.0070978003	0.09305833	49.0	705.2058656215668
10	-598.15625	8.83595	-583.9	-611.85004	100.0	88.0	1320000	4.656613e-09	0.70018536	-0.014092388	-0.013285831	3.3458023	0.00693994	0.08561666	49.0	774.5806005001068
11	-598.6188	12.3538685	-580.3	-620.8	100.0	96.0	1440000	3.4924597e-09	0.71738964	-0.0140036065	-0.018560953	3.3156927	0.007328582	0.08325833	49.0	847.3442063331604
12	-589.3125	14.061999	-569.7	-613.45	100.0	104.0	1560000	9.313226e-10	0.7075419	-0.014389764	-0.015309669	3.2959075	0.0076635485	0.08601667	49.0	923.6046509742737
13	-577.98126	10.59772	-563.7	-598.25	100.0	112.0	1680000	-2.7939677e-09	0.7073988	-0.015388774	-0.010610089	3.2734885	0.007869196	0.09085833	49.0	997.6638662815094
14	-577.98755	8.561605	-563.35004	-591.2	100.0	120.0	1800000	1.7811544e-08	0.74077785	-0.015006093	-0.022284873	3.2476516	0.007420267	0.091875	49.0	1070.3106830120087
15	-565.4437	15.623273	-546.9	-590.8	100.0	128.0	1920000	9.313226e-10	0.69770175	-0.01568786	-0.013035417	3.21411	0.0073428736	0.09499167	49.0	1139.346286058426
16	-559.26245	20.3835	-517.2	-582.15	100.0	136.0	2040000	7.450581e-09	0.7730781	-0.01609982	-0.023836926	3.186991	0.0073558046	0.09791666	49.0	1211.6200828552246
17	-534.94995	20.883583	-497.9	-563.35004	100.0	144.0	2160000	-1.14087015e-08	0.80550736	-0.01605905	-0.018330932	3.1588364	0.007140473	0.093258336	49.0	1285.672977924347
18	-543.21875	25.658766	-493.05002	-580.7	100.0	152.0	2280000	5.5879354e-09	0.87737715	-0.016463926	-0.013111636	3.1258821	0.0076488582	0.09858333	49.0	1355.1895484924316
19	-477.75623	41.455647	-397.65	-543.2	100.0	160.0	2400000	-8.1490725e-09	1.2400341	-0.017319066	-0.036780678	3.0961766	0.00778674	0.10428333	49.0	1432.155954360962
20	-491.05627	45.6272	-420.80002	-546.25	100.0	168.0	2520000	1.6763806e-08	1.2487617	-0.01701836	-0.029380202	3.0461874	0.007904667	0.099533334	49.0	1501.790715456009
21	-463.3188	64.93722	-351.5	-551.75	100.0	176.0	2640000	3.7252903e-09	2.0209353	-0.017743673	-0.083994046	2.9970791	0.008304072	0.1075	49.0	1575.5150220394135
22	-358.4	104.36633	-145.3	-507.80002	100.0	184.0	2760000	-7.450581e-09	3.0345583	-0.018060453	-0.11328484	2.9488878	0.009118287	0.11090833	49.0	1647.9624044895172
23	-426.275	118.487144	-173.40001	-536.60004	100.0	192.0	2880000	1.4901161e-08	2.8731554	-0.016832156	-0.063257724	2.8841133	0.007911287	0.109275	49.0	1718.6564245224
24	-400.96252	97.72356	-180.75	-518.5	100.0	200.0	3000000	9.313226e-10	3.1337771	-0.015761103	-0.06963611	2.821496	0.008842772	0.10425	49.0	1789.2187507152557
25	-303.94376	179.7672	42.449997	-542.10004	100.0	208.0	3120000	7.450581e-09	5.318728	-0.017067548	-0.30564713	2.7607012	0.008893475	0.107208334	49.0	1859.5468747615814
26	-264.36252	214.72821	30.549997	-488.6	100.0	216.0	3240000	7.450581e-09	6.195902	-0.015554016	-0.19507602	2.6867394	0.007971455	0.10345833	49.0	1932.8009095191956
27	-14.518753	256.1326	438.4	-401.4	100.0	224.0	3360000	-2.6077032e-08	9.544529	-0.015984394	-0.536692	2.6065354	0.009139283	0.11022501	49.0	2002.4446775913239
28	-175.6875	202.16777	140.9	-527.35004	100.0	232.0	3480000	0.0	10.23274	-0.014717331	-0.33502066	2.5274587	0.007621616	0.102025	49.0	2074.393011569977
29	-77.856255	93.9733	55.899998	-271.85	100.0	240.0	3600000	-5.5879354e-09	9.953655	-0.01481981	-0.37244606	2.4467611	0.008052174	0.100575	49.0	2148.661426782608
30	-32.11251	352.27777	619.45	-356.7	100.0	248.0	3720000	1.4901161e-08	14.319007	-0.014605884	-0.58970535	2.375486	0.007548755	0.09752499	49.0	2217.679634809494
31	63.224995	288.36893	749.65	-273.75	100.0	256.0	3840000	9.313226e-09	13.722842	-0.0138619235	-0.45621538	2.2914047	0.007240479	0.09808333	49.0	2291.982593536377
