Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-108.00000160932541	80.0	-94.56601	6.765777	-80.1	-110.35	80.0	1 min 8 sec
100	-189.10000896081328	80.0	-62.179005	36.353394	23.349997	-146.75	80.0	3 min 0 sec
150	-71.10001113638282	80.0	139.309	148.98466	500.3	-99.40001	80.0	4 min 56 sec
200	582.7999966852367	80.0	381.37097	156.32556	580.5	-58.300003	80.0	6 min 51 sec
250	578.3499973781406	80.0	518.34296	83.918434	592.8	122.35	80.0	8 min 46 sec
300	561.1949975684286	80.0	494.68704	123.954636	608.3	37.149998	80.0	10 min 39 sec
350	590.6999978162348	80.0	506.817	76.155045	584.85	216.7	80.0	12 min 33 sec
400	517.9399975191802	80.0	478.86102	73.20437	568.9	180.15	80.0	14 min 21 sec
450	537.2499977760017	80.0	383.496	138.09473	556.25	3.3999984	80.0	16 min 9 sec
500	430.0999975502491	80.0	456.19196	97.65485	576.6	140.0	80.0	18 min 0 sec
550	366.96999794021247	80.0	467.048	105.108345	596.05	136.2	80.0	19 min 53 sec
600	536.5999963134527	80.0	432.256	103.7435	582.3	133.55	80.0	21 min 45 sec
650	549.8499970212579	80.0	451.66	99.00752	597.3	176.7	80.0	23 min 39 sec
700	523.3899973094464	80.0	435.09097	117.782906	586.15	151.15	80.0	25 min 30 sec
750	504.39999698102474	80.0	462.89	97.09118	590.75	168.5	80.0	27 min 23 sec
800	556.7999971881509	80.0	460.382	124.77699	596.5	107.25	80.0	29 min 18 sec
850	536.0999972112477	80.0	498.12704	109.10024	598.45	12.249999	80.0	31 min 15 sec
900	566.2999965660274	80.0	501.21497	83.22297	609.35	149.05	79.78	33 min 12 sec
950	616.5499977841973	77.0	476.21695	139.17268	612.3	-80.3	79.88	35 min 8 sec
1000	589.8999977745116	80.0	493.344	134.44081	596.2	-5.9000034	80.0	37 min 3 sec
1050	595.2999980784953	80.0	514.751	95.46184	612.0	227.55	80.0	38 min 59 sec
1100	620.4999970346689	58.0	493.918	141.6927	646.9	116.9	79.56	40 min 52 sec
1150	588.4999973513186	80.0	473.98596	158.52899	670.2	100.15	78.48	42 min 44 sec
1200	576.9999971911311	80.0	465.048	157.3532	665.95	56.3	79.24	44 min 39 sec
1250	574.2999969609082	80.0	509.708	137.7967	651.85	49.649998	78.66	46 min 35 sec
1300	556.3999964892864	80.0	517.829	105.987915	604.95	209.4	80.0	48 min 30 sec
1350	582.9999965801835	80.0	526.17303	119.18859	655.85	150.0	77.16	50 min 24 sec
1400	570.9999964386225	80.0	513.693	131.30737	653.9	34.3	77.5	52 min 18 sec
1450	589.8999978415668	80.0	542.225	95.414825	658.0	220.25	76.54	54 min 12 sec
1500	599.6999979354441	80.0	573.545	80.901695	668.65	132.45	75.4	56 min 7 sec
1550	557.8999978192151	80.0	525.79706	125.14347	659.65	76.85	76.66	57 min 59 sec
1600	678.7499990165234	37.0	563.433	110.21596	664.45	114.0	74.18	59 min 46 sec
1650	595.5999977216125	80.0	565.342	86.91324	681.3	297.45	75.64	1 h 1 min
1700	595.6999972872436	80.0	547.338	138.09576	672.8	62.0	73.88	1 h 3 min
1750	678.6999990642071	38.0	559.339	139.62878	665.25	26.6	72.06	1 h 5 min
1800	618.7499978989363	77.0	526.21	186.65106	677.25	15.599998	69.76	1 h 7 min
1850	631.5499979630113	65.0	518.446	168.27554	676.1	46.699997	74.62	1 h 8 min
1900	591.5999970734119	80.0	540.906	154.41396	676.8	66.85	73.12	1 h 10 min
1950	600.7999975532293	80.0	562.065	120.198044	685.05	111.3	73.6	1 h 12 min
2000	597.8999974019825	80.0	540.331	125.46913	680.35	188.2	74.28	1 h 14 min
2050	608.6999979652464	80.0	553.705	129.57162	676.9	47.5	72.02	1 h 16 min
2100	573.4999961294234	80.0	527.506	186.01971	686.85	-25.550001	69.74	1 h 18 min
2150	683.4999992139637	36.0	576.94604	113.02889	677.55	190.4	68.74	1 h 20 min
2200	591.2999979369342	80.0	545.18396	156.71112	678.75	50.0	69.02	1 h 22 min
2250	684.5999991707504	34.0	540.415	154.01328	678.35	36.3	72.18	1 h 23 min
2300	667.949998755008	43.0	597.442	109.41238	685.15	10.349998	64.96	1 h 25 min
2350	624.6499976031482	65.0	618.55994	62.522675	684.45	411.45	61.72	1 h 27 min
2400	659.9499983377755	43.0	554.94006	138.49876	687.65	135.4	69.0	1 h 29 min
2450	682.1999990455806	34.0	561.372	146.77278	684.05	-33.600002	64.86	1 h 31 min
2500	660.2999987080693	50.0	573.89294	124.06405	683.8	40.1	68.2	1 h 32 min
2550	675.049999024719	41.0	565.376	145.37376	678.9	-4.4	66.02	1 h 34 min
2600	666.5999986343086	42.0	601.99603	93.346146	684.75	312.05	62.18	1 h 36 min
2650	682.4999991618097	36.0	578.401	136.75143	685.0	139.45	60.18	1 h 38 min
