Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-164.96458	5.8760724	-153.5	-174.8	100.0	24.0	80000	1.9697472e-07	5.941394	-0.012662681	-4.7838926	3.4860003	0.007012627	0.0622625	49.0	33.90030121803284
1	-159.69376	6.9315596	-143.90001	-170.85	100.0	48.0	160000	-1.3737008e-08	1.2022772	-0.012147492	-0.102521956	3.4824595	0.006928097	0.060549997	49.0	67.6139166355133
2	-157.38335	5.6621847	-149.1	-168.45	100.0	72.0	240000	-1.8626451e-09	1.0915778	-0.013568459	-0.022171587	3.4721642	0.007475716	0.081275	49.0	99.29931712150574
3	-155.95418	4.727819	-144.90001	-164.8	100.0	96.0	320000	1.3969839e-09	0.9993899	-0.014677522	-0.018491633	3.459992	0.008178093	0.0844625	49.0	132.82368755340576
4	-156.27083	3.892351	-146.65001	-163.15001	100.0	120.0	400000	-4.656613e-09	0.9062887	-0.015650693	-0.021713465	3.4438982	0.007295757	0.088925004	49.0	165.66283106803894
5	-150.24376	5.938369	-139.95	-160.1	100.0	144.0	480000	4.1909516e-09	0.9874568	-0.01746438	-0.037499152	3.4243827	0.0077246325	0.0961625	49.0	198.4753715991974
6	-146.86043	8.890784	-118.0	-158.3	100.0	168.0	560000	-5.5879354e-09	1.0214425	-0.018676061	-0.035537124	3.400401	0.0083703725	0.1043375	49.0	230.99887084960938
7	-140.35625	11.390205	-108.85	-155.15001	100.0	192.0	640000	-6.0535967e-09	1.1492119	-0.01966405	-0.038512528	3.3740778	0.008645868	0.1068125	49.0	263.2661142349243
8	-127.05625	14.976282	-90.35	-148.35	100.0	216.0	720000	3.7252903e-09	1.8788903	-0.020646991	-0.14748856	3.3394816	0.0075610606	0.099775	49.0	296.36768531799316
9	-116.302086	23.757288	-59.850002	-149.25	100.0	240.0	800000	-1.3969839e-09	2.767622	-0.02062133	-0.205594	3.3105426	0.008818058	0.1126125	49.0	329.1437973976135
10	-97.0	20.724276	-51.100002	-130.75	100.0	264.0	880000	-9.313226e-09	3.6017208	-0.020344265	-0.203643	3.2670805	0.008346863	0.10075	49.0	362.86395025253296
11	-95.260414	27.553146	-44.2	-136.0	100.0	288.0	960000	1.8626451e-09	3.6539876	-0.020330794	-0.114846855	3.2377996	0.008337741	0.0951375	49.0	394.5490417480469
12	-78.739586	28.560549	-20.700003	-133.40001	100.0	312.0	1040000	0.0	4.912269	-0.02052502	-0.31905103	3.193583	0.009372519	0.107425004	49.0	428.18385767936707
