Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-151.62083	5.807752	-139.6	-163.2	80.0	2000	-1.1175871e-08	4285.5195	0.18101236	-3349.7888	3.4891758	0.30222803	0.99149996	49.0	111.97470140457153
1	-155.69585	6.9807158	-144.3	-170.8	80.0	4000	8.381903e-09	887.1958	-0.17375779	-163.94754	3.2449572	0.009553942	0.4505	49.0	222.72139835357666
2	-154.08751	7.170734	-137.90001	-167.3	80.0	6000	-3.3527613e-08	737.50635	-0.2219826	-121.82611	3.2147527	0.011423299	0.54200006	49.0	335.975124835968
3	-153.08333	7.284268	-138.1	-165.1	80.0	8000	5.5879354e-09	627.08936	-0.24177675	-146.63254	3.1908884	0.011762578	0.595	49.0	443.54904198646545
4	-149.42918	7.0124574	-134.3	-167.5	80.0	10000	-6.91507e-08	569.6575	-0.24671148	-219.39633	3.1762881	0.01432216	0.6465	49.0	553.611790895462
5	-149.56667	5.9654317	-138.8	-165.0	80.0	12000	-2.9802322e-08	576.7939	-0.26969177	-202.87146	3.118712	0.013055021	0.651	49.0	667.0372552871704
6	-150.15001	7.6672454	-134.90001	-162.7	80.0	14000	1.8626451e-09	628.45264	-0.29873204	-332.04382	3.1261868	0.012251163	0.6775	49.0	779.5710906982422
7	-149.50417	5.213322	-135.1	-160.0	80.0	16000	-4.0978193e-08	533.0891	-0.30457777	-283.02435	3.1008925	0.010389568	0.661	49.0	889.9107418060303
8	-149.71251	7.303384	-134.1	-165.3	80.0	18000	-1.3038516e-08	401.40204	-0.31297582	-209.01419	3.0775692	0.008999089	0.62899995	49.0	1006.5707366466522
9	-149.40001	6.7839894	-136.5	-164.8	80.0	20000	-4.8428774e-08	353.4822	-0.27713302	-158.71565	3.0588558	0.013990918	0.679	49.0	1115.1272420883179
10	-149.89166	7.759668	-132.6	-162.5	80.0	22000	-1.10827386e-07	320.12085	0.18515149	-131.25311	3.032958	1.5265462	0.9905	5.0	1203.0599892139435
11	-148.32085	3.9132226	-139.1	-154.2	80.0	24000	9.126961e-08	267.84995	0.16625553	-131.76794	2.1838117	1.5293415	0.96949995	12.0	1295.2943904399872
12	-150.95833	3.6136212	-142.7	-159.7	80.0	26000	6.61239e-08	739.0774	0.18907265	-586.95325	2.020742	1.6195498	0.986	9.0	1389.2462017536163
13	-151.79584	0.6748324	-149.6	-152.5	80.0	28000	-1.2497185e-07	449.99915	0.18449154	-348.2655	0.9910296	1.5201082	0.9985	13.0	1479.4989264011383
14	-152.0	0.0	-152.0	-152.0	80.0	30000	-1.835815e-08	2625.439	0.00013221096	-2011.357	4.6928595e-05	1.6274666e-05	0.0	49.0	1588.0270972251892
15	-152.0	0.0	-152.0	-152.0	80.0	32000	-5.9371814e-09	629.6666	-0.00022957085	-11.772736	0.0002371627	1.1946404e-06	0.0005	49.0	1684.3995337486267
16	-152.0	0.0	-152.0	-152.0	80.0	34000	1.3111276e-08	611.2849	-0.00019003915	-6.9327164	0.00012948904	-6.744247e-06	0.0005	49.0	1785.765637397766
