Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
20	-278.67252	9.539031	-257.6	-293.0	100.0	1 min 26 sec
40	-273.5025	10.829815	-250.6	-292.05002	100.0	2 min 53 sec
60	-263.76752	10.890823	-241.40001	-281.5	100.0	4 min 17 sec
80	-270.06	7.521229	-254.40001	-288.7	100.0	5 min 45 sec
100	-268.975	12.251423	-251.55	-293.55002	100.0	7 min 9 sec
120	-268.74	15.18788	-228.3	-295.30002	100.0	8 min 37 sec
140	-269.06253	8.99056	-247.40001	-284.75	100.0	10 min 4 sec
160	-268.67	10.2206335	-248.8	-288.75	100.0	11 min 36 sec
180	-269.26505	10.371355	-247.85	-288.65	100.0	13 min 8 sec
200	-269.9225	12.4101095	-246.70001	-290.9	100.0	14 min 36 sec
220	-265.09753	14.415319	-231.65001	-287.80002	100.0	16 min 4 sec
240	-262.28253	12.542649	-242.45	-287.0	100.0	17 min 27 sec
260	-264.05252	9.259865	-239.55	-281.5	100.0	18 min 52 sec
280	-262.40253	11.106503	-246.05	-286.05002	100.0	20 min 16 sec
300	-263.86496	11.412899	-241.55	-280.05002	100.0	21 min 42 sec
320	-263.1025	13.19561	-230.3	-284.55002	100.0	23 min 7 sec
340	-264.795	14.154478	-233.6	-287.95	100.0	24 min 39 sec
360	-258.66504	16.838863	-223.7	-285.25	100.0	26 min 10 sec
380	-259.15753	18.15854	-203.85	-279.80002	100.0	27 min 36 sec
400	-258.02	18.144724	-222.05	-291.25	100.0	29 min 5 sec
420	-265.52753	16.863018	-232.6	-290.15	100.0	30 min 33 sec
440	-253.72751	13.666348	-226.2	-277.65	100.0	32 min 1 sec
460	-259.46255	7.994575	-244.6	-276.45	100.0	33 min 24 sec
480	-258.74252	13.263065	-238.35	-278.55002	100.0	34 min 52 sec
500	-258.02	18.054386	-236.0	-290.05002	100.0	36 min 19 sec
520	-247.215	19.425734	-208.8	-279.5	100.0	37 min 47 sec
540	-249.80753	14.3261595	-225.1	-278.6	100.0	39 min 16 sec
560	-258.5525	16.283411	-217.95	-282.85	100.0	40 min 45 sec
580	-248.67749	16.313816	-203.65001	-272.45	100.0	42 min 17 sec
600	-245.82751	18.551352	-221.15001	-285.85	100.0	43 min 46 sec
620	-241.75749	21.94833	-184.65001	-274.95	100.0	45 min 12 sec
640	-250.90251	21.885693	-219.6	-291.4	100.0	46 min 38 sec
660	-239.23003	22.715063	-195.65001	-276.4	100.0	47 min 58 sec
680	-242.51004	21.114124	-197.65001	-271.5	100.0	49 min 23 sec
700	-248.29497	15.923505	-212.95001	-281.5	100.0	50 min 51 sec
720	-240.8425	20.697147	-192.2	-277.9	100.0	52 min 17 sec
740	-249.03	15.86152	-213.20001	-275.1	100.0	53 min 40 sec
.75	-84.3	80.0	18 min 31 sec
840	-23.562504	43.82555	84.05	-85.55	80.0	18 min 59 sec
860	-19.857502	36.65726	46.7	-85.8	80.0	19 min 25 sec
880	1.6199995	42.49979	89.5	-87.75	80.0	19 min 52 sec
900	-12.382501	38.319885	74.55	-66.25	80.0	20 min 19 sec
920	-8.4475	44.694496	96.65	-81.55	80.0	20 min 45 sec
940	-7.0600004	40.499065	103.9	-73.700005	80.0	21 min 12 sec
960	1.7974991	34.485947	57.95	-74.05	80.0	21 min 39 sec
980	0.23249845	53.451904	100.15	-99.35	80.0	22 min 6 sec
1000	-12.852501	39.26453	77.4	-61.850002	80.0	22 min 34 sec
1020	-3.392501	45.80948	82.1	-74.6	80.0	23 min 2 sec
1040	-9.120001	36.093117	52.8	-78.1	80.0	23 min 29 sec
1060	-6.4350004	38.937366	101.6	-57.100002	80.0	24 min 0 sec
1080	0.8874985	44.69355	73.1	-67.700005	80.0	24 min 30 sec
1100	-9.457501	37.49888	57.0	-83.450005	80.0	24 min 58 sec
1120	2.3799984	45.8821	79.299995	-86.200005	80.0	25 min 25 sec
1140	-0.027501201	51.265427	99.2	-76.6	80.0	25 min 52 sec
1160	2.1374986	32.88496	71.7	-54.600002	80.0	26 min 22 sec
1180	-17.657501	33.22798	32.399998	-71.6	80.0	26 min 50 sec
1200	-1.7700014	44.245953	87.55	-94.25	80.0	27 min 17 sec
1220	-8.500001	46.41928	81.7	-106.35	80.0	27 min 44 sec
1240	16.374998	49.63736	111.85	-59.100002	80.0	28 min 10 sec
1260	17.385	49.83041	121.9	-93.9	80.0	28 min 38 sec
1280	-2.3075016	34.337833	54.25	-67.05	80.0	29 min 5 sec
1300	2.9749985	41.503353	73.0	-66.25	80.0	29 min 32 sec
1320	9.369998	41.00879	76.799995	-67.8	80.0	29 min 59 sec
1340	12.609999	42.695454	114.85	-55.850002	80.0	30 min 26 sec
1360	15.642502	43.26993	120.65	-35.550003	80.0	30 min 54 sec
1380	9.272499	37.332363	118.75	-44.350002	80.0	31 min 21 sec
1400	15.5025	45.887386	128.35	-72.15	80.0	31 min 47 sec
1420	-5.077501	32.708015	76.25	-46.600002	80.0	32 min 15 sec
1440	17.944998	44.79114	83.1	-48.75	80.0	32 min 42 sec
1460	13.877498	44.49853	76.0	-58.100002	80.0	33 min 8 sec
1480	16.707497	47.5505	107.5	-79.5	80.0	33 min 35 sec
1500	1.6174986	37.324207	77.35	-59.9	80.0	34 min 3 sec
1520	19.0525	43.777786	106.7	-48.100002	80.0	34 min 31 sec
1540	6.589999	39.08729	67.95	-75.0	80.0	34 min 57 sec
1560	20.839998	34.108597	73.6	-62.25	80.0	35 min 25 sec
1580	31.402496	42.033436	112.75	-81.5	80.0	35 min 55 sec
1600	10.084998	52.354443	94.7	-104.1	80.0	36 min 23 sec
1620	20.054998	38.92072	91.9	-55.5	80.0	36 min 51 sec
1640	19.0125	36.322903	73.4	-48.65	80.0	37 min 20 sec
