Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
20	-93.485	5.918701	-75.700005	-103.700005	80.0	43 sec
40	-94.862495	8.784801	-72.200005	-112.700005	80.0	1 min 9 sec
60	-93.8825	6.5505977	-82.35	-109.25	80.0	1 min 34 sec
80	-86.302505	8.1745405	-69.75	-98.0	80.0	1 min 58 sec
100	-86.920006	7.989249	-68.3	-104.75	80.0	2 min 23 sec
120	-85.1075	8.2485485	-70.700005	-102.1	80.0	2 min 47 sec
140	-82.5025	10.349245	-62.45	-97.85	80.0	3 min 11 sec
160	-81.50001	10.036111	-58.95	-96.8	80.0	3 min 35 sec
180	-81.00001	8.068907	-63.600002	-91.75	80.0	3 min 59 sec
200	-76.4075	13.323328	-38.600002	-93.25	80.0	4 min 24 sec
220	-78.3975	11.69713	-57.7	-94.85	80.0	4 min 49 sec
240	-72.707504	11.485733	-49.4	-90.55	80.0	5 min 14 sec
260	-72.09501	11.153631	-51.9	-90.25	80.0	5 min 39 sec
280	-71.9425	13.354112	-46.25	-91.15	80.0	6 min 4 sec
300	-67.2825	15.575006	-39.850002	-97.75	80.0	6 min 27 sec
320	-55.7425	22.537178	2.9499993	-86.450005	80.0	6 min 52 sec
340	-56.420002	25.792385	-8.450001	-95.1	80.0	7 min 17 sec
360	-53.435005	25.693651	14.150001	-89.0	80.0	7 min 42 sec
380	-60.54	20.439934	-19.2	-88.4	80.0	8 min 6 sec
400	-45.795002	26.926338	8.8	-90.85	80.0	8 min 31 sec
420	-53.627502	15.864264	-28.050001	-80.9	80.0	8 min 55 sec
440	-41.505	28.762388	30.2	-81.950005	80.0	9 min 20 sec
460	-42.5975	18.47264	-2.4000006	-82.25	80.0	9 min 44 sec
480	-53.567497	24.796045	12.45	-98.05	80.0	10 min 9 sec
500	-34.255005	31.503412	37.6	-82.950005	80.0	10 min 33 sec
520	-42.0025	28.147148	17.05	-88.1	80.0	10 min 57 sec
540	-38.235	32.231003	34.1	-94.0	80.0	11 min 23 sec
560	-41.877502	26.726849	2.55	-94.75	80.0	11 min 48 sec
580	-41.46	30.058266	26.45	-90.85	80.0	12 min 13 sec
600	-32.114998	38.7233	68.55	-85.25	80.0	12 min 37 sec
620	-27.467503	39.68327	53.65	-86.75	80.0	13 min 4 sec
640	-16.8225	43.13634	79.0	-74.05	80.0	13 min 30 sec
660	-26.4225	25.793413	39.8	-60.850002	80.0	13 min 54 sec
680	-20.795	28.190376	40.25	-71.6	80.0	14 min 19 sec
700	-2.7149997	33.38731	72.05	-58.7	80.0	14 min 44 sec
720	-17.585003	39.315723	65.55	-68.8	80.0	15 min 9 sec
740	-5.7925005	31.934404	78.55	-50.2	80.0	15 min 34 sec
760	-15.792499	61.018723	121.85	-95.450005	80.0	15 min 59 sec
780	-16.305002	48.911953	101.2	-96.200005	80.0	16 min 23 sec
800	-7.8625	35.432587	48.5	-73.75	80.0	16 min 48 sec
820	-10.8925	38.69264	44.8	-92.35	80.0	17 min 13 sec
840	-10.232501	41.60175	76.2	-69.75	80.0	17 min 38 sec
860	2.9474995	43.105232	91.3	-83.55	80.0	18 min 3 sec
880	5.95	50.134506	96.85	-87.75	80.0	18 min 29 sec
900	-22.962503	43.847954	52.649998	-86.450005	80.0	18 min 55 sec
920	2.9099994	45.65055	114.5	-61.5	80.0	19 min 17 sec
940	-11.332501	43.84377	105.8	-76.25	80.0	19 min 39 sec
960	18.892498	41.023033	100.5	-77.0	80.0	20 min 1 sec
980	8.342498	40.521057	74.25	-62.9	80.0	20 min 44 sec
1000	22.052502	51.90579	116.7	-92.6	80.0	21 min 8 sec
1020	8.469999	32.737362	87.5	-49.05	80.0	21 min 33 sec
1040	8.3	35.04045	77.1	-53.95	80.0	21 min 58 sec
1060	3.6549988	46.942604	61.149998	-97.200005	80.0	22 min 23 sec
1080	17.4675	37.363403	97.9	-51.3	80.0	22 min 48 sec
1100	-7.010001	37.984066	69.299995	-63.300003	80.0	23 min 13 sec
1120	-16.0775	35.61621	57.8	-85.1	80.0	23 min 40 sec
1140	16.852499	42.492138	82.3	-61.4	80.0	24 min 4 sec
1160	8.692499	55.98466	124.5	-81.55	80.0	24 min 28 sec
1180	18.25	40.2797	86.45	-76.55	80.0	24 min 54 sec
1200	15.709999	41.863937	101.75	-56.5	80.0	25 min 20 sec
1220	15.35	36.006683	69.95	-61.5	80.0	25 min 44 sec
1240	7.9099975	53.691288	124.2	-89.05	80.0	26 min 9 sec
1260	29.829998	46.654827	122.549995	-42.15	80.0	26 min 33 sec
1280	18.039999	49.98662	109.0	-64.450005	80.0	26 min 57 sec
1300	28.979996	48.25697	134.95	-53.100002	80.0	27 min 22 sec
1320	5.9725	37.709534	84.0	-47.4	80.0	27 min 46 sec
1340	27.732498	33.096455	97.25	-30.100002	80.0	28 min 11 sec
1360	34.6375	40.693863	112.2	-69.15	80.0	28 min 38 sec
1380	31.935001	64.432846	152.05	-87.55	80.0	29 min 2 sec
1400	12.224999	38.342785	82.95	-43.45	80.0	29 min 26 sec
1420	29.247498	47.659863	128.5	-54.75	80.0	29 min 51 sec
1440	31.505	43.02835	99.15	-57.25	80.0	30 min 15 sec
1460	28.3375	53.572254	100.799995	-84.0	80.0	30 min 41 sec
1480	10.917499	43.75347	83.75	-77.55	80.0	31 min 6 sec
1500	15.777499	33.4043	100.6	-49.9	80.0	31 min 31 sec
