Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-145.00000216066837	100.0	-161.59799	5.733654	-147.40001	-174.3	100.0	3 min 38 sec
100	-145.00000216066837	100.0	-160.431	6.2849336	-146.7	-173.90001	100.0	6 min 43 sec
150	-151.03500277139247	100.0	-159.40201	6.1462665	-137.15001	-172.05	100.0	12 min 12 sec
200	-157.310003304109	100.0	-155.58002	8.104535	-131.5	-174.45	100.0	18 min 22 sec
250	-148.1900024149567	100.0	-154.44202	8.137127	-128.6	-171.75	100.0	25 min 6 sec
300	-148.6500026591122	100.0	-152.644	8.1244545	-126.9	-168.25	100.0	31 min 34 sec
350	-144.58000310398637	100.0	-151.768	8.180359	-132.35	-167.40001	100.0	38 min 24 sec
400	-162.5050035573542	100.0	-150.848	8.575127	-129.85	-168.7	100.0	44 min 58 sec
450	-158.00000327825546	100.0	-150.172	7.543993	-129.25	-169.15001	100.0	51 min 41 sec
500	-158.57000331245362	100.0	-148.91501	9.264622	-121.9	-170.25	100.0	58 min 33 sec
550	-135.15000284947456	100.0	-147.092	9.833018	-121.200005	-166.8	100.0	1 h 5 min 8 sec
600	-183.28000415712594	100.0	-143.45601	10.406727	-121.85	-164.3	100.0	1 h 11 min 38 sec
650	-145.51000240705906	100.0	-142.513	7.6926646	-122.9	-157.6	100.0	1 h 17 min 59 sec
700	-160.25000406838953	100.0	-140.059	9.234709	-111.5	-158.2	100.0	1 h 24 min 8 sec
750	-149.22000263109803	100.0	-141.658	9.997226	-108.450005	-161.45	100.0	1 h 30 min 51 sec
800	-139.97500261366366	100.0	-138.589	9.346729	-108.350006	-164.7	100.0	1 h 37 min 24 sec
850	-162.76000339463354	100.0	-134.026	11.871821	-100.05	-155.05	100.0	1 h 44 min 6 sec
900	-163.42000395655631	100.0	-136.211	12.172565	-77.15	-157.5	100.0	1 h 50 min 55 sec
950	-171.34000423774123	100.0	-136.279	12.719502	-103.35	-155.3	100.0	1 h 57 min 39 sec
1000	-131.8850023228675	100.0	-133.24	13.578325	-96.75	-152.7	100.0	2 h 4 min 21 sec
1050	-146.33000283949076	100.0	-134.297	14.813585	-78.200005	-155.05	100.0	2 h 10 min 51 sec
1100	-158.53000376187265	100.0	-130.74799	12.812826	-101.55	-156.0	100.0	2 h 17 min 31 sec
1150	-162.45000408627092	100.0	-129.043	13.07788	-95.0	-148.90001	100.0	2 h 24 min 17 sec
1200	-155.7600032761693	100.0	-126.519005	19.099283	-54.250004	-157.7	100.0	2 h 30 min 29 sec
1250	-188.88500515557826	100.0	-123.549	12.454968	-81.3	-154.45	100.0	2 h 36 min 47 sec
1300	-172.320004401356	100.0	-121.51102	14.482605	-82.5	-144.90001	100.0	2 h 43 min 4 sec
1350	-152.39000360406936	100.0	-121.637985	12.718646	-77.65	-144.55	100.0	2 h 49 min 58 sec
1400	-138.7300041195005	100.0	-118.54	19.981422	-43.7	-152.7	100.0	2 h 56 min 45 sec
1450	-155.7300040125847	100.0	-111.412994	23.028551	-33.850002	-148.8	100.0	3 h 3 min 17 sec
1500	-157.43000419847667	100.0	-113.892	18.42662	-70.200005	-148.40001	100.0	3 h 9 min 2 sec
1550	-157.30000374540685	100.0	-113.562004	19.30593	-67.950005	-140.8	100.0	3 h 13 min 10 sec
1600	-158.10000354722143	100.0	-109.85899	19.913317	-58.9	-144.0	100.0	3 h 17 min 15 sec
1650	-156.17000428475438	100.0	-107.32801	20.229813	-65.55	-156.25	100.0	3 h 22 min 3 sec
1700	-153.9800033003092	100.0	-105.988014	21.323893	-43.100002	-138.45	100.0	3 h 26 min 42 sec
1750	-97.40500327572227	100.0	-105.322014	18.032427	-58.4	-134.05	100.0	3 h 32 min 31 sec
1800	-152.2000035919249	100.0	-97.05	27.07029	-22.750002	-135.40001	100.0	3 h 37 min 53 sec
1850	-143.0800037242472	100.0	-97.391	28.326519	-17.700003	-138.8	100.0	3 h 42 min 1 sec
1900	-95.88500307537615	100.0	-100.987	23.22382	-20.000002	-138.55	100.0	3 h 46 min 9 sec
1950	-126.43000310957432	100.0	-99.56601	23.574469	-25.800003	-130.1	100.0	3 h 50 min 38 sec
2000	-134.44500401876866	100.0	-93.272	27.35393	-35.4	-137.45	100.0	3 h 54 min 24 sec
2050	-138.06500385925173	100.0	-94.51601	22.060774	-29.350002	-131.55	100.0	3 h 58 min 45 sec
2100	-136.6400029681623	100.0	-105.41599	24.882956	-44.800003	-151.5	100.0	4 h 3 min 33 sec
2150	-109.10000312142074	100.0	-100.992004	42.58217	-6.0500026	-236.65001	100.0	4 h 6 min 27 sec
2200	-169.04000473581254	100.0	-100.090996	24.187218	-34.100002	-146.85	100.0	4 h 10 min 27 sec
2250	-142.50500407144426	100.0	-99.64799	21.579754	-51.350002	-137.0	100.0	4 h 14 min 54 sec
2300	-155.75500446781516	100.0	-92.961	21.939016	-50.800003	-136.85	100.0	4 h 18 min 19 sec
2350	-121.30500286072493	100.0	-84.39	26.63608	-7.900002	-126.700005	100.0	4 h 22 min 58 sec
2400	-143.41000440381467	100.0	-92.246	27.451162	-26.450003	-158.20001	100.0	4 h 27 min 46 sec
2450	-120.73500423431396	100.0	-91.798	22.327393	-39.500004	-156.7	100.0	4 h 31 min 12 sec
2500	-111.37000423967838	100.0	-84.029015	26.605654	-27.550001	-161.25	100.0	4 h 36 min 37 sec
2550	-130.2900031942874	100.0	-79.977005	25.458265	-33.850002	-137.35	100.0	4 h 39 min 32 sec
2600	-98.46500311084091	100.0	-87.662	27.751192	-21.050003	-139.35	100.0	4 h 43 min 25 sec
2650	-121.17000434994698	100.0	-79.391	32.20588	0.6499973	-123.9	100.0	4 h 46 min 45 sec
2700	-109.24000372216105	100.0	-86.629005	28.907284	-13.400003	-127.65	100.0	4 h 51 min 0 sec
2750	-138.36000520549715	100.0	-89.984	28.127365	-14.400003	-147.6	100.0	4 h 55 min 36 sec
2800	-97.47500248476862	100.0	-82.079	32.00532	29.449997	-179.1	100.0	5 h 0 min 12 sec
2850	-149.4350050330162	100.0	-89.195	34.064144	-29.850002	-178.90001	100.0	5 h 3 min 58 sec
2900	-132.32000434324146	100.0	-80.845	27.434917	-13.100003	-131.0	100.0	5 h 7 min 21 sec
2950	-134.93500445000828	100.0	-83.285	21.209602	-37.900005	-129.3	100.0	5 h 12 min 25 sec
3000	-112.36500329375266	100.0	-86.07101	30.269794	-16.950003	-150.95001	100.0	5 h 17 min 42 sec
3050	-103.2950036123395	100.0	-84.918	29.689325	-9.100003	-139.90001	100.0	5 h 22 min 35 sec
3100	-142.44000432230533	100.0	-86.395	31.35489	-4.800003	-149.05	100.0	5 h 25 min 42 sec
3150	-113.54500381499528	100.0	-85.018	24.59738	-35.200005	-140.45001	100.0	5 h 29 min 17 sec
3200	-116.39000333324074	100.0	-88.995	25.622213	-31.450003	-132.15001	100.0	5 h 33 min 38 sec
3250	-113.67500390559435	100.0	-79.705	23.98816	-23.300001	-143.1	100.0	5 h 36 min 45 sec
3300	-120.63000378645957	100.0	-81.83501	29.751055	18.399998	-129.25	100.0	5 h 40 min 52 sec
3350	-128.36500383093954	100.0	-86.89299	29.98184	-22.300003	-171.45001	100.0	5 h 44 min 27 sec
3400	-107.06500288434327	100.0	-85.399	29.286531	-5.1500025	-149.45001	100.0	5 h 49 min 53 sec
3450	-116.28000297695398	100.0	-94.588	33.90726	-20.400003	-212.40001	100.0	5 h 54 min 58 sec
3500	-98.95500351674855	100.0	-85.505	29.589327	39.549995	-131.25	100.0	5 h 59 min 59 sec
3550	-82.15000342316925	100.0	-70.388	25.682432	-2.0000024	-118.450005	100.0	6 h 4 min 23 sec
3600	-114.92500441595912	100.0	-76.451996	30.82047	3.3499978	-123.850006	100.0	6 h 9 min 52 sec
