Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-285.7000044696033	100.0	-267.79602	11.282611	-239.3	-291.0	100.0	5 min 0 sec
100	-116.34000662341714	100.0	-259.56302	35.018517	-211.25	-443.7	100.0	11 min 4 sec
150	-192.60001199692488	100.0	-216.337	59.95512	4.349994	-368.2	100.0	16 min 58 sec
200	-441.9500172138214	100.0	-137.918	106.93777	117.79999	-326.15002	100.0	22 min 57 sec
250	-192.45001547411084	100.0	-24.832008	151.70815	367.75	-278.75	100.0	28 min 52 sec
300	254.89998717606068	100.0	47.307995	184.31058	650.7	-256.1	100.0	34 min 54 sec
350	-363.10002629831433	100.0	267.616	192.87357	843.14996	-163.70001	100.0	41 min 2 sec
400	504.5999829992652	100.0	276.589	215.21788	972.64996	-122.90001	100.0	47 min 9 sec
450	804.519994006306	100.0	278.094	243.80737	910.4	-218.05	100.0	53 min 5 sec
500	40.849983893334866	100.0	330.54996	220.49884	807.15	-60.850002	100.0	59 min 11 sec
550	102.09998466446996	100.0	348.47098	265.9969	951.75	-140.35	100.0	1 h 5 min
600	239.5999866500497	100.0	329.85898	194.95863	850.3	-104.25001	100.0	1 h 11 min
650	187.74998550117016	100.0	351.71597	163.5598	665.85	0.44999608	100.0	1 h 17 min
700	40.599984273314476	100.0	302.762	244.09871	969.0	-119.65	100.0	1 h 23 min
750	234.79998879879713	100.0	306.414	164.34195	755.39996	-103.350006	100.0	1 h 28 min
800	432.5949903469533	100.0	282.13397	216.54922	846.5	-188.1	100.0	1 h 34 min
850	440.6999865807593	100.0	266.32	194.63089	702.8	-117.850006	100.0	1 h 40 min
900	-1.3000150509178638	100.0	275.422	202.73311	863.85	-127.55	100.0	1 h 46 min
950	376.28999192863705	100.0	319.91202	220.43578	891.4	-71.100006	100.0	1 h 52 min
1000	471.10498933792115	100.0	310.47598	165.89845	714.3	16.849995	100.0	1 h 58 min
1050	-38.4000133946538	100.0	254.925	176.49646	724.65	-160.95	100.0	2 h 4 min
1100	-56.00001632422209	100.0	223.02502	177.23892	602.15	-208.15001	100.0	2 h 10 min
1150	-9.900015633553267	100.0	233.23299	192.8338	715.5	-161.15001	100.0	2 h 17 min
1200	290.4999938942492	100.0	294.87198	180.41086	719.05	-120.05	100.0	2 h 23 min
1250	330.1999884918332	100.0	349.399	181.6163	928.75	-118.50001	100.0	2 h 29 min
1300	462.2699868131429	100.0	325.084	162.62004	739.95	8.499995	100.0	2 h 35 min
1350	304.5449922081083	100.0	302.317	213.57494	999.8	-101.15	100.0	2 h 41 min
1400	567.2749885208905	100.0	319.492	215.72485	812.9	-199.1	100.0	2 h 46 min
1450	254.94999439269304	100.0	344.856	219.5368	921.15	-212.55	100.0	2 h 52 min
1500	871.6999956294894	100.0	309.911	200.09929	955.7	-65.05	100.0	2 h 58 min
1550	500.09999499469995	100.0	330.317	198.44974	997.9	-89.100006	100.0	3 h 4 min
1600	-54.10001978650689	100.0	345.05704	218.68852	807.75	-225.75	100.0	3 h 10 min
1650	600.1999913342297	100.0	335.338	212.06004	903.3	-54.250004	100.0	3 h 16 min
1700	436.1999927610159	100.0	380.29	224.9071	917.95	-59.250004	100.0	3 h 22 min
1750	981.3999959826469	100.0	318.018	224.16364	775.15	-248.55	100.0	3 h 28 min
1800	613.0499935373664	100.0	379.036	228.13159	867.85	-41.400005	100.0	3 h 34 min
1850	241.2799903061241	100.0	333.675	191.58002	741.2	-128.7	100.0	3 h 40 min
1900	469.2349897455424	100.0	417.62598	237.90376	898.15	-138.05	100.0	3 h 46 min
1950	709.9799957714974	100.0	394.205	223.94101	1022.1	-92.75001	100.0	3 h 52 min
2000	129.79998580366373	100.0	322.16498	209.58464	799.5	-190.6	100.0	3 h 58 min
2050	816.3299905885011	100.0	390.138	201.21884	706.85	-149.20001	100.0	4 h 4 min
2100	817.6449883960188	100.0	379.77304	224.7048	912.75	-145.1	100.0	4 h 10 min
2150	529.6999848298728	100.0	367.244	231.32217	1036.9	-211.0	100.0	4 h 16 min
2200	471.43498811870813	100.0	384.499	205.6311	947.9	-96.65	100.0	4 h 22 min
2250	343.3499952554703	100.0	348.64398	201.28943	957.75	-138.45	100.0	4 h 28 min
2300	687.7799943614751	100.0	392.18597	237.22397	945.95	-255.45	100.0	4 h 34 min
2350	38.79998345673084	100.0	377.393	210.50597	889.35	-113.350006	100.0	4 h 40 min
2400	865.544989822805	100.0	352.62305	212.01112	876.9	-155.95	100.0	4 h 46 min
2450	939.3349939785898	100.0	370.33603	232.09203	905.8	-190.20001	100.0	4 h 52 min
2500	897.5599963311106	100.0	366.901	212.84306	866.5	-235.90001	100.0	4 h 57 min
2550	805.1849943395704	100.0	376.66495	214.11443	891.95	-175.45001	100.0	5 h 3 min
2600	716.2999927736819	100.0	375.74597	183.88988	919.0	-111.950005	100.0	5 h 9 min
2650	745.1999961767345	100.0	364.23898	192.68332	845.3	25.999996	100.0	5 h 15 min
2700	810.0499928854406	100.0	408.023	184.49126	855.2	-198.55	100.0	5 h 21 min
2750	527.7249919887632	100.0	393.55597	154.6338	887.6	177.5	100.0	5 h 26 min
2800	749.329996233806	100.0	400.448	195.25885	822.85	-102.600006	100.0	5 h 32 min
2850	601.83999398835	100.0	408.278	250.97961	964.0	-218.05	100.0	5 h 38 min
2900	887.0399962678551	100.0	355.37204	177.17845	644.8	-126.00001	100.0	5 h 44 min
2950	933.0049963783473	100.0	331.71402	218.47974	867.05	-203.15001	100.0	5 h 49 min
3000	765.4649945549667	100.0	363.12802	240.81607	874.4	-150.90001	100.0	5 h 55 min
3050	861.4199925165624	100.0	451.787	153.93404	713.4	41.699997	100.0	6 h 1 min
3100	599.2149965617806	100.0	409.305	224.8137	894.7	-139.1	100.0	6 h 7 min
3150	1047.7049949489533	100.0	375.85196	192.49654	837.15	-195.15001	100.0	6 h 13 min
3200	665.7549964565784	100.0	392.08398	177.54817	819.1	74.59999	100.0	6 h 18 min
3250	824.4849955897778	100.0	392.917	181.07808	716.2	-28.650003	100.0	6 h 24 min
3300	885.6349960464984	100.0	350.84598	230.24199	842.15	-187.6	100.0	6 h 30 min
3350	609.7199946917593	100.0	392.10098	218.87265	833.45	-133.25	100.0	6 h 35 min
3400	764.6649951450527	100.0	360.475	183.54272	753.5	-22.450003	100.0	6 h 41 min
3450	714.9499939322471	100.0	334.43298	217.79344	764.25	-262.9	100.0	6 h 47 min
3500	735.6899936791509	100.0	383.77103	169.50772	734.8	-123.8	100.0	6 h 52 min
3550	1003.8899957306683	100.0	359.91702	205.7407	814.95	-188.75	100.0	6 h 58 min
3600	725.9599950194358	100.0	320.12302	248.1786	988.85	-206.45	100.0	7 h 4 min
3650	803.4249956049025	100.0	350.88898	186.59038	819.5	-117.3	100.0	7 h 10 min
3700	730.8899954449386	100.0	395.941	172.12279	752.0	-18.150003	100.0	7 h 15 min
3750	1073.9499942921102	100.0	401.254	167.78627	756.0	-62.150005	100.0	7 h 21 min
