Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-60.00000089406967	80.0	-64.21	3.8408077	-54.850002	-75.200005	80.0	4 min 51 sec
100	-53.63000122122467	80.0	-60.189	6.835798	-47.05	-92.05	80.0	9 min 31 sec
150	-63.94000156596303	80.0	-56.852	21.878414	-14.050001	-161.1	80.0	13 min 53 sec
200	-88.05000301636755	80.0	-53.655	25.91871	-1.1500016	-137.1	80.0	18 min 0 sec
250	-73.77000244744121	80.0	-42.892002	22.971891	29.399998	-87.3	80.0	22 min 12 sec
300	-41.58500178046525	80.0	-31.253002	26.338062	28.999998	-96.700005	80.0	26 min 11 sec
350	-48.17500177323818	80.0	-21.143	27.640095	56.899998	-65.850006	80.0	30 min 22 sec
400	-66.68500273674726	80.0	-12.792002	34.676792	80.15	-59.250004	79.52	34 min 29 sec
450	-52.425002203136685	80.0	2.8419983	42.017433	89.35	-67.0	79.16	38 min 41 sec
500	12.8999981302768	69.8	12.609998	41.6997	105.9	-61.100002	78.62	42 min 49 sec
550	-1.3300029084086418	79.8	33.382996	48.184708	112.55	-67.0	73.92	46 min 48 sec
600	-40.750003746151926	80.0	47.034	43.754585	114.9	-42.100002	71.68	50 min 44 sec
650	83.66999873556196	49.1	77.545	40.385952	116.5	-49.850002	57.12	53 min 55 sec
700	56.21999806128442	66.2	76.636	38.74393	121.0	-21.500002	58.66	57 min 14 sec
750	7.0299963019788265	67.4	85.81699	34.608498	122.45	-38.9	54.76	1 h 0 min
800	41.37499670721591	58.7	89.37699	32.306614	120.25	-9.100001	49.88	1 h 3 min
850	26.989996954426168	66.8	87.545	35.90281	120.9	-61.45	52.34	1 h 6 min
900	43.96999709121883	67.6	89.44399	31.078587	120.8	5.4999986	50.72	1 h 10 min
950	90.85999840013683	40.6	81.453	33.685043	119.1	-28.7	55.88	1 h 13 min
1000	28.43499691672623	68.7	92.562996	25.207848	121.6	18.999998	51.04	1 h 16 min
1050	79.91499876305461	56.0	94.440994	24.248314	122.4	10.249999	47.08	1 h 19 min
1100	69.92499831840396	56.3	95.473	26.601028	121.75	3.0999987	48.78	1 h 22 min
1150	100.25499912574887	45.7	95.814	25.923225	122.6	36.899998	47.74	1 h 25 min
1200	91.46499874405563	48.1	97.199	29.373806	123.3	-1.2500007	46.66	1 h 28 min
1250	116.62499951198697	32.3	86.768	32.697033	123.0	-31.35	55.4	1 h 31 min
1300	85.6199989438057	60.4	98.36801	27.107882	124.65	-3.250001	47.24	1 h 34 min
1350	88.84999867863954	49.6	93.531	30.08009	124.05	-17.85	50.36	1 h 37 min
1400	82.71999883241952	56.5	90.235	37.3453	123.5	-22.6	49.12	1 h 40 min
1450	103.43999906741082	41.0	88.244	37.223618	124.55	-49.25	51.96	1 h 43 min
1500	86.80999860018491	50.6	93.277	31.244947	126.45	0.49999914	50.14	1 h 46 min
1550	110.9899993468076	36.1	97.495995	28.183233	124.05	-27.050001	48.1	1 h 49 min
1600	89.65499863401055	46.5	87.874	33.975792	124.75	-37.100002	54.64	1 h 52 min
1650	34.739997521042824	80.0	79.765	37.119194	124.45	4.8999987	57.32	1 h 55 min
1700	93.82499910704792	52.5	91.466995	35.770905	124.7	-56.2	50.28	1 h 59 min
1750	86.20499887168407	53.7	90.402	36.572216	124.4	-26.050001	49.36	2 h 1 min
