Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-38.369305	3.525232	-27.35	-44.25	80.0	40000	-3.0733645e-08	4.1453276	-0.010129782	-3.218707	3.489863	0.013108818	0.0692	49.0	8.368069887161255
1	-38.135715	2.9874995	-30.2	-43.7	80.0	80000	2.689194e-08	0.89366925	-0.006919611	-0.036977142	3.4764369	0.010853116	0.044924997	49.0	16.559020042419434
2	-37.8125	3.342746	-28.5	-42.8	80.0	120000	-6.4028427e-09	0.8231025	-0.007607285	-0.013439894	3.4583921	0.013029054	0.06305	49.0	24.692519426345825
3	-36.923218	2.4414754	-30.550001	-41.15	80.0	160000	3.608875e-09	0.76361907	-0.0062942575	-0.013949662	3.4358475	0.01098024	0.035125	49.0	32.93392324447632
4	-37.33304	2.197427	-31.45	-40.5	80.0	200000	1.0244548e-08	0.7129737	-0.007262335	-0.009220533	3.4031587	0.013353547	0.047025003	49.0	41.05487036705017
5	-35.851788	2.283891	-29.45	-39.5	80.0	240000	2.3283064e-10	0.6799334	-0.008790407	-0.018915273	3.3671308	0.013971928	0.078925	49.0	49.29361295700073
6	-35.69643	2.06499	-30.7	-38.7	80.0	280000	1.9092113e-08	0.6133125	-0.007882863	-0.012918539	3.3168106	0.012123033	0.072325	49.0	57.48015761375427
7	-34.988396	1.8213025	-30.65	-38.3	80.0	320000	-9.080395e-09	0.5973068	-0.007725741	-0.011046857	3.272577	0.012803506	0.05425	49.0	65.67874455451965
8	-35.239285	1.9154849	-30.45	-38.2	80.0	360000	-1.1175871e-08	0.5798348	-0.007928156	-0.008334562	3.221531	0.012200502	0.073625	49.0	73.82887578010559
9	-34.45357	2.1089067	-28.300001	-37.600002	80.0	400000	2.514571e-08	0.5773728	-0.007178911	-0.007712342	3.1546326	0.0124540925	0.0822	49.0	82.04486608505249
10	-34.7	1.9016676	-29.95	-38.05	80.0	440000	-1.3969839e-09	0.545465	-0.0071766856	-0.008414127	3.081071	0.009695811	0.065175	49.0	90.1162006855011
11	-34.46697	2.4078422	-27.5	-37.7	80.0	480000	-5.7043508e-09	0.5371895	-0.008022143	-0.009486124	3.0077658	0.01165518	0.0589	49.0	98.37439155578613
12	-33.8875	2.3383307	-28.1	-37.15	80.0	520000	3.259629e-09	0.5144801	-0.00853683	-0.010835879	2.9462643	0.012876975	0.080675006	49.0	106.49845337867737
13	-32.87069	2.909616	-24.95	-37.5	80.0	560000	8.381903e-09	0.5058671	-0.007659345	-0.00880193	2.9259357	0.010128952	0.0656	49.0	114.69878888130188
14	-33.4	2.0180879	-28.6	-36.8	80.0	600000	-4.1909516e-09	0.49541116	-0.007519017	-0.007246755	2.8838959	0.008550484	0.07075	49.0	122.85395050048828
15	-32.622414	2.8235188	-24.6	-36.95	80.0	640000	6.9849193e-09	0.5157676	-0.0071099084	-0.007082764	2.8236008	0.008977065	0.048024997	49.0	131.15040493011475
16	-31.730646	3.4002535	-23.050001	-37.3	80.0	680000	1.5832484e-08	0.5034776	-0.0068626055	-0.005866181	2.7696304	0.011970857	0.065275	49.0	139.34887647628784
17	-31.516949	3.6118522	-21.95	-36.9	80.0	720000	1.1990778e-08	0.5836504	-0.0064841434	-0.00733155	2.6966643	0.009734194	0.045725	49.0	147.6799509525299
18	-31.167797	4.258777	-15.4	-37.0	80.0	760000	9.313226e-10	0.5178925	-0.006992496	-0.004607316	2.6532934	0.010628413	0.041925	49.0	155.78723669052124
19	-31.022036	5.189194	-16.55	-36.9	80.0	800000	9.313226e-10	0.60332036	-0.006290175	-0.019818738	2.64385	0.00819965	0.036225	49.0	164.0168285369873
20	-29.875412	4.8710723	-16.25	-36.15	80.0	840000	5.5879354e-09	0.6592689	-0.0062784716	-0.013789564	2.5986996	0.008843671	0.04385	49.0	172.1983938217163
21	-29.068645	7.14743	-8.95	-37.65	80.0	880000	-1.6763806e-08	0.81690526	-0.0066503976	-0.02552317	2.5811114	0.00880155	0.032375	49.0	180.52480673789978
22	-28.183332	9.58853	5.85	-37.15	80.0	920000	-6.0535967e-09	0.99412525	-0.006864234	-0.028580207	2.5990949	0.0066238157	0.047125	49.0	188.63939881324768
23	-26.45873	10.746482	4.75	-36.7	80.0	960000	9.313226e-10	1.0182865	-0.007452472	-0.025790472	2.5594747	0.011301748	0.040775	49.0	196.9916913509369
24	-26.846724	11.424197	4.35	-37.3	80.0	1000000	-7.450581e-09	1.0857178	-0.007003314	-0.029863	2.5461705	0.00647973	0.0458	49.0	205.22777843475342
25	-22.038462	15.467011	16.949999	-37.5	80.0	1040000	5.122274e-09	1.3768501	-0.008255447	-0.030208193	2.5267127	0.009944368	0.062525004	49.0	213.61889123916626
