Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-112.18825	6.634621	-96.75	-125.0	80.0	120000	4.924368e-08	2.8702512	-0.004527229	-2.029807	3.4881997	0.009602127	0.033608336	49.0	16.77959632873535
1	-115.93333	6.3611565	-98.25	-129.40001	80.0	240000	-3.958121e-09	0.8020191	-0.0047640447	-0.00982964	3.4802766	0.010185314	0.028591666	49.0	31.162493467330933
2	-111.35	8.055795	-92.200005	-128.75	80.0	360000	-8.381903e-09	0.9023665	-0.0043722624	-0.010319769	3.4691734	0.009278743	0.029883333	49.0	45.55010509490967
3	-110.85306	6.1537642	-98.8	-123.9	80.0	480000	-1.8626451e-09	0.86326075	-0.004622832	-0.007849902	3.4623618	0.010593482	0.026291667	49.0	59.958518981933594
4	-110.0449	7.479238	-91.1	-125.35	80.0	600000	0.0	0.8541706	-0.004778187	-0.005338274	3.4539447	0.009502091	0.026841667	49.0	74.43630623817444
5	-108.15284	6.199242	-93.85	-127.700005	80.0	720000	-2.0954758e-09	0.8117629	-0.0047005676	-0.0050797984	3.450325	0.009714947	0.023666667	49.0	88.90214991569519
6	-107.09795	7.2212343	-92.05	-122.05	80.0	840000	-1.7695129e-08	0.8785853	-0.004942068	-0.0034616664	3.431426	0.009225348	0.029941667	49.0	103.36175608634949
7	-104.35371	7.0274315	-85.200005	-121.4	80.0	960000	5.5879354e-09	0.8247888	-0.0045273555	-0.003083758	3.4196978	0.008806538	0.022783333	49.0	117.82832407951355
8	-101.39909	7.196827	-87.1	-115.950005	80.0	1080000	1.094304e-08	0.89135253	-0.0056407684	-0.00442943	3.4009972	0.009231186	0.040858332	49.0	132.30099153518677
9	-98.76415	10.071219	-66.700005	-116.15	80.0	1200000	0.0	1.0189095	-0.0061016427	-0.00424958	3.3787632	0.009298826	0.044875	49.0	146.75953245162964
10	-95.46273	8.7584715	-76.450005	-110.85	80.0	1320000	1.0244548e-08	1.1580825	-0.0051094275	-0.009280816	3.365643	0.0074254153	0.027425	49.0	161.27384281158447
11	-90.22363	14.233775	-49.100002	-118.05	80.0	1440000	4.1909516e-09	1.5188987	-0.006736734	-0.010060608	3.3363266	0.009132575	0.05598333	49.0	175.76707291603088
12	-85.07411	15.9963255	-37.3	-114.200005	80.0	1560000	6.2864274e-09	1.6616254	-0.0063780905	-0.0071882606	3.2977867	0.008633487	0.05381667	49.0	190.32082200050354
13	-75.26697	18.561747	-19.5	-107.0	80.0	1680000	1.8626451e-09	2.2782145	-0.0069802376	-0.024446681	3.2467961	0.008909509	0.057825	49.0	204.8260941505432
14	-68.95263	18.649755	-28.300001	-110.6	80.0	1800000	-3.4924597e-09	3.012106	-0.0064607193	-0.013178647	3.1805184	0.008334963	0.056708332	49.0	219.4315631389618
15	-58.372322	25.660658	5.1	-108.65	80.0	1920000	1.3038516e-08	4.728437	-0.0061131064	-0.06272879	3.105947	0.00839331	0.05651667	49.0	234.0235002040863
16	-50.394646	25.495512	-1.750001	-100.35	80.0	2040000	3.4924597e-09	5.3511286	-0.0054985117	-0.063797176	3.0117872	0.008802587	0.049841665	49.0	248.71545338630676
17	-42.10085	23.618523	8.699999	-87.05	80.0	2160000	1.3969839e-09	6.9999533	-0.0058658193	-0.070861936	2.9328036	0.008248543	0.057508335	49.0	263.45236897468567
18	-34.30702	33.459454	57.2	-91.6	80.0	2280000	3.7252903e-09	8.202999	-0.0054213502	-0.095523775	2.8382733	0.008208204	0.055625	49.0	278.19490242004395
19	-32.512283	34.52761	83.1	-91.85	80.0	2400000	4.656613e-09	8.405155	-0.005058537	-0.0653227	2.74572	0.008259249	0.052766666	49.0	292.8748514652252
20	-34.298244	35.60695	56.05	-97.3	80.0	2520000	-1.1641532e-09	9.414273	-0.003853282	-0.10438198	2.6420445	0.007631323	0.036225	49.0	307.56085681915283
21	-22.99825	42.250904	131.35	-91.55	80.0	2640000	9.313226e-09	10.059668	-0.0049682274	-0.06462115	2.5564888	0.0075179143	0.04575	49.0	322.2030839920044
22	-19.282457	44.591244	85.9	-101.25	80.0	2760000	3.7252903e-09	9.809013	-0.0044900645	-0.093856454	2.4795804	0.0064927954	0.041625	49.0	336.828804731369
23	5.095613	39.61407	109.0	-60.4	80.0	2880000	6.9849193e-10	11.883747	-0.0047571207	-0.16392249	2.404542	0.007855656	0.039025	49.0	351.49490332603455
24	-12.064287	41.559036	107.0	-97.85	80.0	3000000	0.0	10.148165	-0.004538879	-0.1070053	2.2914624	0.007902572	0.042608336	49.0	366.24003434181213
25	4.0736833	47.02427	115.65	-94.0	80.0	3120000	-2.7939677e-09	10.656437	-0.004507755	-0.08157587	2.189619	0.0061209523	0.034725	49.0	380.877952337265
26	18.964035	45.684605	114.75	-79.950005	80.0	3240000	3.7252903e-09	12.225627	-0.0048831822	-0.14257765	2.1276488	0.006213806	0.038225	49.0	395.5510845184326
27	15.68125	49.26746	142.7	-109.3	80.0	3360000	9.313226e-10	11.651332	-0.00435613	-0.0917027	2.0399706	0.0062123993	0.037366666	49.0	410.24673104286194
28	32.544643	56.05618	183.2	-84.5	80.0	3480000	3.259629e-09	13.189007	-0.004787447	-0.16290045	1.985665	0.005723862	0.034166664	49.0	424.80542182922363
29	52.60357	51.761127	171.0	-65.1	80.0	3600000	0.0	13.944418	-0.0045129675	-0.13657725	1.9242978	0.0049477923	0.029741667	49.0	439.3474192619324
30	45.777676	61.287575	236.5	-101.950005	80.0	3720000	-4.1909516e-09	13.887928	-0.0047528725	-0.14672965	1.8757167	0.005898746	0.03875	49.0	453.93475580215454
31	63.849102	53.358315	190.25	-42.0	80.0	3840000	4.656613e-09	14.126053	-0.0045332513	-0.18363214	1.8396299	0.0049310355	0.03385	49.0	468.5621109008789
32	59.33214	55.49235	213.4	-53.800003	80.0	3960000	8.381903e-09	13.646961	-0.0047301585	-0.1809392	1.7828052	0.0058369706	0.04016667	49.0	483.1840946674347
33	67.463394	56.091007	160.65	-57.75	80.0	4080000	9.313226e-10	12.699327	-0.0048540253	-0.17006755	1.7313092	0.005761983	0.035841666	49.0	497.7015173435211
34	78.76339	65.68577	233.95	-65.35	80.0	4200000	-1.1641532e-09	14.377682	-0.0046180296	-0.22270095	1.6798124	0.004958979	0.031283334	49.0	512.2709250450134
35	82.14018	69.32964	227.25	-69.1	80.0	4320000	9.313226e-10	12.527296	-0.004660664	-0.24876392	1.6258785	0.0049984693	0.040975	49.0	526.9079446792603
36	100.76607	58.791046	253.55	-7.2000012	80.0	4440000	-2.7939677e-09	15.391563	-0.004629338	-0.2707008	1.610798	0.0053462964	0.034041665	49.0	541.455828666687
37	123.19286	51.184902	248.65	-0.8500016	80.0	4560000	1.8626451e-09	13.572851	-0.005099331	-0.16993016	1.581357	0.0046939617	0.041033335	49.0	556.012312412262
38	133.86092	60.384083	306.5	-41.7	80.0	4680000	-9.546056e-09	14.73443	-0.004615178	-0.19834268	1.538379	0.0044540996	0.03153333	49.0	570.5739922523499
39	142.25713	65.85345	260.4	-62.7	80.0	4800000	1.8626451e-09	18.093307	-0.0046240874	-0.2496841	1.4951643	0.0041433824	0.034933336	49.0	585.2505612373352
40	165.93817	75.34925	340.0	14.549999	80.0	4920000	0.0	17.330448	-0.0044776574	-0.2528882	1.4749146	0.0045918208	0.027516667	49.0	599.918548822403
41	172.18571	74.03527	297.95	-0.8000009	80.0	5040000	5.5879354e-09	18.785725	-0.0043591433	-0.33504617	1.4387267	0.003783851	0.025291666	49.0	614.5288817882538
42	175.325	59.02885	312.15	30.699997	80.0	5160000	1.8626451e-09	16.09194	-0.0044652056	-0.31864655	1.4122568	0.0036657164	0.025883334	49.0	629.093013048172
43	174.03181	77.13847	324.5	-31.050001	80.0	5280000	0.0	14.9002495	-0.0041148327	-0.3239411	1.4101515	0.0038353996	0.026841667	49.0	643.7025735378265
44	189.15636	74.39539	347.55	7.699999	80.0	5400000	-3.7252903e-09	17.549965	-0.004226923	-0.3808285	1.3797004	0.0039730854	0.022100002	49.0	658.2954914569855
45	203.42546	66.2646	330.4	37.949997	80.0	5520000	1.0244548e-08	17.17619	-0.00446858	-0.24562848	1.3770764	0.0035310942	0.028633334	49.0	672.9468443393707
46	201.01875	74.6871	333.55	-11.950002	80.0	5640000	6.0535967e-09	14.77944	-0.004264875	-0.20495641	1.3476684	0.003891766	0.022883333	49.0	687.5766623020172
47	207.31544	74.481705	339.0	-17.450003	80.0	5760000	5.5879354e-09	19.201385	-0.0043349434	-0.37183547	1.3370473	0.003921298	0.027416667	49.0	702.2197914123535
48	228.92871	64.09764	350.1	57.85	80.0	5880000	-5.5879354e-09	19.29173	-0.003852272	-0.4196515	1.321458	0.0032073841	0.024375	49.0	716.8047826290131
49	238.66667	74.60689	380.15	67.6	80.0	6000000	1.8626451e-09	20.982922	-0.004682441	-0.30050874	1.3047466	0.0033287103	0.0268	49.0	731.3881313800812
