Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-39.292103	3.6159346	-30.6	-45.0	80.0	40000	-2.2817403e-08	4.454631	-0.016996145	-3.5695093	3.4920785	0.008278409	0.083825	49.0	18.00771164894104
1	-37.511208	3.5794196	-30.050001	-43.5	80.0	80000	-1.4901161e-08	0.81918335	-0.016676258	-0.043173842	3.4831102	0.0062110014	0.059725	49.0	36.36922335624695
2	-37.81786	2.9950619	-31.35	-43.2	80.0	120000	-6.7520887e-09	0.733711	-0.019303646	-0.030880429	3.4707372	0.007885175	0.07615	49.0	54.052063941955566
3	-37.131252	3.021346	-30.25	-42.55	80.0	160000	-1.1175871e-08	0.6976305	-0.021086134	-0.020354286	3.456497	0.007366638	0.0893	49.0	72.18494653701782
4	-35.883034	2.520262	-28.2	-40.5	80.0	200000	-1.6298145e-09	0.64457065	-0.022695206	-0.03198231	3.4393444	0.008000193	0.102	49.0	90.18379187583923
5	-35.08393	3.860562	-23.7	-40.9	80.0	240000	-7.450581e-09	0.6233877	-0.0074644955	-0.018716775	3.4152887	0.015957009	0.2961	7.0	107.12673497200012
6	-34.508038	4.380851	-14.5	-39.55	80.0	280000	1.1175871e-08	0.6540812	-0.022422917	-0.0404485	3.3767095	0.00895334	0.1188	49.0	125.38542699813843
7	-32.14138	5.6705546	-18.35	-39.75	80.0	320000	1.9557774e-08	0.67480373	-0.023348477	-0.025602426	3.3428202	0.009026254	0.116475	49.0	144.06057167053223
8	-30.355738	7.854346	-9.5	-40.05	80.0	360000	-1.3038516e-08	0.8677734	-0.023358114	-0.03316246	3.3095503	0.007841937	0.1232	49.0	162.3300061225891
9	-27.318031	12.199761	8.8	-39.600002	80.0	400000	0.0	1.2863435	-0.023405295	-0.08350745	3.2741208	0.009525027	0.124725	49.0	180.9060845375061
10	-24.082788	17.221556	30.7	-38.5	80.0	440000	-4.656613e-09	1.9004173	-0.02260485	-0.11184679	3.2406287	0.008877159	0.111700006	49.0	199.7737591266632
11	-17.767214	20.434961	27.949999	-38.9	80.0	480000	-8.381903e-09	2.5140295	-0.02227868	-0.115039065	3.195622	0.009267261	0.1265	49.0	218.90247225761414
12	-17.48033	25.261211	43.0	-38.75	80.0	520000	7.450581e-09	2.6245036	-0.023375675	-0.13552566	3.175642	0.008632144	0.11605	49.0	238.28783297538757
13	-18.699167	23.485231	42.4	-38.100002	80.0	560000	-7.450581e-09	2.409245	-0.021685386	-0.09238882	3.145238	0.009129927	0.121225	49.0	257.1002416610718
14	-13.267214	25.761765	55.5	-38.75	80.0	600000	5.5879354e-09	2.6599445	-0.023335662	-0.12254532	3.1118965	0.010580694	0.128625	49.0	276.9915807247162
15	-14.08387	26.42705	42.5	-38.100002	80.0	640000	1.8626451e-09	2.6807141	-0.02235546	-0.124978244	3.0837028	0.009727541	0.114975	49.0	296.1202726364136
16	-10.1	28.140179	54.9	-38.15	80.0	680000	-4.656613e-10	3.5429883	-0.022883443	-0.25170505	3.0490232	0.009624353	0.12915	49.0	316.0482289791107
17	-5.3303285	30.685415	55.35	-38.05	80.0	720000	7.450581e-09	4.1443233	-0.021508127	-0.25924027	3.0069134	0.00916693	0.119550005	49.0	334.8794288635254
18	1.4365075	31.180956	52.3	-38.4	80.0	760000	-9.313226e-09	4.3657007	-0.021187272	-0.1950901	2.9486883	0.009093702	0.128975	49.0	355.47602128982544
19	-4.0614758	33.520382	54.15	-37.65	80.0	800000	0.0	4.382593	-0.021382947	-0.22900689	2.9491794	0.010172245	0.119224995	49.0	375.2158317565918
20	-5.193334	35.126205	63.3	-38.05	80.0	840000	0.0	3.366582	-0.02043206	-0.21224916	2.9207387	0.008500013	0.111324996	49.0	398.97784447669983
21	-2.7918036	36.816463	78.45	-38.25	80.0	880000	2.3283064e-09	4.45024	-0.020788353	-0.3655232	2.8967423	0.010610036	0.12015	49.0	418.09130930900574
