Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-277.1281	8.707484	-254.3	-295.0	100.0	16.0	80000	1.268927e-07	5.063076	-0.0060106926	-3.7707276	3.4906309	0.013789734	0.061662503	49.0	19.58599591255188
1	-274.57144	8.717587	-258.9	-290.75	100.0	30.0	160000	-5.5879354e-09	1.2704668	-0.004555653	-0.070221916	3.4778545	0.015054015	0.047975	42.0	40.90170693397522
2	-278.36667	8.607754	-263.30002	-292.2	100.0	42.0	240000	1.6763806e-08	1.3024864	-0.0037797	-0.05569774	3.4526942	0.011520332	0.02975	49.0	61.53627252578735
3	-277.96252	7.8043594	-263.9	-288.6	100.0	50.0	320000	1.3038516e-08	1.2822204	-0.0049680746	-0.06755963	3.4406648	0.014272005	0.057037503	49.0	81.5643322467804
4	-274.91254	5.8700395	-261.85	-281.6	100.0	58.0	400000	2.0954758e-09	1.2872308	-0.004525079	-0.0112235695	3.4063356	0.01416342	0.054449998	49.0	102.18397617340088
5	-274.59375	8.40686	-255.3	-285.35	100.0	66.0	480000	-5.47152e-09	1.227954	-0.003869977	-0.0024888664	3.3633945	0.014727905	0.0374375	49.0	123.45197701454163
6	-279.60626	4.5545635	-271.55002	-286.80002	100.0	74.0	560000	1.094304e-08	1.2382603	-0.004456046	-0.0092853755	3.3424277	0.01434131	0.053637497	49.0	144.19499039649963
7	-277.71875	7.6309776	-262.6	-285.15	100.0	82.0	640000	-6.9849193e-10	1.1403525	-0.0037311702	-0.009908259	3.3101988	0.013309663	0.036675	49.0	165.2552785873413
8	-276.075	6.0042624	-265.80002	-282.9	100.0	90.0	720000	1.1641532e-09	1.1038308	-0.0044467524	-0.015204072	3.2676125	0.013286192	0.0615125	49.0	184.280686378479
9	-273.48126	5.9923844	-264.35	-283.25	100.0	98.0	800000	5.122274e-09	1.0549889	-0.0037482425	-0.0066473484	3.210403	0.011139027	0.043675	49.0	205.0721251964569
10	-273.40625	6.002726	-264.85	-282.15	100.0	106.0	880000	-4.773028e-09	0.97815096	-0.0038762114	-0.017424472	3.164332	0.010492055	0.043975003	49.0	228.17515635490417
11	-269.6125	8.118448	-255.85	-281.25	100.0	114.0	960000	-1.9324943e-08	0.8845796	-0.004459309	-0.021811374	3.137775	0.012382474	0.046537496	49.0	247.75926423072815
12	-271.96875	3.7495825	-262.75	-275.05002	100.0	122.0	1040000	9.313226e-10	0.760791	-0.0033988839	-0.028958946	3.0926428	0.015044287	0.17092499	12.0	265.94023180007935
13	-265.57224	4.5093756	-257.85	-270.4	100.0	131.0	1120000	3.7252903e-09	0.6580883	-0.005061793	-0.016257368	2.9918296	0.008535627	0.0408125	49.0	286.1300296783447
14	-265.1778	5.5074277	-255.35	-275.05002	100.0	140.0	1200000	-1.8626451e-09	0.62845373	-0.0040368987	-0.012353901	2.9821246	0.010331722	0.0526875	49.0	306.579558134079
15	-265.02777	6.3419757	-248.7	-270.30002	100.0	149.0	1280000	-5.5879354e-09	0.58667505	-0.00407911	-0.01184395	2.9219985	0.010212021	0.048325002	49.0	328.74868869781494
16	-266.24377	4.1614685	-260.9	-273.1	100.0	157.0	1360000	-1.0186341e-08	0.57154596	-0.004049998	-0.017525818	2.874558	0.011239574	0.065375	49.0	347.2374129295349
17	-261.58182	8.628579	-242.2	-271.0	100.0	168.0	1440000	-1.1175871e-08	0.58389467	-0.0037475028	-0.013787452	2.7990565	0.013166433	0.070925	49.0	370.81110310554504
18	-262.4591	4.948221	-253.85	-270.4	100.0	179.0	1520000	5.5879354e-09	0.5985755	-0.004054524	-0.020029988	2.6962476	0.011955585	0.0653625	49.0	393.6994435787201
19	-262.24503	5.8445477	-251.7	-273.15	100.0	189.0	1600000	6.519258e-09	0.63436747	-0.0044743684	-0.0032238364	2.6552718	0.011660073	0.0488	49.0	414.74154782295227
20	-263.73334	6.862056	-254.75	-277.85	100.0	198.0	1680000	1.8626451e-09	0.6156229	-0.0038077936	-0.013612799	2.663416	0.011735222	0.085875005	49.0	434.6375892162323
21	-262.32	5.498736	-253.1	-272.1	100.0	208.0	1760000	3.7252903e-09	0.6443533	-0.0038215562	-0.0052138194	2.5982773	0.012255767	0.053724997	49.0	453.78886365890503
22	-263.3222	6.6795783	-251.0	-271.25	100.0	217.0	1840000	3.7252903e-09	0.65876234	-0.0029801424	-0.004531771	2.5498738	0.0103627965	0.054050002	49.0	474.176353931427
23	-263.4375	4.518837	-256.65	-269.75	100.0	225.0	1920000	-1.3969839e-09	0.710691	-0.0035797076	-0.01847013	2.5091996	0.0146836825	0.0801	49.0	492.4046938419342
24	-265.625	3.5609913	-261.15	-271.7	100.0	233.0	2000000	-2.2118911e-09	0.7039625	-0.0028916777	-0.0053267255	2.377183	0.011484742	0.05605	49.0	513.5203206539154
25	-267.425	4.856694	-258.05002	-272.65	100.0	241.0	2080000	2.4447218e-09	0.7439357	-0.0025795652	-0.006372437	2.3656087	0.008031724	0.041125	49.0	534.8508975505829
26	-267.28125	4.1452513	-262.4	-273.80002	100.0	249.0	2160000	7.683411e-09	0.70970345	-0.0026169238	-0.0025930107	2.3607712	0.0071283984	0.0194875	49.0	555.8538630008698
27	-268.73752	2.7920315	-263.95	-273.4	100.0	257.0	2240000	-9.313226e-09	0.70117414	-0.0028249265	-0.002460733	2.3492165	0.011804362	0.037100002	49.0	576.3745481967926
28	-271.2125	4.5224285	-264.9	-278.7	100.0	265.0	2320000	-7.683411e-09	0.6657733	-0.0026945332	-0.00523673	2.3119612	0.009676745	0.0459375	49.0	596.1282505989075
29	-267.05	5.630055	-255.8	-272.45	100.0	273.0	2400000	4.8894435e-09	0.74954236	-0.0039171316	-0.0031156987	2.2740078	0.012151366	0.06375	49.0	619.1995544433594
