Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	MeanDiff	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-64.884026	3.581752	-56.7	-75.05	80.0	72.0	0.0	6.3795596e-08	4.536311	-0.015129654	-3.6753273	3.4750137	0.010579895	0.093337506	49.0	14.860289335250854
1	-64.233795	4.303338	-53.05	-72.55	80.0	143.0	0.0	-1.0477379e-08	0.78647304	-0.012715599	-0.02863685	3.4697938	0.0067171114	0.074775	49.0	29.451701879501343
2	-63.664288	2.994485	-55.100002	-70.25	80.0	213.0	0.0	-1.8626451e-09	0.7088491	-0.013894515	-0.013180815	3.4632912	0.006652926	0.087437496	49.0	44.10865497589111
3	-63.15367	3.8408825	-53.3	-69.5	80.0	281.0	0.0	1.6298145e-08	0.6669514	-0.013896089	-0.0185998	3.4514985	0.0055635497	0.0827375	49.0	58.7244074344635
4	-62.926155	2.5687194	-57.2	-70.200005	80.0	346.0	0.0	2.3283064e-09	0.6118696	-0.014746232	-0.021825217	3.4323974	0.0059589334	0.0851625	49.0	73.22517442703247
5	-60.322857	3.170283	-53.0	-67.0	80.0	416.0	0.0	-2.7939677e-09	0.5519852	-0.014708503	-0.015493382	3.4138868	0.0058561945	0.090937495	49.0	87.84705686569214
6	-59.686234	3.2831242	-47.4	-67.0	80.0	485.0	0.0	1.094304e-08	0.4790016	-0.015172413	-0.021189507	3.3873076	0.0059916405	0.090812504	49.0	102.70478081703186
7	-58.82941	4.077704	-47.8	-65.05	80.0	553.0	0.0	-4.1909516e-09	0.5225285	-0.015583035	-0.019958083	3.3654623	0.0059464728	0.0925125	49.0	117.64088869094849
8	-57.008698	4.802286	-43.9	-64.9	80.0	622.0	0.0	1.8626451e-09	0.5782188	-0.0148420725	-0.013496861	3.3373842	0.0054944446	0.092374995	49.0	132.33955550193787
9	-55.681694	5.250387	-42.45	-63.7	80.0	693.0	0.0	1.1641532e-08	0.60819066	-0.015225113	-0.010659225	3.3108068	0.006168561	0.08865	49.0	147.09133982658386
10	-53.60625	6.8628983	-33.850002	-63.0	80.0	765.0	0.0	-1.3969839e-09	0.6614231	-0.015798194	-0.015442409	3.2876477	0.0073125474	0.094025	49.0	161.9827175140381
