Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-277.56998	8.321875	-265.80002	-291.6	100.0	15.0	0.0	4.7963113e-08	5.201072	-0.0046897717	-3.9720163	3.4885697	0.015089757	0.0494125	40.0	30.079562664031982
1	-282.43637	10.727708	-264.80002	-298.6	100.0	26.0	0.0	5.5879354e-09	1.4988825	-0.0041778516	-0.24456714	3.4753203	0.013929245	0.04265	49.0	58.700828552246094
2	-276.6	8.296448	-259.75	-288.35	100.0	36.0	0.0	2.7939677e-09	1.2756953	-0.0031279977	-0.020131066	3.451384	0.0132916365	0.03045	49.0	87.56010055541992
3	-274.965	8.407708	-262.80002	-287.30002	100.0	46.0	0.0	0.0	1.2222025	-0.0037538507	-0.024944589	3.4314766	0.013227423	0.0352	49.0	118.31384658813477
4	-277.46002	7.5789814	-268.65	-291.45	100.0	56.0	0.0	1.8626451e-09	1.1987841	-0.003669924	-0.030626476	3.4215841	0.012561824	0.043162502	49.0	146.3914978504181
5	-279.40002	6.6523476	-266.1	-289.85	100.0	64.0	0.0	7.450581e-09	1.1456159	-0.0041078473	-0.0282401	3.4068556	0.013694511	0.0429125	49.0	180.13641166687012
6	-279.1375	4.168167	-272.85	-286.7	100.0	72.0	0.0	-4.773028e-09	1.0697997	-0.003990101	-0.061906964	3.364862	0.012251604	0.0322875	49.0	208.39060807228088
7	-276.45	5.1864605	-267.30002	-284.80002	100.0	80.0	0.0	5.355105e-09	0.9244615	-0.0039442717	-0.08141031	3.333982	0.014160807	0.035949998	49.0	237.02945566177368
8	-275.48126	6.9276114	-263.05002	-284.5	100.0	88.0	0.0	-4.8894435e-09	0.7530659	-0.0036728375	-0.07342731	3.307235	0.011977812	0.0418375	49.0	270.3921537399292
9	-276.80624	6.315826	-262.85	-281.55002	100.0	96.0	0.0	-8.265488e-09	0.5018407	-0.0041687693	-0.048106566	3.2574894	0.013370127	0.035587497	49.0	303.9685478210449
10	-275.2875	5.9808955	-261.25	-280.9	100.0	104.0	0.0	-2.7939677e-09	0.3926955	-0.003588696	-0.040980484	3.2164044	0.013214884	0.0441375	49.0	337.7700991630554
11	-278.56876	3.237951	-274.1	-284.45	100.0	112.0	0.0	-7.916242e-09	0.24318494	-0.003970731	-0.031618405	3.1637974	0.013881208	0.0345125	49.0	371.75682735443115
12	-270.35626	1.748827	-268.15	-272.85	100.0	120.0	0.0	-5.5879354e-09	0.28863108	-0.0035961182	-0.029803202	3.1687608	0.0121133905	0.03615	49.0	404.69119238853455
13	-274.55627	1.8102907	-272.35	-276.95	100.0	128.0	0.0	-9.546056e-09	0.2587806	-0.002956646	-0.018505212	3.1588218	0.012008699	0.025337499	49.0	438.58797335624695
14	-276.66876	4.4193425	-266.5	-282.25	100.0	136.0	0.0	-9.313226e-10	0.23146892	-0.002807193	-0.009047033	3.1305468	0.010918694	0.0262	49.0	472.92524695396423
15	-273.1875	4.9626	-265.25	-281.2	100.0	144.0	0.0	-1.3038516e-08	0.24547946	-0.0029627415	-0.010595361	3.0844152	0.01120186	0.0392125	49.0	506.94321179389954
16	-276.56876	2.1031144	-273.2	-279.7	100.0	152.0	0.0	6.7520887e-09	0.20270336	-0.0024384032	-0.013029283	3.0551953	0.007587008	0.020287499	49.0	540.9230875968933
17	-275.30627	3.8935423	-269.25	-281.45	100.0	160.0	0.0	-8.8475645e-09	0.1925483	-0.0026321071	-0.006820988	3.052404	0.013489232	0.0611375	49.0	574.90176820755
18	-273.31873	2.8817303	-268.4	-278.80002	100.0	168.0	0.0	7.450581e-09	0.27098346	-0.0031229702	-0.04199627	2.9991832	0.010263501	0.0604	49.0	603.9610967636108
19	-274.96252	5.05481	-265.65	-280.15	100.0	176.0	0.0	-9.778887e-09	0.25743902	-0.0030209366	-0.023336187	2.9517963	0.011465621	0.0152625	49.0	633.3818926811218
20	-277.075	1.4660815	-275.15	-280.30002	100.0	184.0	0.0	-1.0244548e-08	0.24056384	-0.0023943672	-0.0053602047	2.9438283	0.013455641	0.0385625	49.0	662.6196823120117
21	-275.875	4.7504597	-268.55002	-281.30002	100.0	192.0	0.0	9.313226e-10	0.24356878	-0.0025903347	-0.005227722	2.9947278	0.011926762	0.047287498	49.0	692.062255859375
22	-277.61874	2.5086036	-272.6	-281.6	100.0	200.0	0.0	3.4924597e-09	0.19759408	-0.0029039902	-0.00696104	2.972727	0.0107333055	0.009062501	49.0	720.4516875743866
23	-277.35626	5.140067	-264.0	-280.75	100.0	208.0	0.0	-5.122274e-09	0.17512254	-0.00266917	-0.004246276	2.9886913	0.013076763	0.058	49.0	751.3153972625732
24	-278.11877	2.3958232	-274.25	-282.25	100.0	216.0	0.0	1.1641532e-08	0.16476777	-0.0027130768	-0.003916893	2.939108	0.0120539535	0.0179125	49.0	786.0251667499542
25	-278.15002	1.8179609	-275.2	-280.85	100.0	224.0	0.0	2.7939677e-09	0.16747275	-0.002239152	-0.0035965517	2.9410982	0.011476961	0.016575	49.0	820.6377894878387
26	-278.375	2.3510666	-274.4	-281.05002	100.0	232.0	0.0	0.0	0.17456713	-0.0021621329	-0.004269872	2.9418716	0.010448616	0.033675	49.0	855.170729637146
27	-279.21875	1.3136169	-276.45	-280.30002	100.0	240.0	0.0	-7.450581e-09	0.16043706	-0.002978149	-0.0028136559	2.9199	0.01382203	0.0259125	49.0	886.3321800231934
28	-278.09375	2.2684605	-275.25	-280.5	100.0	248.0	0.0	-3.7252903e-09	0.16127262	-0.0026999214	-0.0025245044	2.906881	0.0143254595	0.044562496	49.0	915.3906424045563
29	-279.48126	0.78896505	-278.2	-280.80002	100.0	256.0	0.0	1.6530976e-08	0.14227971	-0.0027278115	-0.0026605353	2.913776	0.011180992	0.015987499	49.0	949.5060434341431
30	-278.0625	1.4783334	-276.25	-280.5	100.0	264.0	0.0	0.0	0.16398971	-0.0030700585	-0.0021670898	2.9202201	0.011571458	0.0304125	49.0	983.6606862545013
31	-279.48126	0.9542462	-277.65	-280.4	100.0	272.0	0.0	4.656613e-10	0.14460063	-0.0029244279	-0.002014202	2.920567	0.013612981	0.052187502	49.0	1017.9280014038086
32	-278.83127	1.145898	-276.80002	-280.4	100.0	280.0	0.0	-5.5879354e-09	0.16723384	-0.0026138253	-0.0024168547	2.9102535	0.012972407	0.045250002	49.0	1050.30566740036
33	-279.3	1.197657	-276.65	-280.4	100.0	288.0	0.0	1.3969839e-09	0.17124447	-0.0023236857	-0.0061785113	2.8716147	0.0112338755	0.018212501	49.0	1084.3549468517303
34	-279.58127	0.91649485	-277.85	-280.2	100.0	296.0	0.0	-7.450581e-09	0.19855475	-0.0024461027	-0.004387293	2.8685288	0.009829618	0.0297	49.0	1118.292536020279
35	-279.78125	0.7798017	-278.15	-280.75	100.0	304.0	0.0	3.4924597e-09	0.19280007	-0.0034412877	-0.0025440007	2.843325	0.012367558	0.042175	49.0	1152.5447902679443
36	-279.875	0.6647349	-278.2	-280.5	100.0	312.0	0.0	4.1909516e-09	0.18387413	-0.0029863296	-0.0019745938	2.8590674	0.015039874	0.142675	46.0	1186.3593978881836
37	-280.1625	0.11110921	-280.0	-280.30002	100.0	320.0	0.0	2.7939677e-09	0.20048267	-0.002596725	-0.007143121	2.8261006	0.012077859	0.026124999	49.0	1220.4369571208954
38	-279.94376	0.49081382	-279.0	-280.45	100.0	328.0	0.0	1.3969839e-09	0.20285535	-0.0027983559	-0.0049257483	2.8078182	0.009814952	0.0407	49.0	1254.5481638908386
39	-278.63126	1.2514874	-277.0	-280.2	100.0	336.0	0.0	4.656613e-10	0.24217463	-0.002988784	-0.0027641784	2.7860513	0.01351416	0.03615	49.0	1288.5448412895203
40	-279.8625	0.59568393	-278.30002	-280.2	100.0	344.0	0.0	-1.1175871e-08	0.2574029	-0.0021474496	-0.005435569	2.7345614	0.0107809305	0.037175	49.0	1322.9217829704285
41	-280.075	0.08292068	-280.0	-280.2	100.0	352.0	0.0	4.656613e-09	0.2545409	-0.003103499	-0.0033106916	2.7166715	0.011345139	0.0383875	49.0	1357.2372620105743
42	-279.925	0.5244048	-278.75	-280.65	100.0	360.0	0.0	4.4237822e-09	0.24417147	-0.0023152998	-0.0031308178	2.746386	0.013813369	0.0186125	49.0	1391.7231571674347
43	-279.21252	1.7010633	-275.4	-280.30002	100.0	368.0	0.0	6.519258e-09	0.213175	-0.0031590993	-0.0027604029	2.7058704	0.011689398	0.034725003	49.0	1423.2666313648224
44	-279.74374	0.7165166	-277.85	-280.1	100.0	376.0	0.0	1.0244548e-08	0.20236975	-0.002555841	-0.0031717904	2.6844974	0.012310195	0.018662501	49.0	1457.7499563694
45	-280.0125	0.18832754	-279.55002	-280.2	100.0	384.0	0.0	5.5879354e-09	0.22401603	-0.0024486096	-0.003597768	2.755194	0.012653882	0.022725	49.0	1492.312353849411
46	-279.36877	0.89125764	-277.9	-280.1	100.0	392.0	0.0	-6.9849193e-09	0.24465345	-0.002598969	-0.004831046	2.7213326	0.013386659	0.054625	49.0	1526.7226340770721
47	-279.26874	1.178704	-276.9	-280.1	100.0	400.0	0.0	7.1013346e-09	0.21332815	-0.0026646852	-0.0030434988	2.681239	0.01114998	0.02015	49.0	1560.8378491401672
