Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-455.23126	13.665264	-434.80002	-471.30002	120.0	120000	-2.0489097e-08	4.9510045	-0.003968956	-3.7868166	3.4905477	0.012221395	0.033916667	49.0	33.55403733253479
1	-463.27502	21.929459	-419.35	-485.4	120.0	240000	-1.1641532e-08	1.3360715	-0.003709557	-0.21127822	3.479362	0.012048393	0.028441668	49.0	70.8703682422638
2	-479.46875	17.191591	-457.9	-503.55002	120.0	360000	1.1641532e-08	1.172863	-0.0035481593	-0.012562439	3.466014	0.011804409	0.030566666	49.0	102.13271927833557
3	-465.93127	15.919406	-433.7	-483.55002	120.0	480000	5.355105e-09	1.1220953	-0.0037694238	-0.016360804	3.4546728	0.012931002	0.040983334	49.0	136.02402901649475
4	-477.28125	16.82831	-449.75	-499.35	120.0	600000	-1.816079e-08	1.0803747	-0.003559059	-0.011298016	3.4324255	0.013157405	0.031766668	49.0	169.14921069145203
5	-466.46252	9.01335	-452.45	-477.55002	120.0	720000	8.614734e-09	1.0784726	-0.0037093968	-0.0059681684	3.4194088	0.011641137	0.034841668	49.0	203.68643450737
6	-472.09375	14.239526	-448.4	-492.35	120.0	840000	-7.916242e-09	1.0488969	-0.0029140087	-0.008343726	3.399895	0.010417329	0.021216666	49.0	239.33699750900269
7	-479.53125	15.669179	-452.15	-503.4	120.0	960000	-1.8626451e-09	1.0105052	-0.0032912747	-0.0030924454	3.3676832	0.011814056	0.026266668	49.0	275.17024970054626
8	-461.84375	17.238932	-429.2	-484.1	120.0	1080000	2.3283064e-10	0.9913999	-0.0038391831	-0.009292603	3.3401003	0.013337156	0.0346	49.0	308.8533980846405
9	-461.46875	19.79705	-421.5	-483.30002	120.0	1200000	9.313226e-09	0.9681747	-0.0034111189	-0.0054503307	3.2859101	0.012823437	0.03395	49.0	344.90454483032227
10	-453.56876	14.086827	-417.6	-464.5	120.0	1320000	-2.7939677e-09	0.9208099	-0.003127374	-0.00522843	3.244658	0.012125931	0.029166667	49.0	379.56704783439636
11	-466.60626	14.614727	-442.85	-488.30002	120.0	1440000	9.662472e-09	0.8639399	-0.003279148	-0.0050684437	3.2411942	0.01517167	0.052141666	43.0	413.9060068130493
12	-454.6875	13.053968	-431.85	-477.95	120.0	1560000	-6.9849193e-09	0.8463495	-0.0030718609	-0.006214261	3.1630044	0.012723027	0.054066665	49.0	447.56481647491455
13	-435.4375	4.0429544	-428.85	-442.05002	120.0	1680000	-2.7939677e-09	0.93666834	-0.003336898	-0.0064778775	3.1152096	0.010196492	0.037	49.0	479.75617599487305
14	-435.21875	5.7998323	-429.25	-444.9	120.0	1800000	7.508788e-09	0.9224678	-0.0030750192	-0.004471153	3.0763795	0.010541279	0.030041667	49.0	510.2721390724182
15	-440.39374	10.204731	-421.6	-457.95	120.0	1920000	-8.381903e-09	0.900623	-0.0034730972	-0.0036665425	3.0689664	0.010868843	0.040083334	49.0	544.4330558776855
16	-422.36667	15.441322	-387.7	-446.05002	120.0	2040000	1.3038516e-08	0.9549016	-0.0032126291	-0.0026508868	3.0270035	0.011017955	0.026875	49.0	580.1132497787476
17	-432.49448	15.958456	-409.05002	-460.5	120.0	2160000	-5.5879354e-09	0.9348899	-0.0032788324	-0.0024397597	3.0151074	0.010367855	0.024033334	49.0	613.9206118583679
18	-413.43497	12.973551	-388.25	-431.65	120.0	2280000	-3.7252903e-09	0.9431237	-0.0033864123	-0.0033057183	2.9816504	0.012473369	0.03675	49.0	648.914666891098
19	-415.215	12.838755	-384.75	-429.15	120.0	2400000	2.7939677e-09	0.9298732	-0.0028908034	-0.0032684207	2.9334774	0.007828181	0.035833333	49.0	683.5017626285553
20	-429.16876	13.509236	-405.65	-455.95	120.0	2520000	-6.7520887e-09	0.88802135	-0.0027827276	-0.0062499866	2.863388	0.010214571	0.036616668	49.0	718.2772810459137
21	-419.65002	10.20814	-403.55002	-438.30002	120.0	2640000	7.799827e-09	0.9491608	-0.0028471067	-0.0075185373	2.838123	0.009983387	0.02145	49.0	748.5382285118103
22	-417.76	9.906	-407.05002	-438.6	120.0	2760000	-3.7252903e-09	0.93550485	-0.0028185847	-0.0058602393	2.815262	0.008766992	0.021475	49.0	783.8753480911255
23	-413.74503	10.86951	-396.30002	-427.30002	120.0	2880000	0.0	0.9197855	-0.0027083724	-0.0021626577	2.78558	0.008742543	0.026258335	49.0	818.1735792160034
24	-433.1375	16.105503	-401.95	-448.2	120.0	3000000	-6.868504e-09	0.85115635	-0.002937004	-0.007464789	2.694269	0.009507595	0.031083334	49.0	853.515055179596
25	-425.03333	18.370262	-400.45	-467.75	120.0	3120000	-9.313226e-09	0.9124605	-0.0028776373	-0.003621854	2.6380048	0.008812547	0.030125	49.0	890.9794299602509
26	-412.2611	17.53558	-386.6	-438.0	120.0	3240000	-1.8626451e-09	0.99433374	-0.0031773308	-0.0042007416	2.5773802	0.0092321895	0.030375	49.0	924.4824318885803
27	-410.40457	13.718671	-385.7	-434.75	120.0	3360000	1.8626451e-09	0.9742851	-0.0025295038	-0.0077345297	2.5508947	0.008794534	0.02	49.0	959.5492851734161
28	-400.3731	10.783348	-382.05002	-419.25	120.0	3480000	5.5879354e-09	0.8879489	-0.0029798793	-0.025104731	2.5174675	0.009450155	0.026816666	49.0	993.4679245948792
29	-405.89447	8.799732	-392.7	-420.05002	120.0	3600000	-3.7252903e-09	0.99685735	-0.003364086	-0.029437974	2.4927187	0.008586946	0.034616664	49.0	1027.0384051799774
30	-418.66876	14.459989	-395.25	-437.30002	120.0	3720000	7.566996e-09	0.9824332	-0.002542877	-0.007630594	2.4159641	0.0063467934	0.017941665	49.0	1061.2759237289429
31	-401.57727	26.478619	-362.2	-451.35	120.0	3840000	0.0	0.95965815	-0.0031407042	-0.017259069	2.3911753	0.008096157	0.024716666	49.0	1093.948724269867
32	-389.50385	24.383743	-355.6	-446.25	120.0	3960000	3.7252903e-09	0.93736774	-0.0031705312	-0.017401665	2.2765236	0.0073488075	0.041925	49.0	1128.4894285202026
33	-385.4533	16.588846	-353.85	-409.7	120.0	4080000	-1.21071935e-08	0.9227556	-0.0026210006	-0.008046344	2.233658	0.0072360267	0.017191667	49.0	1163.1493499279022
34	-383.69287	26.105446	-327.15	-418.1	120.0	4200000	-9.313226e-09	1.3429321	-0.0035571028	-0.014164999	2.187991	0.007923894	0.023825001	49.0	1196.8828737735748
35	-367.8125	25.788895	-309.5	-404.65	120.0	4320000	1.9092113e-08	1.1375046	-0.002997755	-0.016347773	2.1190338	0.005693912	0.021083333	49.0	1229.9368481636047
36	-360.85	33.895298	-298.45	-414.35	120.0	4440000	9.313226e-09	1.0340294	-0.0037582763	-0.004800692	2.0894804	0.006024759	0.026716666	49.0	1266.003668308258
37	-347.73438	21.087868	-319.7	-381.35	120.0	4560000	-8.381903e-09	1.9446702	-0.0032644165	-0.037531637	2.087912	0.0057722502	0.017883334	49.0	1300.4914891719818
38	-346.90314	33.643234	-283.30002	-400.95	120.0	4680000	3.7252903e-09	1.824125	-0.0035317102	-0.031650573	2.0051432	0.004033293	0.022775	49.0	1333.3555529117584
39	-335.19376	34.6936	-282.6	-399.65	120.0	4800000	9.778887e-09	1.9475228	-0.0033881224	-0.021736048	1.9984164	0.005539838	0.025558334	49.0	1363.3144657611847
40	-315.375	35.291035	-237.1	-372.95	120.0	4920000	-8.614734e-09	2.2619863	-0.0029649155	-0.023579076	1.9641433	0.0049976744	0.022033334	49.0	1391.1555876731873
41	-321.4969	39.61408	-262.0	-408.30002	120.0	5040000	-4.656613e-09	1.746345	-0.003581638	-0.02485004	1.9262362	0.0057440787	0.024783334	49.0	1424.2739493846893
42	-287.0125	45.99081	-228.35	-398.30002	120.0	5160000	2.7939677e-09	3.0293303	-0.0036507403	-0.08382261	1.8681377	0.004761682	0.023041667	49.0	1458.030372619629
43	-306.0094	36.040134	-223.0	-372.7	120.0	5280000	5.122274e-09	2.960576	-0.003339271	-0.042533964	1.8639457	0.0045231506	0.023341667	49.0	1490.0988276004791
44	-297.225	38.19881	-232.65001	-376.65	120.0	5400000	-1.3038516e-08	2.8047643	-0.0034750123	-0.027419776	1.8044078	0.005288667	0.022691665	49.0	1522.8450179100037
45	-264.52814	36.118053	-210.7	-315.15	120.0	5520000	-6.7520887e-09	3.141777	-0.0032831195	-0.047489837	1.7976637	0.004456652	0.018275	49.0	1555.4870266914368
46	-293.39374	34.448284	-223.40001	-361.95	120.0	5640000	-8.381903e-09	2.7001407	-0.0033212244	-0.04196185	1.771625	0.00460965	0.019758333	49.0	1588.1966924667358
47	-277.81668	40.14746	-213.0	-372.25	120.0	5760000	-4.656613e-09	2.9783633	-0.0031369273	-0.04570782	1.7684563	0.0041324245	0.019316668	49.0	1622.630301475525
48	-283.34375	56.94064	-202.75	-370.35	120.0	5880000	1.1641532e-08	3.0892541	-0.0034607002	-0.052900344	1.7189113	0.0055443356	0.026475001	49.0	1656.6010234355927
49	-284.8375	45.393574	-168.8	-368.75	120.0	6000000	-9.080395e-09	3.109695	-0.002819338	-0.035092473	1.73662	0.0031063906	0.015566667	49.0	1686.7470071315765
50	-267.95624	52.76791	-173.15001	-360.25	120.0	6120000	-2.7939677e-09	4.346492	-0.0029778546	-0.071994126	1.6962607	0.0033816993	0.017108334	49.0	1720.9621846675873
51	-267.75	53.18087	-182.2	-362.55002	120.0	6240000	3.7252903e-09	3.5269454	-0.0032427022	-0.04110022	1.6829112	0.0041728867	0.018533334	49.0	1753.6675794124603
52	-258.35938	49.09236	-183.6	-368.1	120.0	6360000	1.3038516e-08	4.1559944	-0.0031629428	-0.06957944	1.6416649	0.0037478344	0.0179	49.0	1785.1134476661682
53	-242.22813	56.814518	-119.3	-353.35	120.0	6480000	1.3969839e-08	3.996663	-0.003544047	-0.038289994	1.6194047	0.0053665848	0.023591667	49.0	1820.3734350204468
54	-244.00626	67.68212	-110.05	-364.55002	120.0	6600000	-2.7939677e-09	3.6622138	-0.0034915018	-0.068371505	1.5831249	0.0025605906	0.013975	49.0	1855.905044555664
55	-231.21875	46.19094	-126.600006	-295.15	120.0	6720000	1.3969839e-08	3.5700648	-0.003077596	-0.06110248	1.5817084	0.0044737794	0.020541668	49.0	1889.7217283248901
56	-244.33125	63.155212	-82.65	-357.45	120.0	6840000	-9.313226e-10	2.8281863	-0.002954932	-0.0799669	1.5263579	0.0031662316	0.01535	49.0	1924.0960609912872
57	-252.23126	67.85465	-86.200005	-402.7	120.0	6960000	4.656613e-10	2.819357	-0.0032255673	-0.0383386	1.5217296	0.0032273955	0.018491667	49.0	1957.204627275467
58	-215.74689	70.98576	-88.850006	-350.80002	120.0	7080000	-2.7939677e-09	4.3968906	-0.0029453463	-0.16360891	1.5154796	0.003479407	0.015725	49.0	1990.6351759433746
