Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.0999999	1.1677485	0.9000001	-3.1	120.0	8000	-1.692772e-08	0.091294646	-0.029108318	-0.020262793	3.043293	0.00868918	0.09175	49.0	30.36325168609619
1	-0.3727272	1.6564425	2.9	-2.6	120.0	16000	-1.7881394e-10	0.13655499	-0.008649053	-0.03844224	3.0359855	0.016523838	0.2475	5.0	54.80619955062866
2	0.17272736	0.57854193	1.4000001	-0.5999999	120.0	24000	-5.722046e-09	0.15489553	-0.04126013	-0.051023684	3.0205004	0.013827301	0.19025	49.0	86.66507124900818
3	3.309091	3.2390947	9.4	-0.5999999	120.0	32000	1.525879e-08	0.5189389	-0.04077174	-0.13788006	2.9970121	0.012349915	0.186125	49.0	117.7017548084259
4	6.1727276	3.774096	13.4	0.9000001	120.0	40000	-3.0994416e-09	0.72590446	-0.049817454	-0.3159664	2.9703994	0.0147813335	0.228625	49.0	149.36424160003662
5	10.172728	4.2977986	17.4	3.4	120.0	48000	-1.1563301e-08	1.2740233	-0.042182382	-0.45492637	2.943986	0.01516445	0.194625	33.0	177.67038202285767
6	14.809089	5.312156	24.4	8.4	120.0	56000	3.695488e-09	2.3903422	-0.051827177	-0.87101424	2.919519	0.013598619	0.2405	49.0	209.6148636341095
7	20.536362	6.885726	31.4	7.4	120.0	64000	-1.3589859e-08	3.1937113	-0.040569276	-1.3665954	2.8827407	0.015149319	0.19125	25.0	237.787456035614
8	19.80909	7.546276	31.4	4.4	120.0	72000	4.7683715e-09	3.0945327	-0.0565883	-1.1148393	2.867395	0.015027395	0.24475	44.0	269.23087310791016
9	23.218182	7.24968	33.4	13.9	120.0	80000	-4.768372e-10	4.633072	-0.04808859	-1.6754673	2.8397758	0.015112547	0.225	37.0	299.8358061313629
10	29.80909	4.111062	37.9	24.9	120.0	88000	-2.6226044e-09	4.980926	-0.005746337	-2.0836961	2.8130527	0.021741688	0.375875	3.0	324.0393440723419
11	31.30909	6.4308147	38.9	19.4	120.0	96000	-1.1444092e-08	4.4096785	0.0021436068	-1.7947767	2.7961566	0.03644909	0.575125	2.0	347.64022302627563
12	31.445452	7.844648	44.989998	16.4	110.90909	104000	-8.5830685e-09	5.6805005	0.0017354274	-2.8223429	2.7290134	0.01563676	0.344	2.0	371.2438313961029
13	31.536364	7.8366594	38.9	10.9	120.0	112000	-1.1563301e-08	5.672501	-0.0027930853	-2.730405	2.6798942	0.018812442	0.323	2.0	395.4400854110718
14	33.02727	6.924803	43.3	15.9	117.27273	120000	-1.7881393e-09	5.090506	0.0015690714	-1.8831022	2.647206	0.021790482	0.41625	2.0	418.61272644996643
15	35.81846	8.931635	45.649998	20.4	100.92308	128000	-2.6226044e-09	7.1665425	-0.0043425593	-2.8684607	2.6005132	0.019884894	0.316375	2.0	442.0448980331421
16	35.397495	7.068049	44.85	23.9	107.583336	136000	1.5974045e-08	6.2849884	-0.00050203083	-3.170022	2.537462	0.01893387	0.274625	2.0	465.58321022987366
17	38.324287	8.154779	45.72	15.900001	95.14286	144000	-2.861023e-09	8.694034	-0.007784395	-4.469538	2.4290967	0.015044239	0.215	5.0	489.3050446510315
18	42.550526	3.776023	45.149998	31.9	64.10526	152000	2.6226044e-09	9.275241	3.4990312e-06	-4.093368	2.2691257	0.01923801	0.357375	3.0	513.7922475337982
19	42.736	3.76201	45.41	30.9	66.3	160000	-1.4305115e-09	10.475496	-0.0445471	-4.8439612	2.2959425	0.015002354	0.217625	39.0	544.5190279483795
20	42.671497	3.1763954	44.91	35.9	63.45	168000	-1.0490417e-08	9.148593	-0.043150548	-4.676015	2.2970157	0.015005863	0.23975	38.0	576.0939722061157
21	41.899998	5.3091617	45.41	21.9	62.857143	176000	-9.536743e-09	9.793979	-0.017464021	-4.551065	2.2445235	0.015412154	0.2245	12.0	601.9263339042664
22	43.666924	1.9874425	44.81	36.4	50.846153	184000	1.0251999e-08	10.162486	-0.04572076	-3.7667937	2.087248	0.013016738	0.2165	49.0	635.382964849472
23	44.011925	1.9983355	45.66	34.4	50.884617	192000	-3.5762786e-09	10.391446	-0.0011424846	-4.017551	2.0681608	0.022007803	0.301125	2.0	658.6370241641998
24	43.084232	2.8576462	45.23	35.4	49.115383	200000	8.106232e-09	9.295246	-0.036951058	-3.1526175	2.1596167	0.015624103	0.199875	28.0	687.3254306316376
25	43.42037	2.7806182	45.55	33.9	48.333332	208000	3.5762787e-10	9.779337	-0.031916235	-2.7773862	2.1564732	0.01511835	0.17825	24.0	715.2768783569336
26	43.962856	1.6824837	44.81	34.4	37.42857	216000	-3.0994416e-09	10.602118	-0.0012207689	-2.8539119	1.9976892	0.01971823	0.279125	2.0	738.9673449993134
