Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-14.6121645	0.5374919	-13.28	-15.415	18.197453	12000	4.4237822e-08	4.9962473	-0.025863366	-4.834356	3.0432584	0.010472076	0.13916667	49.0	23.04301381111145
1	-14.893085	0.5081784	-13.695	-15.915	29.585106	24000	6.3329935e-08	0.25154322	-0.03157093	-0.18538676	3.0392976	0.01510904	0.16275	42.0	44.07303547859192
2	-14.388196	0.71125054	-11.795	-15.49	17.924051	36000	1.4901161e-08	0.30583775	-0.0016903084	-0.23847751	3.0043092	0.017091371	0.35325	3.0	58.60886192321777
3	-14.612399	0.6242086	-12.975	-15.625	28.908163	48000	4.656613e-09	0.09157158	-0.0036009238	-0.032017656	3.0217133	0.015459306	0.23925	4.0	73.02422261238098
4	-14.102438	0.8534029	-11.815	-15.375	17.64375	60000	3.7252903e-08	0.15663879	-0.0020777695	-0.081728	2.89542	0.019028852	0.35525	2.0	87.48718810081482
5	-14.53392	0.7386353	-11.58	-15.785	31.954546	72000	-5.5879354e-09	0.086595	-0.03166333	-0.010855764	2.9823487	0.011645271	0.1505	49.0	109.67066168785095
6	-13.707139	1.0782557	-5.86	-15.395	16.891565	84000	7.450581e-09	0.13921061	0.002315412	-0.026203826	2.7594395	0.018562961	0.36033335	3.0	123.1316785812378
7	-13.984096	1.0675882	-7.5550003	-15.43	30.925531	96000	1.1175871e-08	0.16394287	-0.00095788995	-0.017394729	2.9207356	0.015168014	0.19841667	2.0	136.50050616264343
8	-13.365263	0.907259	-10.81	-15.315	16.197674	108000	-5.5879354e-09	0.110955074	0.012495151	-0.011384552	2.5385654	0.028693449	0.43633333	2.0	149.65586185455322
9	-13.030277	1.859139	-2.765	-15.235	31.255556	120000	1.3969839e-08	0.30162355	-0.030863363	-0.048303373	2.8131635	0.00930585	0.151	49.0	171.39208245277405
10	-12.854254	1.1087531	-8.32	-15.295	16.0	132000	-4.656613e-09	0.1662348	-0.0012873587	-0.029367356	2.308381	0.022322122	0.41675	2.0	184.5838692188263
11	-12.586812	2.4619608	2.6899998	-15.07	31.747253	144000	2.2351742e-08	0.49087662	-0.0071622394	-0.04728963	2.8021665	0.015418859	0.20883334	6.0	199.0406813621521
12	-12.036988	1.2999365	-8.29	-14.785	15.795455	156000	2.3283064e-10	0.18335181	-0.011721386	-0.030422868	2.1946082	0.015878469	0.22941667	6.0	212.95821070671082
13	-11.683445	2.4960852	-4.11	-15.1	31.177778	168000	-3.259629e-09	0.557253	-0.004814515	-0.062497735	2.6998336	0.015776642	0.23341666	6.0	226.8113956451416
14	-11.447017	1.9207387	-4.82	-14.805	15.738636	180000	3.7252903e-09	0.35434762	0.002106358	-0.058994725	2.0525184	0.026363654	0.41341668	2.0	240.6490683555603
15	-8.932123	8.019904	37.954998	-14.705	40.10959	192000	-2.2351742e-08	4.068305	-3.111479e-05	-1.0406543	2.6370726	0.015383219	0.361	2.0	254.26583814620972
16	-10.611421	2.2349753	-3.8	-14.28	15.767045	204000	-3.1199306e-08	1.1235747	0.0016970626	-0.6279596	1.9444894	0.020970743	0.36066666	1.0	267.8408753871918
17	-6.502632	9.283847	25.4	-13.615	47.85965	216000	1.3038516e-08	4.696063	0.008301562	-0.83013606	2.5404015	0.029383516	0.51641667	2.0	281.38969922065735
18	-10.281129	2.666907	3.6	-14.315	15.757062	228000	-5.5879354e-09	1.1345501	-0.007453497	-0.5270751	1.5141668	0.016734213	0.15566668	8.0	296.3751497268677
19	-1.8998914	12.761867	35.4	-14.525	57.195652	240000	-1.3969839e-09	5.6665993	-0.024966314	-1.4891658	2.2972991	0.012056919	0.15725002	49.0	317.761474609375
20	-8.9432	3.260952	7.5449996	-13.815	15.874286	252000	1.8626451e-09	1.4924533	-0.016753877	-0.5836302	1.378584	0.0114659965	0.15866667	49.0	339.6732711791992
21	9.426207	16.278196	36.42	-10.545	75.82758	264000	6.9849193e-10	10.035626	-0.025053209	-4.1163483	2.17241	0.013339485	0.15083334	49.0	360.8020353317261
22	-9.021086	2.9227664	2.55	-13.805	15.805715	276000	-4.656613e-10	2.6850495	0.005875379	-1.811234	1.2507436	0.02178508	0.30125	4.0	374.5680022239685
23	7.283448	17.573528	35.4	-13.175	72.17242	288000	6.519258e-09	9.7764435	-0.023879087	-4.109147	2.0227795	0.013650173	0.14508334	49.0	395.5411913394928
24	-9.052857	3.221093	9.075	-13.805	15.514286	300000	7.264316e-08	2.1104898	0.0019869562	-1.2771411	1.0226102	0.016458383	0.26133332	6.0	409.42086839675903
25	9.8225	19.441679	43.96	-13.17	74.541664	312000	-3.7252903e-09	9.178846	-0.027186725	-4.2634945	2.0810146	0.014263074	0.15733333	49.0	430.947283744812
26	-9.078068	2.7106621	4.1349998	-13.775	15.4375	324000	1.816079e-08	2.338706	-0.0077598374	-1.6068006	0.9661874	0.018785346	0.17458333	22.0	448.3120312690735
27	14.507618	17.464064	42.69	-11.215	87.2381	336000	9.313226e-09	8.576826	0.0021900397	-4.702368	2.0378227	0.017001376	0.33775	2.0	460.53269386291504
