Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-60.00000089406967	80.0	-62.830006	3.3731737	-55.55	-70.950005	80.0	1 min 25 sec
100	-52.44000203870237	80.0	-52.529003	15.9968405	-14.600001	-82.600006	80.0	4 min 50 sec
150	-50.185001610964534	80.0	-32.014	24.15236	33.45	-86.65	80.0	7 min 54 sec
200	-15.870001416280866	80.0	-1.8370013	34.772175	80.7	-52.4	80.0	11 min 0 sec
250	60.559998847916724	68.4	17.206999	43.628845	102.65	-56.15	78.06	13 min 54 sec
300	56.03999859392643	61.6	48.027	38.740128	113.1	-37.95	71.7	16 min 47 sec
350	66.85499868839979	73.7	55.979996	36.19303	107.65	-32.75	71.44	19 min 33 sec
400	66.11999844759703	80.0	72.643	28.085932	125.7	18.4	66.7	22 min 19 sec
450	64.29999850615859	80.0	64.69199	31.492514	122.25	-16.35	72.02	25 min 7 sec
500	71.29499890767038	79.0	63.006	31.33429	120.85	-28.7	73.82	28 min 3 sec
550	54.37499800622463	79.2	67.717	31.175564	121.1	-17.35	71.22	30 min 52 sec
600	74.73999901041388	62.3	66.422	21.926632	128.7	2.9499996	75.84	33 min 44 sec
650	49.214998960867526	65.6	60.372	29.371122	118.85	-11.6	74.24	36 min 32 sec
700	81.1349988475442	64.7	55.153996	23.934061	119.75	-17.250002	77.56	39 min 27 sec
750	64.51499867998064	80.0	56.363	27.242731	115.35	-2.100001	74.62	42 min 30 sec
800	61.369997878745195	70.4	54.172	31.357544	125.1	-51.95	73.86	45 min 21 sec
850	44.994998114183545	80.0	57.377003	22.23243	115.8	-5.0000005	76.62	48 min 19 sec
900	82.99499893411993	64.1	60.856003	32.45731	121.85	-23.850002	72.7	51 min 5 sec
950	104.32999933846295	44.8	57.227005	35.35603	120.55	-55.9	74.04	53 min 54 sec
1000	73.89499847888946	67.4	65.86099	37.239807	123.7	-49.5	68.14	56 min 35 sec
1050	82.88499889858068	63.8	77.965	34.149883	128.5	2.5499992	61.54	59 min 10 sec
1100	96.61999904699624	48.1	82.590996	38.646595	126.0	-12.250001	55.44	1 h 1 min
1150	73.68499882817268	62.9	87.91001	32.776417	127.4	7.049999	55.2	1 h 3 min
1200	94.73999914266169	51.5	91.393	28.856054	125.45	4.8499985	54.86	1 h 6 min
1250	87.66999896131456	57.2	90.315	37.426613	129.6	-36.15	53.18	1 h 8 min
1300	94.65999910309911	50.8	83.269005	36.524876	128.45	-23.65	58.48	1 h 11 min
1350	93.32999914325774	51.6	90.30799	31.05513	128.55	19.449999	55.64	1 h 13 min
1400	97.14999905563892	47.6	93.564	28.826248	127.35	28.249998	53.72	1 h 15 min
1450	94.80499911867082	57.4	96.06801	32.906597	130.0	-8.450001	49.76	1 h 18 min
1500	107.28999937772751	40.2	85.57499	42.973164	128.1	-20.7	53.42	1 h 20 min
1550	123.92999962754547	22.8	89.840996	39.1583	129.6	-10.650001	52.22	1 h 22 min
1600	94.18499889634549	47.5	100.12699	28.418774	128.45	45.5	47.52	1 h 24 min
1650	128.11999976225198	19.8	99.517	30.637434	130.45	16.15	46.3	1 h 27 min
1700	116.21499955430627	32.1	88.246	43.757263	130.35	-48.300003	50.92	1 h 29 min
