Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-145.00000216066837	100.0	-158.054	7.0884466	-141.0	-173.0	100.0	4 min 3 sec
100	-145.00000216066837	100.0	-158.49602	6.885353	-144.3	-172.35	100.0	8 min 30 sec
150	-158.17000306732953	100.0	-158.24101	7.8084426	-131.8	-168.85	100.0	12 min 45 sec
200	-168.76000359579922	100.0	-157.31401	7.6515427	-140.25	-171.25	100.0	17 min 0 sec
250	-156.82000309824943	100.0	-155.054	7.261191	-136.3	-169.65001	100.0	21 min 19 sec
300	-156.4700031105429	100.0	-154.61302	6.938054	-139.95	-171.5	100.0	25 min 35 sec
350	-151.960002528131	100.0	-151.806	8.439263	-129.40001	-168.3	100.0	29 min 48 sec
400	-173.31000398881733	100.0	-152.523	8.131397	-134.8	-169.5	100.0	34 min 4 sec
450	-150.1000024266541	100.0	-149.86	7.844068	-130.75	-167.95	100.0	38 min 22 sec
500	-146.73000298552216	100.0	-149.45102	9.030091	-126.850006	-166.65001	100.0	42 min 47 sec
550	-146.38000330775975	100.0	-143.84799	10.4065275	-114.5	-160.05	100.0	47 min 13 sec
600	-149.81000267527997	100.0	-146.964	8.864999	-128.2	-169.75	100.0	51 min 28 sec
650	-141.69000275023282	100.0	-142.246	10.592589	-115.0	-159.75	100.0	55 min 42 sec
700	-145.8800024688244	100.0	-143.311	8.282592	-114.9	-157.7	100.0	1 h 0 min 4 sec
750	-135.5800029080361	100.0	-138.995	12.102716	-104.200005	-158.25	100.0	1 h 4 min 8 sec
800	-150.77000331021844	100.0	-133.84601	12.787419	-95.450005	-158.05	100.0	1 h 8 min 27 sec
850	-152.3200039345771	100.0	-135.804	12.392743	-100.8	-154.25	100.0	1 h 12 min 58 sec
900	-173.83000411726533	100.0	-134.105	15.625759	-70.65	-153.55	100.0	1 h 18 min 12 sec
950	-159.27000411860644	100.0	-133.07602	13.239105	-96.75	-154.95	100.0	1 h 23 min 26 sec
1000	-143.55500293970107	100.0	-129.659	12.646719	-95.8	-158.90001	100.0	1 h 28 min 9 sec
1050	-147.9400037255138	100.0	-127.51	16.481522	-78.9	-152.15001	100.0	1 h 32 min 35 sec
1100	-144.23000314570965	100.0	-128.01501	14.7562065	-89.9	-156.7	100.0	1 h 37 min 25 sec
1150	-136.4100034531206	100.0	-126.001015	17.849058	-84.05	-154.55	100.0	1 h 42 min 32 sec
1200	-120.04000318013132	100.0	-117.45701	18.814604	-59.250004	-144.15001	100.0	1 h 47 min 51 sec
1250	-154.37000335715712	100.0	-117.78499	18.652178	-58.250004	-145.3	100.0	1 h 53 min 6 sec
1300	-165.3650047916919	100.0	-117.397	18.642117	-72.9	-150.25	100.0	1 h 58 min 32 sec
1350	-149.30500420667232	100.0	-112.966995	19.211863	-53.750004	-146.8	100.0	2 h 3 min 41 sec
1400	-131.17500294409692	100.0	-115.614006	17.373259	-69.15	-142.7	100.0	2 h 8 min 52 sec
1450	-156.3700040027499	100.0	-112.655	24.45629	-26.700003	-150.0	100.0	2 h 14 min 17 sec
1500	-109.44000336043537	100.0	-111.27	23.471848	-41.600002	-149.85	100.0	2 h 19 min 40 sec
1550	-157.94000467061997	100.0	-105.09899	27.810555	-31.300003	-160.5	100.0	2 h 25 min 5 sec
1600	-138.16000331304969	100.0	-106.95201	24.398983	-41.050003	-155.85	100.0	2 h 30 min 20 sec
1650	-144.45500367768108	100.0	-97.06301	36.619995	1.1499975	-177.20001	100.0	2 h 35 min 38 sec
1700	-120.65000344626606	100.0	-93.594	27.162615	-44.500004	-143.2	100.0	2 h 40 min 53 sec
1750	-114.58000358827412	100.0	-97.357	26.328938	-13.450004	-143.55	100.0	2 h 46 min 13 sec
1800	-118.9000044375658	100.0	-81.449005	31.557457	1.7999978	-138.95	100.0	2 h 51 min 35 sec
1850	-121.95000387020409	100.0	-89.95901	25.972296	-27.650003	-132.90001	100.0	2 h 56 min 56 sec
1900	-105.50500378385186	100.0	-82.53501	26.58332	-28.250002	-141.1	100.0	3 h 2 min 15 sec
1950	-125.89000388160348	100.0	-84.417	29.412846	-10.400003	-131.55	100.0	3 h 7 min 27 sec
2000	-127.40000371783972	100.0	-84.202995	27.205587	-20.900003	-122.3	100.0	3 h 12 min 56 sec
2050	-157.5900058347732	100.0	-76.382996	32.554764	-17.650003	-152.3	100.0	3 h 18 min 12 sec
2100	-119.92000341638922	100.0	-82.117004	33.57895	1.6999981	-180.15001	100.0	3 h 24 min 18 sec
2150	-122.1650041271001	100.0	-72.41501	29.558691	1.6999971	-132.6	100.0	3 h 30 min 40 sec
2200	-108.47500423379242	100.0	-81.201004	26.034397	-27.500002	-136.6	100.0	3 h 36 min 55 sec
2250	-118.1200049355626	100.0	-80.129005	36.676884	14.399997	-172.80002	100.0	3 h 42 min 48 sec
2300	-106.1700033608824	100.0	-84.731	32.46066	-14.350004	-159.40001	100.0	3 h 48 min 19 sec
2350	-121.63000410795212	100.0	-88.379	42.1292	-7.850003	-239.35	100.0	3 h 54 min 4 sec
2400	-100.15000285729766	100.0	-70.34	33.364735	42.249996	-124.25	100.0	3 h 59 min 57 sec
2450	-97.94500293843448	100.0	-85.66901	30.14121	-9.200003	-167.1	100.0	4 h 7 min 18 sec
2500	-107.62000389732421	100.0	-80.93	30.999935	4.4999976	-129.55	100.0	4 h 15 min 4 sec
2550	-78.84000305496156	100.0	-78.225	28.76786	-12.250003	-152.45001	100.0	4 h 22 min 40 sec
2600	-73.71500314921141	100.0	-64.277	32.92063	29.549997	-119.350006	100.0	4 h 30 min 2 sec
2650	-84.15500371195375	100.0	-75.567	29.638958	-10.850003	-130.5	100.0	4 h 37 min 31 sec
2700	-104.09000425823032	100.0	-68.465004	32.046333	49.699997	-147.15001	100.0	4 h 45 min 8 sec
2750	-83.36500372216105	100.0	-68.23601	31.0946	-5.150002	-132.15001	100.0	4 h 51 min 38 sec
2800	-65.4900027282536	100.0	-70.185005	32.31491	31.499996	-130.40001	100.0	4 h 58 min 14 sec
2850	-96.50000400021672	100.0	-65.23701	30.511484	7.0999975	-116.75	100.0	5 h 4 min 33 sec
2900	-65.99500347077847	100.0	-83.94301	29.926306	1.1999966	-129.55	100.0	5 h 11 min 0 sec
2950	-91.9950043257326	100.0	-72.99301	37.407967	-2.150003	-161.1	100.0	5 h 17 min 23 sec
3000	-78.09000383168458	100.0	-76.41	34.918285	-17.600004	-192.45001	100.0	5 h 23 min 46 sec
3050	-116.12000434100628	100.0	-71.562996	27.574512	6.499997	-131.95	100.0	5 h 30 min 24 sec
3100	-94.25000352822244	100.0	-72.894005	24.3632	-29.950003	-121.350006	100.0	5 h 36 min 1 sec
3150	-82.56500282511115	100.0	-75.133	31.189539	-0.050002873	-157.45	100.0	5 h 41 min 18 sec
3200	-76.11500336490572	100.0	-63.598003	29.701015	7.3499975	-124.25001	100.0	5 h 46 min 41 sec
3250	-66.44000360146165	100.0	-74.58901	31.734213	17.699997	-131.85	100.0	5 h 52 min 0 sec
3300	-78.78000369817019	100.0	-66.75801	27.551733	27.199997	-109.3	100.0	5 h 57 min 7 sec
3350	-85.99500338211655	100.0	-72.824	27.78933	-7.800002	-123.850006	100.0	6 h 1 min 43 sec
3400	-112.91500406600535	100.0	-64.204	36.47695	31.399998	-138.90001	100.0	6 h 6 min 17 sec
3450	-75.04500355646014	100.0	-76.80301	31.746283	-10.300002	-151.6	100.0	6 h 10 min 52 sec
3500	-70.63000302389264	100.0	-67.70901	28.71331	22.499998	-119.600006	100.0	6 h 15 min 27 sec
3550	-85.99500501789153	100.0	-81.828	29.60765	-4.0000033	-148.85	100.0	6 h 19 min 40 sec
3600	-99.06500428877771	100.0	-80.451996	28.252302	-14.650003	-142.65001	100.0	6 h 24 min 27 sec
3650	-87.85000422038138	100.0	-72.20301	34.819324	8.699995	-162.1	100.0	6 h 31 min 29 sec
3700	-105.26500413753092	100.0	-77.57201	26.066515	-10.650003	-123.350006	100.0	6 h 38 min 18 sec
3750	-121.47000534236432	100.0	-73.302	23.898363	-26.700003	-123.25	100.0	6 h 45 min 24 sec
3800	-82.27500336430967	100.0	-73.054	27.650219	-1.1000032	-135.7	100.0	6 h 52 min 24 sec
3850	-108.020003471151	100.0	-70.89001	30.885199	11.549996	-128.55	100.0	6 h 59 min 20 sec
3900	-104.8700038421899	100.0	-72.864	26.44884	-13.350002	-120.65	100.0	7 h 6 min 3 sec
3950	-89.19000437743962	100.0	-73.925	24.569231	-32.750004	-128.85	100.0	7 h 11 min 49 sec
4000	-94.45000355057418	100.0	-71.873	32.4503	19.849998	-175.1	100.0	7 h 17 min 16 sec
4050	-82.48500323556364	100.0	-84.90701	25.806574	-24.050003	-125.8	100.0	7 h 22 min 38 sec
4100	-85.73000393621624	100.0	-75.61	28.449291	-9.750003	-134.95	100.0	7 h 28 min 8 sec
4150	-114.58500310853124	100.0	-76.07	29.8745	12.949998	-146.6	100.0	7 h 33 min 41 sec
4200	-84.84500389136375	100.0	-82.019005	26.233774	-20.100002	-130.6	100.0	7 h 39 min 10 sec
4250	-104.13000394031405	100.0	-73.847	26.266867	-16.000002	-149.1	100.0	7 h 44 min 26 sec
4300	-101.52500364035367	100.0	-73.298004	30.195019	11.949998	-125.700005	100.0	7 h 49 min 57 sec
4350	-58.72500302456319	100.0	-69.081	24.785177	-25.950003	-137.95	100.0	7 h 55 min 34 sec
4400	-97.92500412687659	100.0	-66.929	26.655642	1.8999962	-119.850006	100.0	8 h 0 min 58 sec
4450	-42.66000250801444	100.0	-69.441	32.809147	-2.7000036	-130.25	100.0	8 h 6 min 26 sec
